motor_temperature_c,vibration_mm_s,belt_speed_m_min,load_kg,hours_since_service,failed_inspection
77.9,1.91,42.0,351.3,859,1
49.6,1.39,48.8,293.3,530,0
72.9,1.24,45.0,243.1,417,0
69.2,1.84,50.9,507.4,313,0
61.5,5.7,38.1,252.5,24,0
77.5,0.51,36.1,336.4,736,1
83.3,0.8,40.0,448.8,880,0
77.2,3.21,28.0,299.1,847,1
79.4,3.9,43.2,282.0,734,1
55.3,2.18,40.4,318.1,213,0
69.5,0.44,39.1,217.1,582,0
62.4,0.64,42.1,348.9,572,0
56.8,3.86,50.5,242.9,553,0
70.3,4.38,40.3,222.4,29,0
78.1,3.57,44.4,137.9,658,1
45.9,3.13,38.9,237.0,272,0
95.2,3.88,56.4,421.0,419,1
59.7,1.3,32.4,410.4,49,0
70.3,3.75,65.0,335.0,30,0
74.8,2.16,45.1,269.1,646,0
55.0,3.03,43.8,381.1,318,0
56.2,4.38,45.8,409.4,768,1
76.7,1.9,54.7,340.5,12,0
70.1,2.54,47.3,317.4,877,0
82.3,3.3,48.3,312.9,31,0
69.3,0.58,39.3,474.7,70,0
69.6,1.65,56.6,181.9,855,1
89.5,7.07,43.2,393.3,619,1
60.4,0.22,46.3,131.2,578,0
57.5,1.3,28.6,366.2,672,0
75.8,6.36,42.5,375.3,431,0
74.7,0.87,38.8,237.4,830,0
61.0,0.62,38.8,388.0,576,0
75.3,9.5,40.1,152.3,111,0
72.3,4.24,59.1,442.7,693,0
79.2,2.66,42.9,276.4,184,0
73.0,4.1,53.3,245.6,487,0
83.5,1.05,57.6,362.7,695,1
77.0,1.99,53.3,329.9,484,0
82.5,4.06,51.8,70.0,460,0
77.0,1.84,48.6,156.4,307,0
69.3,2.66,44.4,292.5,207,0
75.6,7.53,53.7,324.7,65,0
63.1,1.71,63.1,208.9,236,0
68.7,0.68,40.4,398.7,349,0
67.0,3.35,55.6,383.4,808,1
72.6,2.08,50.2,406.0,553,0
59.0,3.62,35.8,268.6,259,0
56.3,3.1,49.4,332.9,698,0
74.2,2.64,52.8,260.1,60,0
46.0,2.22,37.8,250.2,593,0
80.2,8.62,44.4,428.4,365,1
74.5,3.41,50.8,259.9,301,0
66.9,1.94,53.5,312.5,314,0
68.5,9.08,41.1,485.0,698,1
69.1,4.49,37.0,317.8,753,1
65.4,3.64,57.1,404.3,646,0
63.6,3.53,42.2,282.8,578,0
65.9,2.09,41.6,317.8,498,0
71.9,0.79,49.2,239.6,298,0
59.4,0.63,56.9,474.5,78,0
61.0,3.86,31.5,332.1,730,0
70.7,1.75,43.1,385.2,80,0
52.6,2.53,43.3,289.0,524,0
64.4,2.38,57.5,363.8,776,1
76.7,1.08,54.3,381.0,555,0
55.5,1.96,41.3,342.6,226,0
68.6,0.68,44.9,338.7,108,0
67.4,1.53,43.5,392.0,561,0
75.1,2.73,37.2,273.6,745,1
54.6,3.63,50.9,264.0,455,0
69.0,2.49,38.8,400.1,876,1
71.0,2.85,42.9,309.6,477,0
52.9,2.34,38.5,212.0,683,0
66.3,4.42,54.8,216.0,41,0
67.5,2.64,45.9,294.4,141,0
59.0,0.51,47.4,251.3,509,0
61.7,1.6,30.4,348.0,547,0
61.9,2.0,42.6,370.6,445,0
72.4,1.91,51.7,522.5,184,0
54.4,3.17,43.8,353.5,215,0
76.4,2.34,50.2,117.6,706,0
76.0,1.86,56.2,430.6,842,1
66.0,3.19,36.9,306.2,131,0
87.0,2.48,39.6,405.9,686,1
68.5,1.89,39.9,225.2,677,0
83.6,2.3,41.3,309.2,708,1
68.9,1.12,38.6,194.4,702,0
69.2,2.5,44.3,374.1,822,1
71.2,0.99,38.5,228.8,48,0
84.1,2.14,37.7,332.7,393,0
71.9,4.42,31.7,281.6,692,1
72.2,1.35,55.6,231.5,97,0
65.9,4.07,49.6,334.0,79,0
66.9,3.06,32.6,236.1,583,0
57.1,4.06,45.5,270.6,333,0
70.8,1.24,47.4,162.4,234,0
63.2,2.2,54.9,407.3,541,0
82.3,1.68,44.7,400.7,884,1
62.4,2.92,31.3,313.5,474,0
78.6,2.17,47.7,383.6,650,0
81.6,2.75,40.4,170.2,40,0
66.3,1.56,39.4,257.7,483,0
77.1,3.48,50.4,199.1,442,0
67.1,2.18,53.2,201.4,738,0
63.1,1.73,50.1,283.0,379,0
66.2,4.06,48.0,337.9,234,0
65.9,1.43,44.0,437.6,242,0
76.6,6.87,31.6,213.1,439,0
77.3,0.21,49.5,448.9,677,0
61.4,1.07,41.9,370.7,267,0
66.1,1.95,38.1,366.4,792,0
78.7,1.5,49.1,302.3,216,0
71.6,0.83,39.1,296.9,456,0
66.7,5.94,50.3,345.3,250,0
51.6,2.24,47.1,278.5,733,0
80.0,1.47,48.4,391.0,32,0
57.0,0.94,52.0,336.7,462,0
69.3,1.15,43.1,285.0,821,0
72.1,5.11,43.2,289.6,135,0
72.7,1.19,45.6,217.3,203,0
69.8,0.98,38.3,317.6,856,0
67.6,2.03,39.0,319.3,415,0
75.9,2.28,50.2,185.4,820,0
66.7,1.4,56.1,385.0,860,1
71.1,2.24,47.8,471.2,223,0
69.1,2.97,31.8,387.0,870,0
79.6,1.22,46.5,265.1,577,0
67.6,2.28,37.1,294.6,725,0
53.6,0.8,50.3,242.1,196,0
63.0,3.58,48.7,304.7,311,0
71.6,3.37,40.3,226.9,400,0
56.4,0.9,37.9,290.3,161,0
88.7,2.0,49.1,391.9,443,0
70.5,2.5,44.9,249.2,340,0
61.9,3.35,31.2,354.4,534,0
81.5,1.82,58.5,318.1,695,0
78.2,1.58,41.2,408.0,341,0
60.1,2.25,43.6,131.0,723,0
59.5,2.36,45.9,216.4,407,0
72.6,3.4,59.3,187.5,533,0
63.4,2.57,43.3,310.7,571,0
55.2,2.76,42.7,261.6,186,0
79.8,2.77,43.5,235.7,322,0
68.0,0.7,43.4,362.1,702,0
81.2,1.54,42.3,308.6,892,1
73.3,1.38,46.8,168.4,458,0
65.7,1.18,55.6,275.4,24,0
61.5,2.12,45.7,362.2,683,0
72.9,1.03,45.6,284.5,831,1
84.1,1.92,37.4,470.3,730,1
74.1,0.7,45.9,348.2,543,0
72.1,2.29,38.1,305.1,26,0
52.8,2.1,38.6,150.8,336,0
71.6,1.09,41.7,498.6,810,0
73.6,4.0,42.2,237.1,377,0
79.5,0.77,37.9,435.4,146,0
73.1,3.24,50.7,324.5,270,0
63.4,1.23,36.5,347.9,674,0
76.2,3.66,33.9,330.9,430,0
92.1,1.58,40.5,295.8,424,0
65.4,2.09,36.1,296.2,329,0
66.7,0.8,29.8,463.8,199,0
57.7,6.82,43.1,297.1,228,0
78.0,2.17,44.0,297.1,340,0
69.9,2.22,47.5,376.6,800,0
63.8,6.28,51.4,238.6,214,0
83.3,2.43,62.5,202.5,60,0
65.6,0.48,51.6,181.6,533,0
57.4,2.36,43.8,422.5,764,0
77.6,2.02,41.7,329.3,814,0
61.4,0.52,49.8,263.1,207,0
57.7,2.29,39.1,282.8,54,0
83.7,2.61,49.0,369.2,37,0
41.8,2.35,54.4,446.3,877,1
52.1,2.6,46.6,482.4,380,0
69.3,2.82,39.1,273.0,703,0
89.1,1.69,47.2,137.6,723,1
65.4,0.92,42.4,326.3,44,0
74.0,1.95,50.4,419.0,251,0
63.3,4.91,51.6,224.5,680,0
55.5,1.75,48.0,297.5,103,0
42.1,2.91,47.3,217.4,710,0
74.5,2.58,42.8,327.3,332,0
77.0,2.52,35.7,323.1,554,0
68.2,0.69,44.2,253.2,615,0
70.3,0.95,45.0,248.2,154,0
82.9,3.68,34.2,318.2,476,0
62.1,1.15,44.3,228.4,442,0
77.1,1.1,37.5,223.9,879,1
73.2,2.04,37.2,404.3,531,0
55.1,2.16,29.7,404.0,557,0
57.2,1.79,39.5,387.2,285,0
86.5,3.59,28.7,297.1,279,0
73.1,1.14,50.2,320.5,502,0
67.5,2.93,42.1,291.4,382,0
69.6,5.18,45.3,319.2,371,0
53.3,1.8,39.4,297.0,270,0
88.1,1.26,44.8,302.0,259,0
79.6,3.53,44.0,361.5,258,0
51.2,2.09,58.0,234.7,378,0
74.8,2.81,48.6,193.2,345,0
53.1,0.64,50.9,343.3,701,0
80.4,2.95,49.5,245.0,570,0
70.4,1.77,42.1,285.8,231,0
54.0,1.5,44.8,361.2,149,0
55.0,1.09,48.7,345.2,421,0
70.0,2.16,39.8,220.0,358,0
61.4,1.53,44.2,406.0,660,0
89.8,4.34,45.9,308.2,67,0
66.2,4.1,30.5,315.8,146,0
57.3,0.89,47.3,291.3,664,0
72.1,3.53,47.2,255.3,807,1
78.5,7.03,47.5,381.5,77,0
65.6,4.09,38.5,231.9,788,0
71.2,0.79,38.6,421.9,476,0
62.5,1.37,33.1,354.5,823,0
54.3,3.55,53.6,206.6,812,0
62.8,6.49,32.4,239.1,576,0
77.5,1.51,34.0,454.8,363,0
68.8,7.14,38.8,329.1,505,0
73.2,4.46,34.5,144.5,27,0
64.0,2.26,38.5,184.3,330,0
69.6,1.17,45.3,429.3,765,1
74.1,1.64,34.0,508.9,427,0
82.9,4.39,37.4,408.8,234,0
72.2,3.46,51.1,434.8,243,0
48.7,5.32,43.3,368.7,747,1
59.5,2.2,38.6,285.5,863,0
72.8,4.29,42.5,367.1,110,0
74.8,1.16,45.9,236.9,42,0
54.6,3.05,54.7,365.3,143,0
61.7,3.28,33.4,342.6,431,0
53.2,1.13,49.0,198.9,595,0
60.5,2.71,49.0,313.9,321,0
66.5,1.82,38.8,236.3,536,0
69.2,0.75,47.6,184.0,672,0
74.1,3.89,36.7,443.6,12,0
64.6,0.62,41.3,385.4,151,0
78.1,2.84,43.0,405.4,326,0
86.2,1.44,42.7,289.7,66,0
81.2,5.54,42.7,401.7,819,1
81.4,2.16,33.0,143.4,541,0
67.2,0.5,52.6,285.5,602,0
56.8,4.53,49.8,163.9,895,1
61.9,2.12,45.3,367.0,685,0
62.3,3.34,42.8,229.1,695,0
48.4,2.24,40.0,315.6,639,0
60.0,1.0,38.9,98.5,162,0
85.8,1.78,53.9,271.2,318,0
81.1,0.58,30.7,322.6,451,0
66.0,2.06,39.2,270.3,811,0
84.6,2.28,42.2,293.8,59,0
70.1,1.44,38.0,470.6,399,0
89.2,3.36,48.0,275.0,41,0
69.5,4.79,36.0,419.2,457,0
69.7,1.49,34.5,188.6,517,0
69.7,3.27,42.6,227.7,747,0
66.7,1.37,46.2,346.4,616,0
84.7,5.63,28.3,406.7,70,0
53.2,2.66,47.1,105.9,767,0
65.0,3.29,49.6,205.6,42,0
71.4,1.52,51.0,269.4,614,0
78.5,2.06,40.3,243.1,884,1
70.7,3.14,42.0,368.2,153,0
65.6,1.32,43.6,184.3,712,0
40.6,1.26,40.5,308.8,274,0
60.3,1.9,48.7,266.4,223,0
74.6,3.5,39.4,292.0,487,0
56.9,0.6,51.8,230.2,566,0
65.6,1.85,31.2,224.9,881,0
82.8,2.58,38.1,466.1,886,1
56.9,1.44,31.7,433.3,316,0
80.3,0.34,36.1,146.3,725,0
76.7,1.95,43.0,267.4,147,0
68.3,1.32,43.8,282.4,854,0
78.1,1.24,45.2,347.8,10,0
95.2,2.8,40.0,354.1,135,0
68.6,2.1,49.6,157.3,589,0
64.1,2.68,43.6,259.0,589,0
68.9,0.96,39.7,419.4,680,0
50.6,0.58,38.0,243.8,288,0
74.9,2.08,43.3,333.0,493,0
78.4,1.25,56.0,228.0,525,0
57.1,2.25,48.3,303.2,485,0
69.5,2.48,33.5,337.1,177,0
67.8,4.61,37.8,129.6,32,0
68.2,2.08,42.6,272.5,230,0
62.3,4.66,53.0,374.0,183,0
64.9,2.75,49.3,494.1,340,0
78.8,5.62,35.1,202.9,517,0
65.6,0.8,56.8,460.4,206,0
68.2,0.77,52.9,238.5,576,0
72.1,1.65,50.4,307.5,105,0
77.6,1.79,42.4,297.4,690,0
72.4,4.83,42.9,133.2,369,0
82.7,3.59,48.9,414.0,797,1
74.3,2.37,49.8,368.4,177,0
75.5,1.39,39.8,450.1,200,0
60.8,1.63,31.2,275.7,609,0
74.3,3.12,47.6,294.8,539,0
58.3,4.49,35.7,273.2,417,0
74.9,2.11,39.5,261.3,403,0
61.2,4.16,41.7,296.5,238,0
73.1,1.25,44.2,419.3,544,0
59.0,1.81,42.0,302.3,326,0
70.2,4.61,42.5,278.1,524,0
57.1,4.31,53.1,296.7,858,0
75.7,0.34,50.5,336.9,504,0
53.4,2.08,50.1,387.6,412,0
79.5,0.6,44.9,286.8,65,0
73.0,1.98,35.7,306.2,125,0
94.0,3.77,42.7,299.8,598,1
89.4,2.14,47.8,337.7,280,0
58.0,0.8,38.8,290.6,122,0
93.8,3.92,51.1,286.1,420,1
75.1,0.7,41.3,228.6,111,0
70.8,1.79,44.4,145.5,390,0
52.2,1.99,45.6,208.4,187,0
55.5,1.11,40.3,191.2,687,0
74.5,2.71,42.2,318.3,168,0
63.0,0.99,47.5,386.7,572,0
68.4,1.96,37.8,305.8,650,0
69.5,4.18,50.2,187.2,188,0
55.6,1.52,35.6,222.8,293,0
76.9,0.79,44.8,271.0,342,0
50.0,2.05,37.5,328.2,89,0
74.5,9.5,43.1,220.7,371,0
74.8,3.1,30.9,288.1,335,0
89.1,1.56,37.0,144.5,337,0
64.6,0.72,39.6,354.7,374,0
65.1,8.39,32.1,245.0,181,0
52.6,3.03,38.8,289.1,272,0
57.2,1.56,55.0,209.2,630,0
69.8,0.18,48.7,194.0,262,0
75.2,9.5,43.1,331.4,528,0
69.4,5.93,43.0,306.3,12,0
83.6,0.92,47.3,336.7,496,0
71.5,2.22,54.8,257.8,403,0
56.7,1.09,37.3,369.1,405,0
65.8,1.12,48.7,301.2,529,0
66.4,2.94,43.6,450.0,281,0
59.3,2.72,43.9,198.3,179,0
54.0,1.28,44.6,347.6,140,0
74.1,5.13,50.9,214.1,709,1
82.2,3.78,40.7,425.7,400,0
69.2,3.1,46.4,261.3,39,0
64.9,2.06,31.8,392.9,894,1
59.7,3.86,38.7,297.5,287,0
71.0,2.15,36.6,314.8,270,0
69.6,0.95,34.8,376.8,354,0
74.4,0.51,29.7,310.4,531,0
66.8,1.19,45.6,203.4,149,0
81.6,3.03,49.2,247.4,412,0
66.4,1.73,48.5,408.1,746,0
70.5,2.25,39.7,345.2,284,0
61.7,1.12,39.1,205.6,270,0
81.1,1.42,37.1,359.9,369,0
63.8,1.53,54.7,338.2,832,0
83.1,2.5,41.0,426.7,48,0
55.9,3.59,41.3,371.2,723,0
67.0,2.94,42.8,364.1,90,0
77.2,2.64,43.7,379.9,98,0
80.2,2.57,46.6,487.3,792,1
71.3,3.33,48.0,266.7,458,0
73.8,3.52,35.6,319.8,199,0
59.7,0.68,53.1,349.7,182,0
66.3,6.17,55.7,278.6,806,0
58.5,0.78,51.5,233.6,113,0
76.0,2.86,46.5,207.7,796,1
61.7,1.45,40.0,323.2,846,1
65.2,2.45,48.7,222.3,366,0
54.8,3.06,43.2,319.0,7,0
68.5,2.14,41.4,400.7,381,0
66.6,2.39,44.3,360.9,621,0
59.1,5.98,33.1,367.8,447,0
71.7,0.36,43.3,227.3,397,0
69.7,0.75,35.8,275.6,149,0
60.2,3.03,55.2,283.6,526,0
62.3,5.82,36.6,430.4,895,1
63.3,1.3,42.3,266.1,639,0
68.3,1.98,41.0,367.9,860,0
65.1,1.9,47.0,361.2,765,0
60.9,1.95,43.2,369.3,469,0
67.8,2.27,65.0,399.3,834,1
70.6,2.62,40.3,395.7,852,1
70.2,2.34,38.6,308.6,561,0
55.2,2.41,37.8,300.7,455,0
58.6,1.15,38.7,290.1,463,0
68.0,0.42,51.2,259.8,645,0
73.3,1.32,37.0,347.6,705,0
84.8,5.96,48.4,270.9,418,0
71.1,6.17,46.7,460.1,206,0
51.7,2.6,52.2,190.6,591,0
72.6,1.79,48.3,355.3,166,0
88.2,1.04,49.4,239.2,271,0
73.7,1.75,43.8,394.0,899,0
49.3,2.09,46.4,365.4,857,0
64.2,4.32,58.0,450.6,404,0
66.6,2.13,30.3,367.9,134,0
71.7,0.21,40.3,244.7,771,0
55.4,1.16,40.6,328.3,18,0
64.1,0.3,42.6,397.1,61,0
69.4,3.29,45.2,284.3,396,0
57.8,1.6,42.4,256.8,889,0
63.6,3.14,40.6,222.3,111,0
76.7,3.78,44.4,212.4,820,1
53.4,0.49,39.2,339.1,317,0
74.7,1.43,40.9,366.4,499,0
78.2,0.36,43.2,390.5,867,1
60.3,0.96,37.3,187.0,131,0
64.7,1.81,46.2,215.4,378,0
63.7,1.47,37.8,286.1,8,0
72.1,0.49,45.8,288.0,629,0
65.5,4.12,44.2,385.8,154,0
69.4,1.57,32.0,387.3,724,0
56.1,2.2,41.1,251.3,717,0
68.1,0.9,40.8,217.5,815,0
68.1,1.4,53.5,411.9,879,0
90.3,2.6,37.2,308.7,212,0
64.1,2.94,38.1,391.8,196,0
63.4,0.63,48.1,369.0,338,0
57.5,0.61,54.5,477.8,161,0
75.5,4.6,32.3,342.0,307,0
63.5,1.55,47.0,347.2,374,0
65.0,0.27,49.7,293.4,551,0
76.1,1.85,49.4,379.0,675,0
66.2,2.02,41.6,334.9,582,0
87.7,1.86,33.7,96.4,453,0
76.8,1.88,40.7,299.3,421,0
57.2,2.24,45.3,245.4,688,0
47.4,3.84,48.3,137.9,668,0
70.0,0.15,37.7,381.6,581,0
69.8,6.5,43.9,266.3,774,0
63.1,1.91,58.5,262.2,841,0
65.5,1.89,39.2,380.9,91,0
75.1,7.01,44.3,276.0,745,1
79.4,1.92,37.7,210.3,226,0
85.4,0.74,45.3,416.8,619,0
87.3,2.84,43.7,364.3,23,0
75.5,3.18,37.7,159.5,315,0
80.3,0.97,65.0,243.2,639,0
82.9,2.83,44.4,304.7,411,0
65.2,1.06,52.1,419.4,595,0
66.0,1.27,60.1,231.6,605,0
74.6,7.72,49.0,259.1,126,0
55.6,1.06,41.8,316.4,310,0
72.9,2.77,40.0,414.0,69,0
72.8,2.71,52.2,332.5,598,0
70.2,1.03,50.8,299.1,251,0
65.9,4.9,57.3,420.8,175,0
77.5,7.67,34.8,351.6,21,0
63.0,0.43,45.8,216.6,878,0
80.2,3.88,30.8,294.5,474,0
75.8,0.96,51.6,278.7,23,0
72.5,3.31,41.6,261.4,335,0
67.2,3.18,47.0,272.5,573,0
71.2,1.64,47.3,255.0,819,1
69.9,3.8,31.2,430.8,43,0
84.8,4.74,48.3,293.2,13,0
57.6,2.42,39.8,382.4,794,0
70.2,2.05,36.0,500.9,310,0
63.7,3.56,49.5,447.3,172,0
94.7,1.47,52.7,389.1,299,0
75.9,1.89,65.0,216.1,304,0
73.5,0.44,43.1,256.7,250,0
65.3,1.14,37.8,289.4,427,0
77.9,0.97,40.5,384.8,196,0
57.4,2.37,41.8,233.7,552,0
78.0,3.78,45.1,364.5,336,0
67.2,2.01,50.6,418.2,172,0
82.0,1.8,30.5,198.9,811,1
89.5,1.59,50.6,326.5,104,0
66.9,3.29,41.1,358.6,845,1
67.3,0.92,50.4,355.0,98,0
67.7,1.24,37.2,184.2,312,0
60.8,1.88,45.5,334.3,437,0
64.6,6.24,32.8,191.5,260,0
76.5,2.27,56.6,377.2,12,0
69.0,0.54,45.9,335.1,648,0
61.9,1.27,54.1,325.6,262,0
67.3,1.01,33.7,186.0,590,0
57.0,0.42,32.8,388.3,488,0
72.9,0.68,50.6,231.1,419,0
53.4,8.48,46.6,208.3,867,1
71.2,3.91,48.4,389.7,188,0
74.9,1.1,29.8,375.1,22,0
69.2,3.39,46.3,333.9,535,0
60.3,0.75,37.6,217.1,197,0
56.4,1.32,39.6,414.8,617,0
73.2,2.07,49.2,426.6,837,1
75.1,4.37,39.2,248.4,502,0
74.7,1.79,51.2,323.1,200,0
69.7,3.18,50.6,370.0,433,0
61.3,1.19,57.0,394.7,669,0
80.6,0.78,47.1,438.7,13,0
79.1,4.18,46.7,378.9,208,0
67.7,3.4,29.6,249.6,689,0
81.2,2.9,37.2,291.3,467,0
66.5,2.01,43.9,249.1,751,0
69.2,2.04,47.1,386.1,239,0
64.5,1.29,48.8,230.8,792,0
75.6,4.61,37.0,164.9,611,0
75.7,1.05,51.1,227.3,896,1
64.4,1.98,43.6,327.1,415,0
