Title,Artist,Nationality,Gender,Date,Medium,Department,DateAcquired
Double page in-text plate (folios 42 and 43) from THE DEPARTURE OF THE ARGONAUT,Francesco Clemente,(Italian),(male),1983-86,One from an illustrated book with forty-nine photolithographs,Drawings & Prints,1986-10-15
Spirit,Richard Tuttle,(American),(male),2011,Wood engraving with paper pulp and pigmented paper,Drawings & Prints,2013-05-21
L'Abbatoire (The Slaughterhouse),Eldzier Cortor,(American),(male),c. 1955,Woodcut,Drawings & Prints,2019-12-11
Game,James McGarrell,(American),(male),1954,"Engraving, etching and drypoint",Drawings & Prints,1959-10-15
Reclining Figure with Sea Background from Reclining Figures,Henry Moore,(British),(male),1973,One from a portfolio of six lithographs,Drawings & Prints,1994-01-25
Untitled,Christopher Wool,(American),(male),2014,Drypoint,Drawings & Prints,2015-10-27
"Koshimake Osen 2, Fire in a Long-sleeved Kimono",Tadanori Yokoo,(Japanese),(male),1969,Silkscreen,Architecture & Design,1972-04-11
BIJ Leo Faust letterhead (Letter to Zwart from Leo Faust),Piet Zwart,(Dutch),(male),1930,Letterpress,Architecture & Design,2015-10-19
14 gas mask cartridges,,,,,,Fluxus Collection,2008-10-08
Unidentfied Project (Structural detail. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Woman Seated (Femme assise),Pablo Picasso,(Spanish),(male),1923–24,Lithograph,Drawings & Prints,1940-04-05
"Pavilion Apartments and Town Houses, Lafayette Park, Detroit, Ml (Low rise buildings. Building type B. Cross sections and sections.)",Ludwig Mies van der Rohe,(American),(male),1955—1963,Pencil on ozalid,Architecture & Design,1968-04-11
"Akron, Ohio",Lee Friedlander,(American),(male),1980,Gelatin silver print,Photography,2000-10-12
"Motel project, Chicago, IL (Floor plan. Sketch.)",Ludwig Mies van der Rohe,(American),(male),1957—1958,colored pencil on tracing paper,Architecture & Design,1968-04-11
Page from Festons und Dekorative Gruppen,Unidentified photographer,(),(),1893,Collotype,Photography,1989-06-08
"GREAT LANDSCAPE, TERSCHELLING",Ap Sok,(Dutch),(male),1949,"Etching, printed in black",Drawings & Prints,1954-04-06
"Untitled, no. 1 of 36, from the series, The Fragile",Louise Bourgeois,(American),(female),2007,"Digital print, with hand additions",Drawings & Prints,
Plate (folio 3) from A DAY BOOK,R. B. Kitaj,(American),(male),1972,"Screenprint, printed in color",Drawings & Prints,1978-03-02
Untitled (gray and white lines),Lauretta Vinciarelli,(Italian),(female),1973,Synthetic polymer paint on paper,Architecture & Design,2016-06-10
Photograph of Kopcke with Poi-Poi beer bottles,Arthur Köpcke,(German),(male),,,Fluxus Collection,2008-10-08
Page from Festons und Dekorative Gruppen,Unidentified photographer,(),(),1893,Collotype,Photography,1989-06-08
Rock of Cashel and Irish Cabin,Alfred Capel Cure,(British),(male),March 1854,Salted paper print,Photography,1983-01-13
Untitled from the portfolio Urban Landscapes No. 2,Richard Estes,(American),(male),(1979),Screenprint,Drawings & Prints,1979-12-04
Troy Decuto,Ken Price,(American),(male),2003,Synthetic polymer paint on fired clay,Painting & Sculpture,2005-10-06
Blossom,Jay DeFeo,(American),(female),1958,Collage of photomechanical reproductions,Photography,1994-03-10
Engaged Farming Couple,August Sander,(German),(male),1911-14,Gelatin silver print,Photography,2015-05-28
Pokrowskaja in Witebsk from My Life (Mein Leben),Marc Chagall,(French),(male),"1922, published 1923",Etching and drypoint from a portfolio of twenty etchings (fifteen with drypoint),Drawings & Prints,1964-10-06
"Die Aktion, vol. 3, no. 30",,,,"July 26, 1913",Periodical,Drawings & Prints,2010-11-10
"Mine Strike from The American Scene, no. 2",Thomas Hart Benton,(American),(male),1936,One from a portfolio of six lithographs,Drawings & Prints,1940-05-05
Folio 7 from Utinoe gnezdyshko... durnykh slov (A Little Duck's Nest... of Bad Words),Olga Rozanova,(Russian),(female),1913,"Lithographed manuscript text from an illustrated book with twenty-two lithographs and lithographed manuscript texts, and collaged cover",Drawings & Prints,2001-01-24
9 Bilder (9 Pictures),Hans-Peter Feldmann,(German),(male),1971,"Staple-bound book of half-tone photographs, 12 pages",Drawings & Prints,2022-05-24
Indian Lady I,Robert Andrew Parker,(American),(male),1967,Lithograph,Drawings & Prints,1974-01-10
"Kinonedelia, nos. 27, 29, and 35",Unknown artist,(),(),1924,,Drawings & Prints,2001-01-24
Josef Esters House and Hermann Lange House (Two sections of house. Shop drawing.),Ludwig Mies van der Rohe,(American),(male),1927—1930,Print,Architecture & Design,1968-04-11
Study of an Upside-Down Nude (Étude de nu renversé ),Henri Matisse,(French),(male),1929,Etching with chine collé,Drawings & Prints,1956-03-19
"Golf Club Project, Krefeld, Germany (Perspective sketch)",Ludwig Mies van der Rohe,(American),(male),1930,Pencil on tracing paper,Architecture & Design,
Salad from The Last Supper,Damien Hirst,(British),(male),1999,One from a portfolio of thirteen screenprints,Drawings & Prints,1999-11-18
"Lemke House, Berlin, Germany (Plan sketch.)",Ludwig Mies van der Rohe,(American),(male),1932—1933,Pencil on tracing paper,Architecture & Design,1968-04-11
Ancien Hôtel Gaillardon. 27 quai d'Anjou,Eugène Atget,(French),(male),1914,Albumen silver print,Photography,1968-03-06
In-text plate (page 43) from UNE AVENTURE METHODIQUE,Georges Braque,(French),(male),1949-1950,"Lithograph, printed in black",Drawings & Prints,1964-10-06
"Rocks, Sierra Foothills, California",Ansel Adams,(American),(male),n.d.,Gelatin silver print,Photography,1968-05-01
"Beauvais, rue des Cuvettes",Eugène Atget,(French),(male),1904,Albumen silver print,Photography,1968-03-06
"Empress Alexandra Feodorovna and Emperor Nicholas II, Peterhof",Unidentified photographer,(),(),"August 7, 1905",Gelatin silver printing-out-paper print,Photography,2001-06-14
Untitled,Unidentified photographer,(),(),c. 1938–60,Gelatin silver print,Photography,2017-10-26
NUDE,Eugene Larkin,(American),(male),,Color woodcut,Drawings & Prints,1956-12-19
Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh (To Catch up with and Surpass the Leading Capitalist Countries in Technical and Economic Affairs in 10 Years. 70 Pictorial Diagrams on Postcards),Unidentified Artists,(),(),1931,"Postcard from a portfolio of 70 postcards and one booklet, letterpress printed",Drawings & Prints,2001-01-24
Beets,Elad Lassry,(Israeli),(male),2010,Chromogenic print,Photography,2010-05-12
"Frederick C. Robie House, Chicago, IL",Frank Lloyd Wright,(American),(male),1906,Pencil on tracing paper,Architecture & Design,
Steel Frame Pre-Fabricated Row Houses (Structural detail. Section. Sketch.),Ludwig Mies van der Rohe,(American),(male),1950—1951,Ink on paper,Architecture & Design,1968-04-11
"Le Lit, Gros Édredon, Bleu",Louise Bourgeois,(American),(female),1997,"Etching, aquatint, drypoint, engraving, and roulette",Drawings & Prints,1998-03-05
"Lafayette Towers, Detroit, MI",Ludwig Mies van der Rohe,(American),(male),1960,Pencil on acetate,Architecture & Design,
Unidentfied Project (Perspective. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
"""EL COCO-COLO"" (in-text plate, folio 9) from FAUNA MITOLOGICA CHILENA",Julio Palazuelos,(Chilean),(male),1963,"Etching, printed in color",Drawings & Prints,1969-04-16
The Sleepers (Les dormeurs),Sophie Calle,(French),(female),1979,Gelatin silver print,Photography,2019-11-12
Name card for Walter De Maria,George Maciunas,(American),(male),c. 1964,Offset card,Drawings & Prints,2008-10-08
Untitled from New Painting of Common Objects,Robert Dowd,(American),(male),1962,One from a portfolio of five mimeographs on paper,Drawings & Prints,2016-01-21
Ventriloquist,Jasper Johns,(American),(male),1986,Lithograph with chalk additions,Drawings & Prints,1993-05-03
Tailpiece (page 404) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,(French),(male),1893-1903,,Drawings & Prints,1964-10-06
Donated Object: Dual Black Construction Paper... : Film Noir,Pope.L,(American),(male),2005,Paper,Drawings & Prints,2014-10-02
Workers Parade,Tina Modotti,(Italian),(female),1926,Gelatin silver print,Photography,1964-01-07
Jaah! Katheriner,Kuron - Gogol,(German),(),1900-1937,Poster,Architecture & Design,1937-10-30
Autumn Conversion,Carroll Cloar,(American),(male),1953,Tempera on board,Painting & Sculpture,1953-12-21
"The Arts Club of Chicago, Chicago, IL (Mirror arrangement. Section.)",Ludwig Mies van der Rohe,(American),(male),1948—1951,Pencil on vellum attached to illustration board,Architecture & Design,1968-04-11
Plate (page 11) from PARADISE GARDEN,Sidney Nolan,(Australian),(male),1971,,Drawings & Prints,1972-02-07
Six Thousand Two Hundred and Fifty Five Lines,Sol LeWitt,(American),(male),1970,Ink on paper,Drawings & Prints,2011-05-12
Houses at Night,Karl Schmidt-Rottluff,(German),(male),1912,Oil on canvas,Painting & Sculpture,1957-10-09
The King and His Princess,Tony Ko,(American),(male),1967,Lithograph,Drawings & Prints,1974-01-10
Unidentfied Project (Structural detail. Section. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Unidentfied Project (Elevation. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,colored pencil on paper,Architecture & Design,1968-04-11
"The Minimum House (Nejmenší dům), edited by Oldřich Starý",Ladislav Sutnar,(American),(male),1931,Letterpress,Architecture & Design,2018-03-21
"The Unknown (L'Inconnue) from L'Estampe Moderne, Number 5",A. Calbet,(French),(male),published September 1897,Lithograph from a portfolio of four lithographs,Drawings & Prints,1958-12-19
River Avon Mud Drawing,Richard Long,(British),(male),(1986),Mud on paper,Drawings & Prints,1987-04-03
"Medals, New York",Robert Frank,(American),(male),1951,Gelatin silver print,Photography,1962-05-08
Real Estate Agent,August Sander,(German),(male),1924,Gelatin silver print,Photography,2015-05-28
Meccano: or L'Analyse matricielle du langage,Enrico Baj,(Italian),(male),1966,Illustrated book with seventeen collagraphs and supplementary unbound screenprint,Drawings & Prints,1967-04-11
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,(American),(male),1934,Pencil on paper,Architecture & Design,1974-11-06
"THE DEPOSITION, plate XXIV (folio 27) from SCÈNES DE LA VIE DU CHRIST",James Ensor,(Belgian),(male),1913-1921,,Drawings & Prints,1964-10-06
"Easter Eve, Washington Square",John Sloan,(American),(male),1926,Etching and aquatint,Drawings & Prints,1940-04-05
Untitled,David Folkman,(American),(male),1968,Lithograph with silver foil additions,Drawings & Prints,1974-01-10
"Robert, plate 3 of 24, from the series, Self Portrait",Louise Bourgeois,(American),(female),2009,Drypoint and etching,Drawings & Prints,2012-10-03
Architecture Panoramas,Jan Dibbets,(Dutch),(male),1971,Gelatin silver print,Photography,2014-05-08
Zemnye zvezdy. Tret'ia kniga stikhov,Unknown artist,(),(),1931,,Drawings & Prints,2001-01-24
Plate (folio 24) from DIECI POETI AMERICANI,Angelo Savelli,(Italian),(male),1963,,Drawings & Prints,1963-04-09
Parc de Saint-Cloud,Eugène Atget,(French),(male),1915,Albumen silver print,Photography,1968-03-06
Portrait of a Monster,Sergio Gonzalez-Tornero,(Chilean),(male),1966,Etching and scraper,Drawings & Prints,1967-04-11
Envy I (L'Envie I) from The Seven Deadly Sins (Les Sept péchés capitaux),Marc Chagall,(French),(male),"1925, published 1926",One from a portfolio of sixteen etching and drypoints,Drawings & Prints,1949-03-24
Grand Ball of Calaveras (Gran baile de calaveras),José Guadalupe Posada,(Mexican),(male),1906,Broadside with relief engraving and letterpress,Drawings & Prints,1965-05-11
Plate (facing page 62) from The Voice and the City and Other Stories,George Grosz,(American),(male),1935,Offset lithograph from an illustrated book with twenty-six line block and twenty-one offset lithography reproductions,Drawings & Prints,1964-10-06
Palaft de Herodes from Salome und der Prophet,Willi Baumeister,(German),(male),(1946),One from a portfolio of twelve lithographs,Drawings & Prints,1954-09-30
Unidentfied Project (nid fied sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Plate (folio 8) from XXXIII SONNETS,Jean Piaubert,(French),(male),1950,,Drawings & Prints,1954-09-30
Parc de Saint-Cloud,Eugène Atget,(French),(male),1915,Albumen silver print,Photography,1968-03-06
The ABC of Z from General Dynamic F.U.N.,Eduardo Paolozzi,(British),(male),"1965–70, published 1970",Offset lithograph from a portfolio of thirty-four offset lithographs and sixteen screenprints,Drawings & Prints,1970-10-22
Panels for the Walls of the World: Phase II,Stan VanDerBeek,(American),(male),1970,Xerox Telecopier II fax transmission,Drawings & Prints,2024-10-28
Stairway to Heaven,Didier Faustino,(French),(male),2002,Print,Architecture & Design,2012-06-07
"Plate XIII (facing page 162) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,(French),(male),1927-1940,,Drawings & Prints,1964-10-06
Plan for Greater Baghdad Project (General urban plan),Frank Lloyd Wright,(American),(male),1957,"Ink, pencil, and colored pencil on tracing paper",Architecture & Design,
Untitled from Passi Sulle Cime Dei Gelsi (Footsteps on Mulberry Tree Tops),Giuseppe Penone,(Italian),(male),2000,"Letterpress print from a portfolio of ten etching, aquatint and drypoints with chine collé; and twelve letterpress prints with artist's text",Drawings & Prints,2015-10-27
Mountains (Berge),Erich Heckel,(German),(male),1948,Woodcut,Drawings & Prints,1961-01-10
Peru,Harry Callahan,(American),(male),1974,Gelatin silver print,Photography,2016-05-19
Josef Esters House and Hermann Lange House (Chromed metal bed for woman's room. Front and side elevations and joining system.),Ludwig Mies van der Rohe,(American),(male),1927—1930,"Pencil, colored Pencil on tracing paper",Architecture & Design,1968-04-11
Highway to Heaven,Sue Williams,(American),(female),1993,"Etching, aquatint, and photoetching",Drawings & Prints,1996-03-12
The End from Nigger Heaven (Illustration from Carl van Vechten's novel),E. McKnight Kauffer,(American),(male),1931,Gouache and pencil on paper,Drawings & Prints,1978-10-27
Untitled,Alexander Ross,(American),(male),2003,Pencil on paper,Drawings & Prints,2005-05-10
Dunes,Alfred Young,(Nationality unknown),(male),1967,Lithograph,Drawings & Prints,1974-01-10
Cut-out of the found image used Antinomian Press logo,Ben Kinmont,(American),(male),n.d.,,Drawings & Prints,2013-02-07
Rencontre,Enrique Zañartu,(Chilean),(male),1962,"Illustrated book with five etching, aquatint and engravings",Drawings & Prints,1969-04-16
