ticket_id,jobs_ahead,estimated_repair_minutes,technicians_on_shift,parts_ready,priority_level,misses_48h
RQ-0732,25,150,7,False,1,1
RQ-0733,8,181,7,True,2,0
RQ-0734,19,290,6,False,2,0
RQ-0735,0,131,1,False,1,0
RQ-0736,3,90,4,False,3,0
RQ-0737,25,336,5,False,3,1
RQ-0738,21,108,5,True,1,0
RQ-0739,11,159,5,True,3,0
RQ-0740,3,131,8,True,2,0
RQ-0741,11,133,5,True,2,0
RQ-0742,3,350,1,True,2,0
RQ-0743,13,37,8,False,2,0
RQ-0744,24,159,2,True,2,0
RQ-0745,29,94,3,False,1,1
RQ-0746,15,335,7,False,2,0
RQ-0747,6,40,5,True,2,0
RQ-0748,5,109,4,True,2,0
RQ-0749,20,126,1,True,2,0
RQ-0750,15,28,8,False,2,0
RQ-0751,24,249,7,False,3,0
RQ-0752,17,27,2,True,2,0
RQ-0753,29,215,7,True,2,0
RQ-0754,28,281,1,False,3,1
RQ-0755,25,82,1,True,1,1
RQ-0756,17,146,6,True,2,0
RQ-0757,3,160,3,False,3,0
RQ-0758,3,24,8,False,1,0
RQ-0759,4,169,1,False,2,0
RQ-0760,6,79,3,False,1,0
RQ-0761,14,316,5,True,1,0
RQ-0762,28,134,7,False,3,0
RQ-0763,29,205,4,False,2,0
RQ-0764,11,84,4,True,3,0
RQ-0765,11,317,5,True,1,0
RQ-0766,11,109,4,False,1,0
RQ-0767,27,86,7,False,1,0
RQ-0768,8,205,3,True,3,0
RQ-0769,27,290,5,True,3,1
RQ-0770,12,266,6,True,1,0
RQ-0771,3,198,4,True,3,0
RQ-0772,27,73,7,False,2,0
RQ-0773,15,151,3,True,1,0
RQ-0774,27,333,2,False,2,1
RQ-0775,23,347,2,True,1,1
RQ-0776,3,213,5,True,1,0
RQ-0777,28,96,5,True,1,0
RQ-0778,0,240,7,True,2,0
RQ-0779,2,99,7,False,3,0
RQ-0780,17,303,6,False,1,0
RQ-0781,15,279,2,False,3,1
RQ-0782,27,320,5,True,1,1
RQ-0783,16,81,4,False,1,0
RQ-0784,10,354,4,False,1,0
RQ-0785,5,227,8,False,1,0
RQ-0786,12,125,7,True,2,0
RQ-0787,23,356,5,True,2,1
RQ-0788,3,313,5,False,3,0
RQ-0789,2,91,7,False,3,0
RQ-0790,16,85,1,True,2,1
RQ-0791,8,289,2,False,1,0
RQ-0792,20,230,8,True,2,0
RQ-0793,1,281,2,True,1,0
RQ-0794,10,174,8,False,1,0
RQ-0795,29,181,1,True,2,0
RQ-0796,8,334,4,True,2,0
RQ-0797,5,211,1,True,3,0
RQ-0798,0,234,2,False,1,0
RQ-0799,5,352,1,False,3,0
RQ-0800,26,202,1,True,3,0
RQ-0801,20,76,7,True,3,0
RQ-0802,21,339,7,True,3,1
RQ-0803,5,134,4,False,1,0
RQ-0804,18,248,8,True,3,0
RQ-0805,3,155,3,False,3,0
RQ-0806,15,205,3,False,1,1
RQ-0807,4,100,3,False,3,0
RQ-0808,6,150,8,True,2,0
RQ-0809,30,360,6,True,3,1
RQ-0810,14,291,1,False,1,1
RQ-0811,13,101,8,True,1,0
RQ-0812,1,135,8,True,3,0
RQ-0813,9,225,6,False,3,0
RQ-0814,30,18,5,False,1,0
RQ-0815,8,51,4,False,3,0
RQ-0816,0,165,7,True,3,0
RQ-0817,28,100,8,False,2,0
RQ-0818,9,276,7,True,3,1
RQ-0819,27,112,1,True,3,0
RQ-0820,6,322,8,False,1,0
RQ-0821,5,32,1,True,3,0
RQ-0822,13,290,2,False,3,0
RQ-0823,8,23,3,False,2,1
RQ-0824,9,196,3,False,3,0
RQ-0825,23,145,4,True,1,0
RQ-0826,6,252,6,True,1,0
RQ-0827,28,329,6,True,1,1
RQ-0828,18,93,5,False,3,0
RQ-0829,3,13,5,False,3,0
RQ-0830,3,350,1,True,3,0
RQ-0831,7,311,5,False,1,0
RQ-0832,21,325,8,True,2,0
RQ-0833,20,215,4,True,3,0
RQ-0834,11,130,1,True,1,1
RQ-0835,26,340,5,True,1,0
RQ-0836,13,107,7,True,1,0
RQ-0837,24,353,2,True,2,1
RQ-0838,28,310,8,False,3,0
RQ-0839,17,40,2,True,3,0
RQ-0840,19,271,6,False,3,1
RQ-0841,13,236,6,True,2,0
RQ-0842,7,98,3,False,2,0
RQ-0843,15,18,6,True,3,0
RQ-0844,11,274,3,True,1,1
RQ-0845,29,159,2,False,2,1
RQ-0846,9,90,7,False,3,0
RQ-0847,22,59,1,False,1,1
RQ-0848,5,127,5,True,2,0
RQ-0849,30,130,7,False,3,0
RQ-0850,9,27,6,False,2,0
RQ-0851,29,249,3,False,1,1
RQ-0852,25,93,2,True,1,1
RQ-0853,18,288,3,False,2,0
RQ-0854,21,166,1,False,2,1
RQ-0855,26,75,3,True,2,0
RQ-0856,22,257,6,True,3,0
RQ-0857,5,341,1,True,2,1
RQ-0858,7,68,3,True,2,0
RQ-0859,17,308,2,False,2,1
RQ-0860,18,198,1,True,1,0
RQ-0861,2,159,3,True,3,0
RQ-0862,11,296,2,True,3,0
RQ-0863,8,11,7,False,2,0
RQ-0864,12,81,8,True,3,0
RQ-0865,14,134,8,True,1,0
RQ-0866,5,270,5,True,2,0
RQ-0867,23,340,6,False,3,0
RQ-0868,4,155,5,True,2,0
RQ-0869,14,36,2,False,1,0
RQ-0870,2,227,5,False,2,0
RQ-0871,18,52,1,True,3,1
RQ-0872,21,114,8,True,3,0
RQ-0873,23,240,7,True,3,1
RQ-0874,27,194,2,True,2,1
RQ-0875,15,106,5,False,1,1
RQ-0876,25,76,3,False,3,0
RQ-0877,3,275,3,True,3,0
RQ-0878,29,217,7,True,1,0
RQ-0879,15,139,5,True,2,1
RQ-0880,6,125,2,True,1,0
RQ-0881,13,157,6,False,3,0
RQ-0882,13,133,5,True,1,0
RQ-0883,13,66,4,True,2,0
RQ-0884,19,24,4,True,1,0
RQ-0885,17,256,5,True,2,0
RQ-0886,12,181,4,False,1,1
RQ-0887,16,246,4,True,2,0
RQ-0888,19,205,3,False,2,1
RQ-0889,24,298,7,False,1,1
RQ-0890,23,106,7,False,3,0
RQ-0891,19,173,8,False,2,1
RQ-0892,28,146,8,False,2,1
RQ-0893,5,223,1,False,2,0
RQ-0894,15,47,4,True,2,1
RQ-0895,12,332,1,True,2,1
RQ-0896,12,349,7,True,2,0
RQ-0897,1,275,7,True,1,0
RQ-0898,0,91,3,True,1,0
RQ-0899,29,116,6,False,1,0
RQ-0900,0,186,6,True,3,0
RQ-0901,14,336,6,False,1,0
RQ-0902,4,221,1,False,2,1
RQ-0903,23,260,1,True,3,1
RQ-0904,15,197,5,True,2,0
RQ-0905,11,165,4,False,2,0
RQ-0906,22,261,8,False,1,1
RQ-0907,14,136,6,True,2,0
RQ-0908,0,23,4,True,3,0
RQ-0909,17,300,7,True,1,1
RQ-0910,27,178,7,False,2,0
RQ-0911,28,56,3,False,1,0
RQ-0912,8,16,7,True,2,0
RQ-0913,6,205,3,False,3,0
RQ-0914,14,128,1,False,1,1
RQ-0915,0,272,1,True,1,0
RQ-0916,11,321,3,True,1,0
RQ-0917,8,29,3,False,2,0
RQ-0918,30,315,8,True,2,0
RQ-0919,4,284,3,False,1,1
RQ-0920,0,299,3,True,2,0
RQ-0921,27,287,3,True,2,1
RQ-0922,25,124,2,True,3,0
RQ-0923,2,279,4,True,3,0
RQ-0924,26,229,3,True,3,1
RQ-0925,19,332,1,True,2,1
RQ-0926,18,98,3,False,1,1
RQ-0927,15,43,6,False,1,0
RQ-0928,12,49,7,True,1,0
RQ-0929,19,340,8,True,2,0
RQ-0930,0,325,7,False,3,0
RQ-0931,10,358,4,False,2,0
RQ-0932,9,246,2,True,3,0
RQ-0933,6,325,5,True,3,1
RQ-0934,25,155,1,False,2,1
RQ-0935,4,61,7,True,1,0
RQ-0936,16,86,1,False,3,0
RQ-0937,17,38,2,True,3,0
RQ-0938,7,221,2,False,3,1
RQ-0939,25,249,7,False,2,1
RQ-0940,23,208,7,True,3,0
RQ-0941,26,31,3,True,2,1
RQ-0942,14,305,3,True,2,1
RQ-0943,26,77,1,False,3,1
RQ-0944,3,255,2,True,1,0
RQ-0945,3,333,2,True,3,1
RQ-0946,27,193,8,False,3,0
RQ-0947,5,83,3,True,3,0
RQ-0948,15,350,8,True,2,0
RQ-0949,12,320,6,False,1,0
RQ-0950,7,265,5,True,3,0
RQ-0951,10,85,5,False,3,0
RQ-0952,25,89,5,False,2,1
RQ-0953,21,174,8,True,3,0
RQ-0954,11,277,8,False,2,0
RQ-0955,0,320,4,False,1,0
RQ-0956,26,122,6,False,2,1
RQ-0957,11,139,5,False,3,0
RQ-0958,20,103,5,False,3,0
RQ-0959,8,94,3,False,1,0
RQ-0960,1,96,3,True,3,0
RQ-0961,27,307,5,True,2,1
RQ-0962,24,263,4,True,1,1
RQ-0963,9,126,5,True,2,0
RQ-0964,20,104,1,False,2,0
RQ-0965,7,133,8,False,2,0
RQ-0966,24,109,6,True,1,0
RQ-0967,27,360,5,False,2,1
RQ-0968,20,127,5,True,3,0
RQ-0969,15,190,5,True,3,1
RQ-0970,30,347,4,False,2,1
RQ-0971,14,279,2,True,3,0
RQ-0972,3,27,2,False,3,0
RQ-0973,19,45,8,False,1,0
RQ-0974,29,52,1,False,1,1
RQ-0975,3,41,3,True,1,0
RQ-0976,19,140,4,False,3,1
RQ-0977,12,170,4,True,1,0
RQ-0978,18,338,1,False,2,1
RQ-0979,25,139,4,True,2,1
RQ-0980,15,214,8,False,3,1
RQ-0981,19,182,1,True,2,1
RQ-0982,30,115,8,True,3,1
RQ-0983,6,211,3,False,1,0
RQ-0984,2,215,1,True,1,1
RQ-0985,0,72,6,False,1,0
RQ-0986,11,67,8,False,1,0
RQ-0987,19,280,1,False,2,1
RQ-0988,27,169,6,False,2,1
RQ-0989,10,344,4,False,2,1
RQ-0990,4,186,6,True,1,1
RQ-0991,7,214,1,True,3,0
RQ-0992,21,232,8,True,3,0
RQ-0993,26,31,2,False,3,0
RQ-0994,20,63,4,True,1,0
RQ-0995,6,254,8,True,2,0
RQ-0996,16,99,2,True,3,0
RQ-0997,24,327,5,False,3,1
RQ-0998,22,211,5,False,1,1
RQ-0999,6,276,1,False,3,1
RQ-1000,15,140,4,True,2,1
