site_id,sunlight_hours,cloud_cover_pct,panel_area_m2,panel_age_years,inverter_efficiency,daily_output_kwh
SITE-0449,12.32,30.2,67.1,10.1,0.925,117.0
SITE-0450,13.94,56.7,144.3,26.6,0.848,166.7
SITE-0451,7.25,92.3,113.3,19.6,0.844,33.7
SITE-0452,12.77,36.0,41.8,15.0,0.914,64.3
SITE-0453,9.65,28.6,89.0,27.1,0.865,102.3
SITE-0454,5.63,82.8,233.8,7.6,0.988,101.5
SITE-0455,13.77,48.1,254.5,27.6,0.967,370.9
SITE-0456,11.05,16.3,234.8,18.1,0.83,342.5
SITE-0457,3.86,32.0,204.9,13.7,0.931,103.2
SITE-0458,13.59,30.7,96.5,22.8,0.882,157.9
SITE-0459,12.76,88.8,44.2,11.9,0.955,37.1
SITE-0460,11.05,14.4,284.1,0.4,0.975,552.8
SITE-0461,2.8,80.4,111.9,13.2,0.858,18.8
SITE-0462,3.85,88.2,217.9,1.9,0.907,51.7
SITE-0463,5.9,92.7,253.4,6.3,0.871,80.0
SITE-0464,3.99,64.0,181.1,5.3,0.868,64.9
SITE-0465,8.73,50.6,69.8,21.8,0.957,63.4
SITE-0466,5.29,56.2,224.7,13.1,0.946,133.3
SITE-0467,4.86,41.1,74.6,16.1,0.97,49.2
SITE-0468,13.33,57.3,134.0,0.1,0.962,212.7
SITE-0469,5.21,53.5,171.0,11.1,0.987,105.9
SITE-0470,2.29,13.3,176.2,22.4,0.868,56.4
SITE-0471,9.56,37.2,93.4,6.1,0.836,101.5
SITE-0472,2.53,96.2,226.6,17.9,0.88,29.0
SITE-0473,1.25,25.1,66.6,17.5,0.835,7.9
SITE-0474,10.31,16.2,82.3,3.9,0.97,146.6
SITE-0475,10.24,75.1,63.0,16.3,0.978,59.8
SITE-0476,11.5,78.8,108.1,26.8,0.86,79.2
SITE-0477,10.04,90.8,70.5,23.8,0.866,35.7
SITE-0478,4.44,82.1,190.5,22.8,0.933,53.8
SITE-0479,3.58,59.8,269.5,14.8,0.844,80.4
SITE-0480,4.68,54.5,9.9,14.9,0.974,0.0
SITE-0481,13.57,6.8,233.3,27.6,0.905,457.8
SITE-0482,9.19,8.0,291.8,11.2,0.918,431.9
SITE-0483,2.98,95.9,198.3,26.2,0.989,31.7
SITE-0484,2.52,64.7,40.2,29.3,0.964,2.7
SITE-0485,11.01,45.7,26.6,7.9,0.834,30.9
SITE-0486,5.34,30.8,38.2,25.6,0.82,23.2
SITE-0487,13.37,45.9,231.0,10.0,0.885,351.5
SITE-0488,8.89,36.9,116.9,14.9,0.849,118.0
SITE-0489,12.65,86.9,76.0,19.0,0.913,55.9
SITE-0490,5.48,40.2,31.6,3.7,0.939,18.1
SITE-0491,11.47,72.6,201.2,22.5,0.849,169.3
SITE-0492,10.2,44.1,81.0,18.3,0.87,89.1
SITE-0493,2.21,42.9,38.2,16.5,0.962,10.9
SITE-0494,3.03,30.7,237.9,3.8,0.887,105.3
SITE-0495,10.97,41.1,49.8,19.6,0.979,60.0
SITE-0496,12.15,3.4,12.9,11.8,0.893,26.1
SITE-0497,1.65,57.5,283.3,20.4,0.866,45.6
SITE-0498,11.97,98.8,195.3,7.2,0.876,114.7
SITE-0499,12.4,33.0,211.7,16.5,0.866,330.1
SITE-0500,2.01,68.1,65.2,25.4,0.869,7.9
SITE-0501,8.22,59.3,49.1,6.9,0.921,39.6
SITE-0502,5.93,50.5,148.0,24.6,0.923,88.9
SITE-0503,13.56,74.9,143.8,25.0,0.839,129.0
SITE-0504,6.12,11.3,198.0,5.1,0.827,187.9
SITE-0505,8.55,97.0,55.9,9.2,0.977,26.8
SITE-0506,8.74,87.1,163.2,9.1,0.907,104.4
SITE-0507,7.85,50.2,247.6,17.5,0.841,187.0
SITE-0508,3.67,81.6,219.1,9.4,0.878,53.9
SITE-0509,12.53,98.1,10.7,6.8,0.835,9.0
SITE-0510,2.36,32.5,189.3,21.8,0.962,57.1
SITE-0511,13.48,48.8,187.1,26.4,0.977,277.7
SITE-0512,3.06,70.1,26.0,30.0,0.973,5.8
SITE-0513,9.2,34.2,139.8,14.7,0.825,157.5
SITE-0514,11.09,8.3,113.7,18.9,0.923,199.2
SITE-0515,3.05,84.7,237.4,11.4,0.903,49.7
SITE-0516,3.46,28.6,183.0,18.2,0.826,71.3
SITE-0517,13.93,71.3,63.9,20.7,0.945,75.7
SITE-0518,2.11,17.5,115.2,18.5,0.886,39.6
SITE-0519,9.05,66.3,126.6,12.2,0.859,98.3
SITE-0520,5.26,94.4,103.9,3.4,0.926,31.5
SITE-0521,9.93,5.6,216.4,19.5,0.86,319.7
SITE-0522,7.37,44.0,259.5,6.4,0.886,235.3
SITE-0523,13.45,7.1,226.1,6.4,0.939,532.5
SITE-0524,8.99,97.9,85.1,22.8,0.854,30.1
SITE-0525,2.93,79.1,11.9,23.7,0.833,1.2
SITE-0526,2.09,94.7,200.6,16.4,0.971,25.2
SITE-0527,13.0,38.9,271.0,15.0,0.91,426.9
SITE-0528,6.13,12.9,298.5,24.5,0.976,278.8
SITE-0529,11.34,30.1,167.3,16.5,0.906,251.9
SITE-0530,6.65,88.5,224.0,22.6,0.907,93.2
SITE-0531,7.88,98.4,21.1,26.3,0.929,11.2
SITE-0532,2.09,78.8,130.3,4.1,0.976,23.0
SITE-0533,8.75,38.1,184.7,24.8,0.884,181.0
SITE-0534,12.61,32.3,277.2,18.5,0.922,438.7
SITE-0535,13.7,31.2,210.5,14.0,0.828,338.4
SITE-0536,13.9,43.7,106.4,17.3,0.889,169.5
SITE-0537,12.28,24.3,244.2,13.8,0.876,410.9
SITE-0538,9.53,66.8,78.3,20.6,0.96,63.2
SITE-0539,5.82,65.4,125.5,2.4,0.986,84.1
SITE-0540,13.6,72.1,145.7,6.9,0.936,174.4
SITE-0541,6.66,20.9,90.6,16.9,0.835,78.6
SITE-0542,5.26,65.8,206.0,6.4,0.881,100.0
SITE-0543,7.09,34.1,264.3,25.3,0.935,240.7
SITE-0544,7.39,99.1,79.2,25.9,0.911,22.1
SITE-0545,10.96,91.7,239.9,7.3,0.843,145.7
SITE-0546,10.52,1.7,94.3,16.8,0.947,164.4
SITE-0547,5.0,85.6,232.2,11.2,0.935,82.4
SITE-0548,12.27,25.2,45.1,1.4,0.888,81.6
SITE-0549,1.05,37.0,276.9,5.3,0.945,40.9
SITE-0550,5.01,17.3,152.3,18.4,0.877,115.8
SITE-0551,10.09,48.7,277.7,16.3,0.834,288.7
SITE-0552,10.08,34.6,109.0,13.8,0.832,129.8
SITE-0553,10.63,10.2,243.7,29.5,0.951,386.4
SITE-0554,11.72,80.6,21.5,21.8,0.855,19.2
SITE-0555,3.29,98.4,37.0,12.3,0.935,7.2
SITE-0556,3.56,58.8,39.4,1.0,0.915,8.0
SITE-0557,10.25,80.9,270.8,28.9,0.97,194.0
SITE-0558,12.51,99.7,170.0,0.3,0.957,115.4
SITE-0559,8.02,26.2,57.3,2.3,0.975,72.9
SITE-0560,8.78,40.8,290.4,26.2,0.879,276.0
SITE-0561,11.66,23.2,13.9,22.6,0.875,22.9
SITE-0562,6.94,67.0,236.8,13.3,0.958,150.0
SITE-0563,8.92,7.3,271.6,13.3,0.903,394.1
SITE-0564,7.28,7.9,61.8,25.4,0.95,80.8
SITE-0565,10.49,51.8,263.9,25.3,0.835,243.6
SITE-0566,1.9,95.8,247.4,19.2,0.862,28.8
SITE-0567,13.88,29.2,15.1,8.0,0.919,32.4
SITE-0568,3.86,47.9,158.9,13.4,0.827,67.9
SITE-0569,10.97,52.9,224.5,25.1,0.951,253.9
SITE-0570,3.87,8.9,168.5,4.6,0.903,119.0
SITE-0571,11.55,30.4,30.4,6.7,0.937,50.9
SITE-0572,3.62,32.4,78.4,5.3,0.873,39.9
SITE-0573,4.88,98.9,65.1,13.2,0.904,13.2
SITE-0574,9.19,27.0,241.9,25.6,0.932,296.1
SITE-0575,6.07,51.5,286.3,27.3,0.835,153.2
SITE-0576,13.07,61.3,144.7,8.2,0.877,169.7
SITE-0577,9.73,83.4,52.3,9.2,0.939,32.0
SITE-0578,2.61,96.3,139.1,27.2,0.872,15.1
SITE-0579,7.27,14.1,249.2,5.3,0.961,315.8
SITE-0580,5.07,99.8,162.6,4.9,0.885,44.4
SITE-0581,12.53,69.3,12.2,11.7,0.942,9.7
SITE-0582,1.28,33.2,222.0,29.6,0.927,35.9
SITE-0583,4.74,5.0,124.5,8.8,0.975,101.8
SITE-0584,4.94,36.7,265.8,14.2,0.892,163.4
SITE-0585,8.77,1.0,16.8,1.0,0.951,34.1
SITE-0586,5.17,32.9,286.8,1.2,0.918,216.7
SITE-0587,4.38,24.7,178.4,29.7,0.885,94.9
SITE-0588,2.35,24.7,154.4,9.0,0.831,41.5
SITE-0589,3.66,34.7,26.2,8.8,0.949,14.2
SITE-0590,1.39,44.5,49.8,9.3,0.916,2.4
SITE-0591,11.25,40.2,239.5,9.7,0.836,311.2
SITE-0592,2.31,58.5,10.5,25.9,0.863,5.9
SITE-0593,12.06,11.3,278.6,19.8,0.85,474.9
SITE-0594,1.21,69.0,223.0,28.8,0.987,25.5
SITE-0595,6.54,86.3,271.0,0.1,0.969,141.5
SITE-0596,2.14,29.2,205.5,18.9,0.927,59.3
SITE-0597,5.54,24.1,151.5,6.0,0.933,130.3
SITE-0598,1.93,29.2,139.6,8.9,0.947,41.0
SITE-0599,9.93,92.4,49.7,4.0,0.931,32.0
SITE-0600,10.01,34.2,234.5,24.9,0.989,305.5
SITE-0601,10.74,59.2,136.9,20.2,0.876,124.7
SITE-0602,6.68,65.0,82.5,20.8,0.926,55.3
SITE-0603,11.25,99.9,241.0,11.0,0.859,117.8
SITE-0604,3.17,47.7,114.6,27.3,0.917,35.7
SITE-0605,11.09,47.5,131.8,11.4,0.833,148.8
SITE-0606,13.71,98.8,91.8,9.6,0.877,60.8
SITE-0607,6.48,40.7,139.3,15.0,0.856,100.4
SITE-0608,7.41,45.4,28.0,23.6,0.892,24.1
SITE-0609,3.33,26.2,67.2,21.1,0.831,26.8
SITE-0610,8.18,61.4,267.7,16.4,0.966,223.5
SITE-0611,6.95,29.4,155.0,25.4,0.964,145.8
SITE-0612,8.28,16.9,161.7,10.6,0.924,202.8
SITE-0613,13.22,80.3,216.4,2.8,0.942,232.4
SITE-0614,1.38,67.9,160.5,10.1,0.926,16.3
SITE-0615,3.82,49.5,117.5,17.8,0.828,44.6
SITE-0616,13.39,44.2,60.8,20.6,0.885,88.7
SITE-0617,9.77,47.0,271.0,19.3,0.846,268.9
SITE-0618,3.66,67.8,75.5,20.4,0.872,21.3
SITE-0619,7.61,88.4,141.7,15.9,0.874,63.1
SITE-0620,9.42,22.7,55.7,17.0,0.834,66.8
SITE-0621,12.18,58.0,149.8,26.7,0.842,149.5
SITE-0622,7.93,49.0,178.7,9.4,0.846,154.0
SITE-0623,6.95,21.2,181.6,15.3,0.976,201.6
SITE-0624,7.53,82.1,46.7,2.8,0.925,28.2
SITE-0625,6.16,12.8,73.2,22.5,0.963,68.3
SITE-0626,10.29,26.0,97.1,3.2,0.851,144.1
SITE-0627,3.03,72.2,200.8,9.6,0.929,50.7
SITE-0628,11.63,28.0,63.7,21.4,0.827,86.5
SITE-0629,1.36,2.4,222.8,2.9,0.975,60.6
SITE-0630,4.81,57.1,204.8,18.3,0.834,95.2
SITE-0631,7.85,86.9,100.3,6.8,0.949,54.2
SITE-0632,6.02,18.8,225.4,22.5,0.898,186.2
SITE-0633,2.63,84.1,10.5,11.7,0.826,2.5
SITE-0634,1.43,6.8,75.6,6.4,0.977,19.5
SITE-0635,13.66,53.8,76.4,3.0,0.89,118.6
SITE-0636,13.74,29.0,116.3,0.0,0.903,229.2
SITE-0637,1.7,91.9,101.2,25.3,0.865,7.7
SITE-0638,1.49,15.1,197.3,25.3,0.825,37.9
SITE-0639,4.23,36.3,197.7,5.8,0.881,105.7
SITE-0640,4.83,49.1,104.6,7.3,0.969,61.1
SITE-0641,3.8,74.3,251.7,29.3,0.852,69.2
SITE-0642,9.11,96.7,121.9,23.1,0.836,50.3
SITE-0643,3.52,30.6,236.5,28.4,0.861,94.5
SITE-0644,3.39,68.4,262.7,9.2,0.845,75.7
SITE-0645,1.04,28.1,9.5,13.4,0.976,0.0
SITE-0646,13.35,65.1,184.4,15.2,0.938,232.1
SITE-0647,9.53,66.7,40.1,19.8,0.926,30.9
SITE-0648,5.46,54.0,227.4,20.8,0.834,112.5
SITE-0649,8.31,69.9,127.2,21.5,0.989,96.1
SITE-0650,9.88,12.0,245.6,2.1,0.849,376.2
SITE-0651,7.24,52.3,75.5,23.0,0.936,55.7
SITE-0652,2.97,3.6,38.3,23.8,0.929,17.5
SITE-0653,8.88,41.2,90.0,21.9,0.88,85.6
SITE-0654,7.4,79.9,15.6,18.9,0.852,7.4
SITE-0655,8.08,1.7,38.2,12.5,0.868,44.6
SITE-0656,9.66,85.1,74.9,21.6,0.883,47.8
SITE-0657,3.49,82.1,201.2,20.7,0.966,47.2
SITE-0658,5.22,41.0,244.3,21.7,0.842,139.3
SITE-0659,13.37,42.5,293.1,17.9,0.906,464.6
SITE-0660,5.72,49.6,156.6,26.9,0.931,87.6
SITE-0661,2.45,93.3,164.2,7.7,0.97,22.5
SITE-0662,9.27,74.5,252.9,10.2,0.913,199.3
SITE-0663,1.89,59.8,63.6,16.0,0.87,12.8
SITE-0664,6.67,73.3,174.1,28.0,0.856,80.1
SITE-0665,9.79,46.9,252.7,4.7,0.918,308.7
SITE-0666,11.61,19.6,182.4,17.0,0.904,306.9
SITE-0667,3.07,58.9,288.6,16.7,0.95,89.4
SITE-0668,6.12,61.2,275.9,19.7,0.869,136.7
SITE-0669,2.8,70.0,289.9,26.2,0.86,61.4
SITE-0670,3.62,5.9,238.7,10.9,0.93,147.9
SITE-0671,11.29,35.1,246.8,8.0,0.942,391.6
SITE-0672,12.34,81.8,297.3,2.2,0.84,250.6
SITE-0673,9.4,73.7,79.3,25.7,0.921,56.2
SITE-0674,12.51,44.6,113.9,20.9,0.877,147.2
SITE-0675,9.11,78.5,121.3,21.9,0.849,70.4
SITE-0676,10.4,42.0,34.1,8.0,0.925,42.4
SITE-0677,9.73,86.3,159.5,5.6,0.926,102.8
SITE-0678,10.63,79.9,45.8,15.1,0.892,32.4
SITE-0679,5.37,90.7,208.5,2.0,0.876,76.3
SITE-0680,3.21,15.5,268.1,17.1,0.92,127.9
SITE-0681,6.26,45.8,97.8,9.3,0.945,72.3
SITE-0682,4.98,77.5,249.1,19.8,0.919,91.9
SITE-0683,9.46,14.9,148.6,2.1,0.95,237.4
SITE-0684,1.9,96.6,55.4,6.3,0.916,6.2
SITE-0685,1.81,32.6,213.3,3.8,0.86,54.0
SITE-0686,4.49,2.7,193.3,1.1,0.899,155.3
SITE-0687,10.5,97.1,203.6,17.0,0.867,104.3
SITE-0688,11.87,5.7,212.3,7.8,0.824,381.9
SITE-0689,4.45,48.9,167.3,12.3,0.859,75.4
SITE-0690,11.36,83.9,101.8,4.8,0.917,80.3
SITE-0691,10.8,7.8,185.2,28.2,0.914,288.7
SITE-0692,10.31,69.9,236.7,27.7,0.985,218.2
SITE-0693,8.45,44.8,121.2,20.5,0.868,109.4
SITE-0694,4.12,16.5,15.7,6.3,0.956,10.5
SITE-0695,6.22,99.9,157.7,17.5,0.96,51.9
SITE-0696,13.27,87.1,275.1,23.0,0.933,218.4
SITE-0697,2.22,27.7,131.2,3.1,0.954,44.5
SITE-0698,2.47,29.3,81.0,26.7,0.947,24.2
SITE-0699,6.27,48.6,234.4,13.1,0.893,166.3
SITE-0700,7.89,25.7,215.7,29.0,0.862,199.1
SITE-0701,1.64,53.6,299.9,7.4,0.901,51.9
SITE-0702,7.0,57.5,293.4,18.3,0.908,201.1
SITE-0703,1.1,3.0,163.7,4.2,0.939,31.6
SITE-0704,11.66,48.4,248.3,24.7,0.822,278.1
SITE-0705,11.92,37.6,43.6,0.7,0.923,69.1
SITE-0706,5.68,48.8,285.6,3.9,0.842,173.7
SITE-0707,3.15,95.7,68.8,17.0,0.85,16.1
SITE-0708,2.0,95.5,60.4,13.7,0.96,9.6
SITE-0709,5.36,22.3,98.5,20.9,0.948,77.3
SITE-0710,12.45,21.1,144.2,9.7,0.969,289.7
SITE-0711,2.97,5.4,38.8,22.8,0.826,20.4
SITE-0712,13.42,58.8,298.2,9.6,0.838,386.5
SITE-0713,6.07,19.9,237.0,26.6,0.86,187.7
SITE-0714,4.27,59.2,219.8,8.7,0.947,107.7
SITE-0715,3.39,84.9,166.1,11.8,0.84,33.7
SITE-0716,10.79,10.0,195.4,15.4,0.973,345.3
SITE-0717,9.44,66.6,64.4,27.1,0.942,47.2
SITE-0718,9.88,75.5,191.4,0.3,0.976,169.8
SITE-0719,9.76,98.7,67.1,28.9,0.974,32.4
SITE-0720,13.68,88.6,93.9,3.8,0.941,89.3
SITE-0721,12.45,0.0,61.9,1.0,0.957,142.5
SITE-0722,10.11,99.2,131.2,24.6,0.877,58.3
SITE-0723,4.01,85.5,183.5,25.1,0.839,45.5
SITE-0724,8.5,31.0,131.6,8.2,0.918,150.8
SITE-0725,10.18,19.8,264.9,3.9,0.972,455.4
SITE-0726,3.49,31.2,172.8,25.9,0.964,83.6
SITE-0727,4.66,27.9,284.8,19.1,0.913,176.0
SITE-0728,13.51,73.7,266.1,19.1,0.873,265.0
SITE-0729,13.98,80.7,113.1,7.5,0.872,120.5
SITE-0730,8.33,70.7,191.0,17.1,0.847,121.8
SITE-0731,9.47,60.2,182.0,11.4,0.845,160.8
SITE-0732,10.49,11.8,177.6,2.6,0.945,332.9
SITE-0733,10.73,94.1,107.1,14.4,0.893,68.9
SITE-0734,10.05,92.3,252.1,8.0,0.856,142.6
SITE-0735,9.87,52.3,261.2,7.9,0.899,277.2
SITE-0736,1.26,39.7,261.5,19.8,0.827,37.6
SITE-0737,1.46,20.0,244.1,7.3,0.824,50.6
SITE-0738,12.84,99.9,55.3,18.3,0.876,37.4
SITE-0739,13.67,58.7,119.5,0.6,0.835,159.0
SITE-0740,11.6,13.4,125.6,25.4,0.872,189.0
SITE-0741,1.31,52.7,248.7,0.6,0.843,26.7
SITE-0742,4.91,11.1,240.9,29.3,0.86,164.1
SITE-0743,11.05,85.4,107.9,26.6,0.869,60.5
SITE-0744,5.64,37.4,245.5,26.4,0.973,173.0
SITE-0745,11.27,12.5,212.5,10.6,0.821,349.6
SITE-0746,9.48,42.0,138.5,27.5,0.88,143.5
SITE-0747,3.89,58.9,210.3,15.9,0.841,79.5
SITE-0748,3.24,7.4,98.0,11.4,0.842,39.2
SITE-0749,5.32,34.2,34.4,16.2,0.869,25.0
SITE-0750,4.25,72.1,142.4,12.6,0.929,52.0
SITE-0751,12.82,70.4,156.3,25.1,0.872,157.8
SITE-0752,4.59,33.5,264.0,3.5,0.963,178.5
SITE-0753,13.77,47.7,26.1,11.3,0.904,41.8
SITE-0754,1.0,56.3,58.5,3.8,0.836,3.0
SITE-0755,7.78,61.4,164.0,25.7,0.847,110.7
SITE-0756,7.41,86.2,106.2,25.1,0.987,58.1
SITE-0757,12.69,46.0,282.3,10.9,0.847,394.6
SITE-0758,4.61,34.5,279.7,28.5,0.894,148.6
SITE-0759,10.74,5.9,29.0,22.2,0.847,41.9
SITE-0760,6.18,30.2,74.4,3.3,0.945,71.5
SITE-0761,12.55,48.3,149.9,20.5,0.915,203.7
SITE-0762,1.47,13.0,236.0,23.3,0.907,49.9
SITE-0763,6.58,66.2,78.2,9.2,0.924,53.7
SITE-0764,4.14,65.7,195.8,3.4,0.889,73.4
SITE-0765,13.73,97.3,44.1,6.2,0.958,33.8
SITE-0766,10.12,61.8,186.2,28.4,0.979,181.2
SITE-0767,5.9,57.9,150.1,18.5,0.828,81.3
SITE-0768,10.87,58.0,159.3,29.0,0.954,162.1
SITE-0769,3.44,50.1,153.3,20.7,0.964,57.9
SITE-0770,7.95,35.9,46.3,4.0,0.857,45.5
SITE-0771,8.61,11.0,242.1,15.7,0.896,314.9
SITE-0772,3.32,97.6,141.9,25.8,0.938,19.0
SITE-0773,4.38,80.5,232.4,10.2,0.948,76.9
SITE-0774,4.6,66.6,79.2,10.7,0.857,32.1
SITE-0775,12.66,33.0,102.8,15.5,0.831,153.8
SITE-0776,11.28,67.6,250.2,22.0,0.94,243.2
SITE-0777,11.7,73.3,55.7,1.3,0.97,57.6
SITE-0778,5.07,33.9,103.9,12.7,0.865,65.7
SITE-0779,4.52,12.2,103.9,1.4,0.918,82.8
SITE-0780,12.33,92.6,169.3,14.2,0.977,127.0
SITE-0781,1.14,82.3,291.9,18.0,0.96,19.2
SITE-0782,8.09,42.6,265.5,7.6,0.854,249.2
SITE-0783,7.81,28.7,106.0,10.3,0.835,114.5
SITE-0784,10.08,85.1,108.4,5.4,0.978,85.3
SITE-0785,13.94,92.2,144.6,13.8,0.931,118.3
SITE-0786,12.7,22.7,27.2,19.7,0.968,52.6
SITE-0787,9.64,83.7,25.2,5.2,0.925,19.5
SITE-0788,11.05,32.1,143.3,18.7,0.92,198.2
SITE-0789,8.07,27.9,188.1,1.5,0.876,212.2
SITE-0790,1.72,65.5,290.9,9.3,0.913,50.3
SITE-0791,8.85,16.7,88.6,27.6,0.844,99.8
SITE-0792,10.65,29.6,83.2,10.6,0.937,120.0
SITE-0793,13.69,0.5,299.3,25.4,0.888,598.4
SITE-0794,3.7,37.7,129.1,2.8,0.953,65.3
SITE-0795,9.98,61.1,36.2,7.2,0.965,39.7
SITE-0796,6.53,85.9,281.2,9.7,0.896,124.6
SITE-0797,11.45,20.3,166.5,1.9,0.966,320.1
SITE-0798,8.56,9.3,280.3,14.3,0.838,355.1
SITE-0799,13.27,62.6,194.8,20.7,0.911,232.3
SITE-0800,4.89,52.5,158.2,28.0,0.833,74.8
SITE-0801,13.26,57.5,50.6,11.0,0.933,69.1
SITE-0802,5.88,66.6,126.7,15.9,0.854,59.8
SITE-0803,2.44,45.9,48.5,24.5,0.891,13.1
SITE-0804,11.77,32.1,143.0,10.8,0.872,216.6
SITE-0805,13.03,93.5,25.5,0.5,0.902,20.7
SITE-0806,13.01,46.0,244.0,4.8,0.962,406.8
SITE-0807,5.26,76.8,212.4,20.2,0.974,85.3
SITE-0808,7.49,12.6,247.2,16.6,0.872,280.0
SITE-0809,5.21,13.9,41.7,17.9,0.926,34.6
SITE-0810,3.51,77.9,172.5,26.7,0.874,45.5
SITE-0811,5.31,37.2,182.2,13.9,0.928,119.4
SITE-0812,11.97,98.7,51.2,5.8,0.984,39.3
SITE-0813,12.61,15.4,230.7,3.2,0.826,436.2
SITE-0814,6.92,74.1,185.5,18.2,0.898,100.6
SITE-0815,6.28,67.8,206.9,28.2,0.89,91.8
SITE-0816,7.12,97.1,57.1,23.0,0.929,15.0
SITE-0817,1.93,49.9,228.7,12.7,0.871,48.9
SITE-0818,2.28,75.1,19.1,6.1,0.888,0.0
SITE-0819,6.85,58.6,191.4,13.2,0.911,128.5
SITE-0820,8.83,54.4,225.6,6.2,0.953,231.8
SITE-0821,9.6,56.1,122.0,5.3,0.946,141.4
SITE-0822,9.61,15.1,76.9,11.3,0.955,126.8
SITE-0823,1.37,95.6,162.8,6.6,0.841,8.3
SITE-0824,13.63,57.8,87.6,6.1,0.852,111.4
SITE-0825,6.23,84.4,170.8,29.0,0.845,56.9
SITE-0826,1.93,39.5,293.2,23.5,0.928,70.6
SITE-0827,11.12,86.9,257.7,2.9,0.897,198.2
SITE-0828,5.91,6.6,233.8,10.1,0.892,223.2
SITE-0829,12.57,70.1,183.1,9.7,0.846,194.6
SITE-0830,9.68,66.9,16.2,1.9,0.904,16.4
SITE-0831,2.47,33.0,61.6,14.9,0.874,21.2
SITE-0832,6.16,71.2,272.1,8.6,0.875,137.1
SITE-0833,7.09,19.8,168.2,5.6,0.936,186.9
SITE-0834,8.65,78.9,101.6,23.1,0.89,64.1
SITE-0835,10.12,34.6,113.9,3.7,0.968,163.6
SITE-0836,10.38,74.0,201.5,9.8,0.867,166.4
SITE-0837,2.41,1.3,260.0,16.2,0.835,108.4
SITE-0838,5.97,5.6,270.9,0.3,0.939,299.9
SITE-0839,11.79,0.4,21.1,26.2,0.906,35.6
SITE-0840,5.22,8.9,215.1,5.6,0.979,210.0
SITE-0841,8.11,69.5,174.7,17.6,0.917,123.4
SITE-0842,5.0,89.4,26.2,16.0,0.846,15.5
SITE-0843,12.45,98.7,225.9,6.7,0.957,154.2
SITE-0844,7.29,2.5,60.3,8.0,0.862,68.6
SITE-0845,12.63,71.7,246.4,6.9,0.931,278.7
SITE-0846,7.52,57.4,278.1,21.5,0.841,186.5
SITE-0847,7.16,91.0,238.3,2.9,0.912,107.0
SITE-0848,12.38,83.4,154.3,19.6,0.878,126.6
SITE-0849,8.22,37.0,257.6,24.9,0.915,235.8
SITE-0850,4.77,92.1,152.4,1.3,0.843,43.5
SITE-0851,9.87,84.4,248.7,6.2,0.921,170.5
SITE-0852,6.19,23.3,109.5,24.8,0.882,84.7
SITE-0853,13.77,31.6,38.7,11.9,0.835,61.3
SITE-0854,5.05,89.9,92.3,24.2,0.98,25.8
SITE-0855,13.08,10.0,272.4,28.1,0.883,489.1
SITE-0856,10.61,19.4,290.5,22.7,0.864,411.8
SITE-0857,5.74,85.2,186.8,7.0,0.871,72.4
SITE-0858,11.32,20.4,20.8,16.8,0.913,29.9
SITE-0859,6.1,68.9,128.1,7.7,0.845,66.7
SITE-0860,1.74,51.9,156.2,20.8,0.861,22.3
SITE-0861,5.61,3.4,286.8,15.5,0.839,251.8
SITE-0862,10.61,66.7,236.4,13.1,0.944,233.2
SITE-0863,4.89,30.9,109.4,1.7,0.833,63.4
SITE-0864,8.66,13.0,79.3,7.3,0.921,110.9
SITE-0865,8.88,54.3,93.3,4.0,0.945,92.7
SITE-0866,5.65,68.8,243.2,13.6,0.906,113.8
SITE-0867,12.07,51.9,79.6,17.3,0.896,96.4
SITE-0868,13.11,33.4,216.2,11.8,0.826,346.5
SITE-0869,11.97,22.5,30.8,22.9,0.958,54.2
SITE-0870,1.29,44.8,101.4,2.6,0.845,16.5
SITE-0871,6.17,54.8,204.3,24.3,0.929,120.8
SITE-0872,2.71,97.4,35.9,7.0,0.922,3.6
SITE-0873,3.5,93.6,129.7,17.7,0.853,25.5
SITE-0874,10.19,87.5,243.8,24.8,0.827,135.1
SITE-0875,10.53,79.0,165.7,10.4,0.837,119.9
SITE-0876,13.45,47.2,194.1,4.5,0.951,319.0
SITE-0877,4.9,61.8,62.1,2.5,0.855,24.5
SITE-0878,11.47,56.6,59.7,15.2,0.907,74.8
SITE-0879,11.5,6.7,57.6,18.7,0.906,101.8
SITE-0880,7.36,28.1,79.1,12.0,0.838,79.5
SITE-0881,11.44,87.1,201.4,7.7,0.979,165.0
SITE-0882,6.35,31.3,161.1,7.8,0.853,131.7
SITE-0883,12.41,12.7,124.0,23.1,0.83,204.9
SITE-0884,2.84,75.8,89.0,5.9,0.877,23.5
SITE-0885,4.82,31.6,63.8,14.2,0.889,33.5
SITE-0886,12.64,62.1,150.1,19.6,0.939,165.2
SITE-0887,2.84,32.8,36.5,13.5,0.831,15.4
SITE-0888,10.71,32.5,267.1,7.5,0.945,416.1
SITE-0889,7.67,98.6,131.6,4.1,0.823,46.2
SITE-0890,2.78,19.0,148.6,14.3,0.89,60.0
SITE-0891,13.2,7.8,95.9,7.5,0.935,221.0
SITE-0892,11.98,33.6,116.3,22.3,0.957,176.8
SITE-0893,10.28,16.0,152.9,8.5,0.859,239.5
SITE-0894,10.5,26.0,214.7,0.3,0.855,303.3
SITE-0895,2.44,52.2,140.4,26.6,0.841,29.0
SITE-0896,12.5,80.2,163.9,28.2,0.896,137.5
SITE-0897,9.02,7.2,268.5,5.9,0.964,446.2
