route_id,distance_km,parcel_weight_kg,planned_stops,traffic_index,rain_mm,warehouse_queue_min,priority_service,delivery_minutes
R0434,16.39,3.17,13,0.637,0.0,8.38,1,98.9
R0435,17.92,2.57,12,0.682,1.07,1.77,0,100.1
R0436,19.31,6.89,3,0.227,0.0,2.55,0,55.2
R0437,17.98,4.29,10,0.309,0.0,2.66,0,77.0
R0438,9.72,1.07,14,0.5,1.36,7.92,0,90.7
R0439,2.43,1.88,5,0.664,0.0,2.37,0,37.1
R0440,26.73,4.58,13,0.646,2.95,6.11,0,126.5
R0441,14.33,4.9,6,0.666,0.0,1.56,0,69.8
R0442,11.71,2.06,4,0.592,0.0,5.42,0,62.9
R0443,28.09,5.27,9,0.758,0.0,21.01,0,170.8
R0444,17.29,7.82,13,0.595,0.0,5.69,0,105.3
R0445,13.63,4.45,6,0.367,0.0,12.44,0,66.0
R0446,8.83,3.72,12,0.397,4.51,5.05,0,67.8
R0447,1.03,2.17,9,0.309,4.93,1.31,0,36.2
R0448,27.24,3.48,5,0.489,0.0,3.09,0,92.9
R0449,19.65,0.45,13,0.804,0.0,4.86,0,136.0
R0450,21.77,4.79,9,0.18,2.72,8.37,0,81.6
R0451,28.45,12.52,13,0.333,0.0,18.32,0,125.8
R0452,29.32,2.4,9,0.562,0.0,7.07,1,116.5
R0453,28.33,7.04,10,0.7,0.0,4.64,0,130.6
R0454,17.93,4.99,1,0.752,2.31,6.25,1,74.8
R0455,13.98,3.55,11,0.277,0.0,7.6,0,73.2
R0456,19.78,6.2,2,0.333,0.0,5.75,0,62.3
R0457,28.17,4.2,14,0.686,0.0,11.39,0,142.0
R0458,8.33,2.15,1,0.486,0.91,18.77,0,51.9
R0459,18.65,1.13,4,0.714,1.83,0.89,0,72.6
R0460,3.32,5.97,12,0.818,0.98,1.61,1,59.4
R0461,15.95,0.49,14,0.423,0.0,12.01,0,96.2
R0462,13.15,2.75,14,0.48,0.0,0.12,0,84.3
R0463,13.9,2.7,6,0.691,0.0,7.71,0,75.2
R0464,23.17,8.17,11,0.623,0.52,2.11,0,105.7
R0465,9.74,3.85,13,0.397,0.0,5.23,0,72.7
R0466,21.94,6.53,8,0.262,7.01,1.0,0,80.8
R0467,10.84,3.79,8,0.577,3.64,4.61,0,66.5
R0468,28.81,4.91,12,0.519,0.0,4.38,1,110.7
R0469,23.07,5.88,13,0.871,1.18,0.42,0,144.0
R0470,1.11,6.92,1,0.597,0.0,6.43,0,25.0
R0471,16.68,10.7,3,0.65,0.0,0.62,0,60.5
R0472,17.71,9.95,13,0.886,0.0,11.28,1,131.1
R0473,3.66,3.17,7,0.706,2.36,10.21,1,48.0
R0474,22.58,2.21,7,0.487,0.0,3.59,0,87.1
R0475,7.34,9.69,3,0.799,4.08,4.15,1,50.5
R0476,23.01,3.27,13,0.683,0.0,7.83,0,121.7
R0477,4.4,1.84,3,0.62,2.5,13.19,0,49.4
R0478,26.59,4.16,1,0.545,0.0,9.79,0,92.7
R0479,26.46,0.33,4,0.517,0.0,1.95,0,85.4
R0480,5.71,1.71,8,0.342,0.0,4.82,0,45.5
R0481,18.97,0.6,8,0.803,0.0,11.36,1,112.9
R0482,1.71,0.47,6,0.425,8.16,4.84,0,44.6
R0483,29.16,6.22,14,0.323,0.0,6.09,0,117.1
R0484,12.0,4.64,12,0.391,4.48,6.53,0,80.2
R0485,21.68,3.3,2,0.511,0.62,4.17,0,75.7
R0486,3.16,5.43,11,0.793,0.0,0.75,1,60.8
R0487,12.01,3.16,12,0.762,0.0,3.72,0,105.4
R0488,20.19,4.61,1,0.772,0.93,2.22,1,76.5
R0489,28.39,4.18,6,0.55,0.0,15.0,0,110.1
R0490,23.62,5.59,9,0.563,0.0,3.86,0,104.2
R0491,18.27,3.67,8,0.546,0.0,9.66,0,85.7
R0492,30.8,6.37,14,0.687,0.0,5.03,0,141.0
R0493,2.53,0.98,5,0.28,2.29,5.41,1,24.1
R0494,10.0,4.67,7,0.623,0.0,0.49,1,48.5
R0495,30.06,4.82,5,0.507,4.98,4.07,0,105.7
R0496,21.13,8.38,9,0.308,0.0,5.78,1,81.6
R0497,28.27,2.08,12,0.456,0.0,11.48,0,122.8
R0498,30.1,3.73,9,0.692,3.35,0.74,1,120.0
R0499,1.54,1.11,4,0.855,0.0,2.93,0,31.9
R0500,4.29,8.33,14,0.491,0.0,2.63,0,63.1
R0501,10.71,10.32,8,0.869,7.45,1.65,0,86.9
R0502,2.69,2.89,7,0.465,2.73,1.76,0,42.8
R0503,6.83,2.21,2,0.321,3.22,7.85,0,45.3
R0504,1.11,3.08,2,0.616,0.0,17.89,0,36.5
R0505,9.0,1.23,9,0.599,3.68,6.56,0,67.1
R0506,12.93,3.91,8,0.477,0.0,13.0,0,77.5
R0507,23.84,9.7,2,0.55,1.86,1.72,0,73.3
R0508,26.02,3.03,12,0.534,0.0,5.41,0,114.9
R0509,31.92,6.22,2,0.336,0.0,4.09,1,81.5
R0510,18.61,8.99,8,0.572,1.14,4.26,0,95.0
R0511,10.3,2.02,1,0.31,0.0,1.81,0,31.2
R0512,5.5,3.32,4,0.76,3.05,3.58,0,41.2
R0513,22.34,6.47,14,0.293,0.0,0.4,0,96.2
R0514,31.27,1.72,6,0.474,2.08,4.1,0,107.7
R0515,14.2,2.82,2,0.401,0.0,4.27,0,44.6
R0516,16.37,8.45,14,0.585,0.0,5.51,1,87.7
R0517,10.78,3.14,4,0.693,1.08,2.59,0,57.5
R0518,26.03,7.68,1,0.796,0.0,1.22,0,116.1
R0519,1.77,3.49,9,0.871,0.0,2.35,0,50.6
R0520,18.34,5.01,5,0.612,12.81,8.26,0,84.1
R0521,24.23,12.52,4,0.356,0.0,6.13,0,79.9
R0522,24.29,2.16,11,0.377,0.0,3.29,0,102.8
R0523,28.87,1.51,2,0.87,0.1,8.09,0,139.3
R0524,31.59,2.66,12,0.54,0.0,2.84,0,126.3
R0525,23.73,6.14,4,0.821,0.0,2.91,0,123.2
R0526,3.82,3.99,13,0.469,1.9,6.43,0,64.1
R0527,17.45,7.44,3,0.772,0.0,7.29,0,93.0
R0528,1.47,4.37,10,0.71,0.0,4.07,1,48.8
R0529,18.5,6.14,10,0.547,0.0,6.71,1,94.1
R0530,29.24,2.2,7,0.482,1.7,6.97,0,108.0
R0531,13.15,2.64,12,0.659,0.0,4.52,0,83.0
R0532,24.28,2.8,7,0.796,0.0,6.91,1,130.0
R0533,29.22,2.6,12,0.49,0.0,9.78,0,119.5
R0534,1.28,2.64,8,0.552,0.0,4.93,0,49.4
R0535,16.9,3.39,2,0.389,0.0,3.42,0,50.7
R0536,24.22,11.83,3,0.485,0.0,9.07,0,89.8
R0537,3.44,3.72,8,0.488,0.0,3.32,0,46.4
R0538,20.43,2.37,13,0.709,0.0,3.45,1,105.4
R0539,17.51,2.74,6,0.759,0.0,5.35,0,99.6
R0540,31.56,5.35,10,0.673,1.61,8.22,0,136.5
R0541,26.76,3.87,13,0.793,2.3,4.42,1,158.3
R0542,12.95,3.76,2,0.308,0.0,3.66,0,43.9
R0543,11.22,1.74,11,0.697,0.0,14.93,0,92.6
R0544,26.33,2.71,2,0.301,0.0,1.11,0,73.0
R0545,13.65,1.99,1,0.787,0.0,0.43,1,56.4
R0546,20.48,3.71,1,0.663,3.1,5.51,0,79.3
R0547,22.76,3.87,1,0.661,0.0,3.69,0,79.3
R0548,11.75,7.44,6,0.771,4.09,1.16,0,75.4
R0549,6.99,2.53,5,0.751,0.0,5.58,0,59.0
R0550,17.84,1.74,4,0.369,0.0,10.12,0,68.6
R0551,5.07,6.51,3,0.52,0.0,7.24,0,41.5
R0552,1.5,4.82,7,0.682,0.0,3.5,0,44.0
R0553,6.73,2.14,1,0.544,0.0,4.11,0,30.1
R0554,21.9,4.51,13,0.793,0.0,8.07,1,137.5
R0555,26.62,4.53,14,0.505,0.0,2.53,0,118.4
R0556,13.04,10.3,8,0.732,0.0,6.95,1,71.3
R0557,5.29,6.14,9,0.512,0.0,7.11,1,50.2
R0558,5.52,10.89,8,0.448,0.0,7.18,0,47.8
R0559,27.65,4.25,5,0.751,0.0,3.85,0,129.6
R0560,29.86,3.91,2,0.774,0.0,3.96,0,132.2
R0561,24.94,3.81,1,0.83,0.73,4.29,0,106.2
R0562,22.24,4.79,8,0.43,0.86,11.81,0,95.4
R0563,11.3,1.59,9,0.389,0.0,12.33,0,75.2
R0564,5.0,4.69,5,0.622,0.0,4.7,1,44.1
R0565,13.02,1.41,3,0.507,0.2,13.33,0,64.5
R0566,29.07,1.03,6,0.629,0.0,6.36,0,112.7
R0567,26.72,2.69,8,0.806,3.72,1.27,0,146.2
R0568,25.71,4.43,2,0.63,0.0,8.53,1,89.7
R0569,12.51,1.32,3,0.562,0.0,5.73,0,63.6
R0570,8.13,2.89,11,0.614,1.34,7.65,0,79.1
R0571,9.29,7.31,9,0.46,0.0,6.35,1,60.1
R0572,1.03,4.82,4,0.805,0.0,12.54,0,36.1
R0573,30.43,3.82,7,0.474,1.54,1.2,0,104.8
R0574,23.98,1.21,8,0.481,4.91,3.64,0,97.6
R0575,16.7,5.1,13,0.641,0.0,13.61,0,102.5
R0576,22.03,6.57,3,0.556,0.0,3.79,0,74.7
R0577,20.2,9.95,11,0.599,0.0,7.63,0,105.4
R0578,11.36,3.25,4,0.723,0.63,16.76,0,69.0
R0579,13.25,6.34,12,0.686,2.19,3.04,0,95.2
R0580,1.23,5.46,5,0.643,4.17,3.76,0,40.6
R0581,29.5,1.75,3,0.339,0.0,5.64,0,93.6
R0582,8.52,2.51,13,0.547,0.0,13.71,1,83.5
R0583,2.4,5.14,1,0.444,3.48,6.48,0,32.5
R0584,24.58,0.78,13,0.61,1.88,8.96,0,117.3
R0585,31.8,5.77,4,0.739,0.0,8.47,1,114.0
R0586,23.96,2.62,11,0.695,0.0,4.82,1,114.6
R0587,29.68,3.47,4,0.514,0.0,1.6,0,94.1
R0588,6.36,8.11,11,0.713,0.7,1.1,0,70.1
R0589,5.96,5.71,6,0.717,1.08,1.5,0,48.2
R0590,21.15,8.66,9,0.801,5.9,3.67,0,127.0
R0591,19.08,2.99,1,0.515,4.39,12.84,0,73.0
R0592,5.22,7.8,4,0.494,0.0,1.44,0,40.4
R0593,22.02,6.51,10,0.728,2.87,23.82,0,126.1
R0594,1.33,5.03,10,0.812,0.0,1.93,1,47.4
R0595,23.35,3.03,8,0.866,1.65,1.6,0,120.1
R0596,20.25,6.51,9,0.746,0.0,5.17,1,96.3
R0597,27.12,4.29,7,0.758,0.16,5.72,1,125.3
R0598,4.26,2.4,5,0.505,1.18,7.98,0,47.0
R0599,3.95,1.01,1,0.487,0.0,4.91,0,35.5
R0600,30.93,2.94,3,0.727,0.0,4.88,0,110.0
R0601,21.23,3.15,7,0.368,0.0,2.04,0,76.5
R0602,14.66,3.19,9,0.632,21.42,2.45,1,91.6
R0603,3.69,8.67,11,0.759,0.0,9.49,0,79.7
R0604,11.84,8.89,9,0.698,3.18,10.48,0,95.5
R0605,21.22,1.0,10,0.328,2.34,4.28,1,87.2
R0606,20.59,4.72,2,0.354,0.17,1.16,0,60.9
R0607,26.84,9.37,14,0.434,0.0,2.38,0,120.9
R0608,12.21,1.74,10,0.531,0.0,10.7,1,71.6
R0609,1.06,6.13,4,0.662,0.0,4.22,0,32.8
R0610,28.94,3.37,14,0.685,5.21,3.46,0,134.4
R0611,28.94,1.47,4,0.732,13.76,5.02,0,115.4
R0612,30.5,1.93,12,0.789,0.0,1.02,1,152.7
R0613,19.53,3.86,8,0.409,0.0,9.24,0,87.4
R0614,30.59,2.96,14,0.761,0.0,3.78,0,175.5
R0615,19.12,2.59,5,0.346,0.0,4.93,0,69.9
R0616,14.52,2.74,10,0.611,0.0,12.6,1,91.7
R0617,22.04,0.64,7,0.625,0.19,1.64,0,85.0
R0618,4.39,3.42,8,0.725,1.71,1.61,0,50.8
R0619,30.79,1.86,8,0.639,0.0,3.34,1,113.2
R0620,4.83,6.78,12,0.392,0.0,7.16,0,59.4
R0621,9.67,10.66,3,0.691,1.47,6.45,0,48.6
R0622,24.95,2.54,2,0.765,0.0,6.5,0,107.1
R0623,25.88,1.04,5,0.471,0.1,4.31,0,91.5
R0624,14.33,1.76,3,0.737,0.0,1.85,0,57.6
R0625,8.22,3.05,2,0.554,3.08,1.95,0,39.6
R0626,16.84,1.6,13,0.706,0.21,1.99,0,102.3
R0627,28.98,13.71,5,0.72,0.0,1.86,0,117.5
R0628,13.31,4.29,6,0.484,0.58,12.92,0,69.9
R0629,21.75,4.98,4,0.395,0.0,12.79,0,80.0
R0630,8.16,6.26,10,0.375,0.0,6.12,1,49.6
R0631,1.6,3.26,4,0.45,0.0,3.22,0,22.6
R0632,10.54,1.38,11,0.574,0.0,3.66,1,75.2
R0633,30.26,6.39,8,0.406,0.0,2.9,0,104.6
R0634,21.0,3.92,12,0.778,0.0,6.34,0,136.8
R0635,11.56,5.45,8,0.456,0.0,2.97,1,57.4
R0636,28.38,5.48,7,0.504,5.4,8.45,0,107.4
R0637,30.01,2.99,11,0.55,0.35,1.25,1,115.4
R0638,25.26,7.24,6,0.733,5.9,8.5,1,109.5
R0639,4.44,13.2,7,0.66,0.0,7.99,0,58.0
R0640,13.19,5.8,7,0.564,0.0,2.52,0,73.2
R0641,24.34,2.21,5,0.556,0.0,3.07,1,74.6
R0642,18.88,12.55,2,0.453,0.0,6.72,0,62.8
R0643,28.56,8.56,2,0.645,0.0,4.29,0,96.2
R0644,20.55,2.06,1,0.79,1.72,4.36,1,91.7
R0645,5.62,2.69,1,0.446,1.76,1.26,1,30.4
R0646,27.73,4.04,12,0.54,0.0,5.22,1,117.4
R0647,24.5,5.1,13,0.704,0.0,2.56,1,128.7
R0648,22.29,1.66,3,0.851,0.0,9.29,1,112.4
R0649,2.69,4.48,9,0.483,13.49,2.96,0,57.0
R0650,20.37,3.07,12,0.502,0.0,11.73,0,107.0
R0651,16.54,1.66,6,0.733,0.0,7.83,0,77.9
R0652,1.61,5.54,6,0.504,0.0,5.06,1,31.9
R0653,1.02,3.16,2,0.668,2.58,1.97,0,23.3
R0654,23.63,13.02,3,0.448,0.0,6.96,1,73.6
R0655,10.84,8.45,6,0.593,4.02,6.42,1,57.2
R0656,3.46,6.53,3,0.942,0.0,0.91,1,33.2
R0657,28.04,2.51,2,0.815,0.0,4.7,0,121.0
R0658,1.91,4.7,1,0.42,0.0,4.2,0,18.8
R0659,9.69,2.21,4,0.547,0.0,7.46,0,48.4
R0660,3.44,2.39,9,0.414,0.18,2.67,1,41.5
R0661,12.78,8.57,10,0.659,1.02,2.69,1,81.3
R0662,1.56,2.7,10,0.733,2.92,5.99,1,52.9
R0663,14.28,9.03,14,0.437,1.83,8.26,0,96.0
R0664,1.54,4.35,9,0.572,5.23,10.47,1,51.6
R0665,12.88,15.73,13,0.618,0.0,3.42,1,85.3
R0666,21.12,1.02,14,0.557,0.0,3.78,0,117.5
R0667,26.43,3.97,5,0.809,0.0,5.35,1,127.7
R0668,14.08,4.1,12,0.574,0.0,1.65,0,81.3
R0669,24.3,4.8,12,0.709,0.0,21.37,0,138.8
R0670,15.11,1.16,13,0.733,9.51,4.36,0,107.4
R0671,17.93,2.06,4,0.458,0.0,2.22,0,65.8
R0672,4.64,2.15,1,0.463,1.06,8.73,0,35.7
R0673,21.86,3.06,7,0.612,1.2,4.87,0,92.2
R0674,10.74,1.38,3,0.696,0.0,6.38,0,52.0
R0675,19.28,3.01,4,0.858,0.0,3.82,0,97.5
R0676,10.42,2.66,14,0.333,0.0,1.23,0,64.5
R0677,19.14,3.45,10,0.678,0.27,8.21,1,99.8
R0678,5.36,1.27,13,0.503,0.0,8.75,0,68.1
R0679,24.02,11.56,14,0.863,0.0,5.31,1,152.8
R0680,25.24,3.82,3,0.394,0.0,6.7,0,85.2
R0681,24.65,19.82,11,0.434,4.84,2.72,0,111.0
R0682,9.26,3.39,12,0.504,0.0,5.86,0,76.6
R0683,29.63,11.85,5,0.435,0.0,1.41,0,94.0
R0684,26.67,5.04,1,0.433,0.0,25.86,0,90.1
R0685,14.63,10.96,2,0.685,0.0,4.56,0,58.4
R0686,2.19,1.52,3,0.476,0.0,2.4,0,28.1
R0687,18.32,1.55,12,0.288,0.0,8.48,0,85.6
R0688,8.67,7.39,8,0.385,0.0,4.51,1,48.2
R0689,6.55,4.05,5,0.806,2.32,8.64,0,60.4
R0690,2.02,9.84,10,0.597,0.0,6.08,0,57.6
R0691,1.58,2.74,3,0.774,0.0,11.9,0,31.4
R0692,7.56,6.52,1,0.775,0.0,9.96,1,44.0
R0693,9.42,1.68,5,0.553,0.0,3.04,0,48.2
R0694,29.4,4.58,9,0.669,0.0,3.65,0,115.9
R0695,15.57,2.03,12,0.405,0.0,1.2,1,71.7
R0696,31.48,6.53,14,0.758,0.89,0.33,0,172.7
R0697,1.27,2.08,6,0.627,0.0,6.65,0,39.7
R0698,10.58,1.64,5,0.75,3.24,4.88,0,58.8
R0699,8.98,1.84,14,0.782,0.0,11.46,0,104.9
R0700,19.95,1.22,12,0.516,0.36,8.06,1,107.1
R0701,30.47,4.29,5,0.688,6.53,10.91,1,114.3
R0702,31.55,0.5,14,0.759,0.0,4.94,0,171.5
R0703,10.86,8.16,2,0.392,0.0,2.36,0,42.9
R0704,30.29,1.47,5,0.684,0.52,3.81,0,103.1
R0705,7.05,5.87,2,0.812,0.0,12.32,0,54.2
R0706,14.29,9.74,2,0.803,4.61,4.62,0,72.5
R0707,31.76,3.48,2,0.745,1.2,13.13,0,127.7
R0708,5.45,2.84,6,0.655,0.0,14.21,0,57.0
R0709,4.77,4.19,12,0.432,1.92,9.25,0,70.4
R0710,10.41,3.41,4,0.725,1.29,2.35,0,46.1
R0711,31.83,5.6,12,0.565,0.98,3.92,0,133.5
R0712,26.31,1.62,12,0.579,0.72,2.12,1,107.7
R0713,31.35,2.17,6,0.671,4.22,2.66,0,122.3
R0714,10.74,3.66,10,0.757,0.0,4.6,0,81.9
R0715,24.82,3.37,8,0.596,0.0,1.44,0,93.8
R0716,22.16,1.46,8,0.652,3.4,4.47,1,98.8
R0717,25.83,12.69,7,0.674,0.0,7.02,0,111.5
R0718,11.96,2.26,10,0.598,0.49,4.76,0,81.7
R0719,16.69,4.85,8,0.406,0.0,6.07,0,76.8
R0720,3.4,1.61,6,0.738,0.0,14.53,0,53.9
R0721,29.99,2.68,8,0.183,0.0,4.59,0,90.4
R0722,28.57,4.12,9,0.61,0.0,11.91,0,121.2
R0723,9.11,10.68,9,0.719,0.0,6.68,0,72.9
R0724,10.02,0.94,1,0.556,0.0,1.9,1,31.3
R0725,26.17,4.51,11,0.729,4.8,3.23,0,126.8
R0726,5.89,1.82,8,0.913,0.0,6.91,0,71.4
R0727,9.85,6.89,13,0.601,1.65,4.27,0,89.4
R0728,6.53,9.15,2,0.841,0.0,21.23,1,63.8
R0729,21.33,13.3,7,0.502,0.8,5.13,0,87.6
R0730,17.6,3.59,12,0.4,3.9,5.23,1,86.2
R0731,13.92,0.65,1,0.699,0.06,2.33,1,45.3
R0732,24.08,6.02,8,0.295,0.0,2.58,1,77.3
R0733,29.78,4.75,4,0.731,0.0,6.72,0,101.8
R0734,31.12,3.29,13,0.658,0.0,4.57,1,133.2
R0735,29.83,6.01,8,0.488,5.56,5.63,0,112.5
R0736,23.85,4.4,10,0.666,0.0,7.33,1,103.6
R0737,12.08,3.69,1,0.525,1.22,2.38,0,50.5
R0738,13.94,2.31,2,0.588,0.0,10.57,0,58.7
R0739,15.35,7.82,4,0.66,4.29,3.08,1,63.7
R0740,29.81,0.8,2,0.6,0.0,12.49,0,98.4
R0741,14.92,1.04,3,0.333,0.0,5.92,0,49.3
R0742,30.98,5.24,6,0.371,18.57,6.79,0,118.9
R0743,29.0,0.75,6,0.687,0.0,10.96,1,112.3
R0744,14.24,2.48,2,0.426,0.0,2.8,1,45.6
R0745,23.85,2.95,2,0.781,1.72,11.21,1,107.4
R0746,4.36,11.44,12,0.534,0.08,1.27,0,65.3
R0747,13.44,3.94,3,0.383,0.0,6.32,0,56.3
R0748,10.48,2.72,4,0.682,0.0,11.62,0,65.6
R0749,22.25,10.15,13,0.442,0.0,11.36,0,115.4
R0750,16.6,9.33,14,0.709,0.0,1.71,1,101.6
R0751,29.2,10.85,6,0.732,0.0,10.12,0,130.9
R0752,26.94,0.95,12,0.383,0.0,9.5,1,94.6
R0753,16.65,4.03,8,0.592,0.25,4.85,1,77.0
R0754,9.52,4.15,5,0.406,0.0,1.77,0,46.5
R0755,19.83,3.44,2,0.819,7.0,9.15,0,98.3
R0756,24.86,2.08,7,0.876,0.0,15.35,0,150.3
R0757,28.85,12.23,3,0.693,0.0,5.29,0,99.3
R0758,27.43,6.04,5,0.392,0.0,1.95,0,84.1
R0759,31.61,6.63,2,0.669,5.44,8.55,0,118.2
R0760,5.34,8.5,8,0.649,0.0,12.39,1,58.3
R0761,7.86,5.98,13,0.771,0.0,3.98,0,85.4
R0762,2.94,5.64,8,0.445,0.0,4.02,1,35.5
R0763,23.95,5.99,8,0.702,0.0,4.85,0,106.1
R0764,6.29,8.75,14,0.506,2.04,3.56,1,71.3
R0765,29.38,4.96,3,0.668,0.0,6.62,0,100.3
R0766,10.81,2.02,7,0.887,9.99,4.2,0,78.5
R0767,5.28,1.77,12,0.568,0.0,5.27,0,67.9
R0768,16.02,7.13,1,0.635,0.0,2.4,0,57.1
R0769,23.63,8.68,1,0.556,0.15,9.7,0,80.1
R0770,5.26,1.76,13,0.823,0.0,8.3,0,85.3
R0771,28.06,3.52,2,0.687,1.57,1.21,0,94.5
R0772,14.75,7.15,5,0.542,0.0,14.01,0,76.9
R0773,26.82,9.54,1,0.201,6.36,9.01,0,75.1
R0774,9.96,1.64,10,0.773,0.0,4.74,1,77.8
R0775,2.79,3.09,1,0.84,0.64,0.81,0,26.6
R0776,1.91,5.47,14,0.74,0.0,2.28,0,66.0
R0777,19.69,3.12,6,0.365,1.09,8.61,0,78.4
R0778,6.27,5.92,7,0.308,1.34,0.95,0,42.1
R0779,18.82,2.6,9,0.332,6.06,0.73,0,73.3
R0780,27.38,2.37,7,0.771,0.0,7.45,0,147.4
R0781,26.52,2.08,7,0.739,3.31,14.31,0,123.1
R0782,13.78,5.54,10,0.535,0.0,3.66,0,82.2
R0783,23.71,0.56,1,0.402,0.0,1.14,0,67.1
R0784,14.68,2.62,13,0.602,0.97,2.76,0,95.8
R0785,8.04,2.98,11,0.594,0.0,5.07,0,70.3
R0786,11.16,4.98,11,0.74,1.71,5.06,0,84.4
R0787,1.79,1.93,9,0.739,0.0,4.79,1,47.8
R0788,31.82,1.75,2,0.572,7.05,3.08,0,101.1
R0789,11.78,9.92,3,0.734,4.2,12.32,0,67.4
R0790,11.91,1.9,5,0.686,0.0,5.37,0,67.3
R0791,28.05,1.98,3,0.525,0.0,5.1,0,94.5
R0792,29.49,6.67,2,0.732,0.0,15.76,0,108.2
R0793,2.29,1.76,9,0.607,0.0,13.21,0,61.1
R0794,2.08,5.97,9,0.415,8.46,2.47,1,46.8
R0795,14.89,3.37,8,0.774,0.0,1.8,0,91.8
R0796,19.39,3.26,6,0.518,0.0,8.21,0,87.1
R0797,18.74,9.24,2,0.579,2.23,18.46,0,84.1
R0798,19.54,2.46,6,0.624,0.0,3.47,0,84.1
R0799,11.72,2.84,6,0.411,0.0,10.57,0,65.9
R0800,11.05,3.27,10,0.617,0.0,5.51,0,67.9
R0801,2.08,5.37,4,0.485,0.0,8.77,0,41.8
R0802,14.67,3.0,6,0.63,0.0,7.91,0,82.2
R0803,1.97,4.28,4,0.381,7.09,2.67,1,19.4
R0804,15.59,1.72,12,0.835,0.0,6.7,0,124.0
R0805,20.72,8.01,10,0.407,0.0,4.67,0,89.6
R0806,27.57,7.29,9,0.48,2.65,16.7,0,117.4
R0807,9.54,4.54,14,0.618,0.0,1.39,0,88.2
R0808,5.48,6.21,4,0.645,0.0,6.32,0,50.9
R0809,20.9,4.54,14,0.681,4.83,1.31,0,117.8
R0810,22.3,9.69,7,0.399,0.03,3.06,0,80.4
R0811,14.52,6.66,5,0.457,0.0,5.03,1,50.6
R0812,18.3,10.23,4,0.888,0.0,3.76,0,93.3
R0813,29.86,6.27,1,0.726,0.0,7.29,1,100.0
R0814,29.38,1.16,7,0.25,0.0,4.3,1,90.6
R0815,2.21,6.97,6,0.764,0.0,2.65,0,37.1
R0816,28.66,2.17,2,0.554,2.12,4.31,0,93.3
R0817,6.38,2.91,6,0.614,2.4,4.53,1,49.0
R0818,26.67,6.8,1,0.503,0.0,14.6,0,95.8
R0819,6.01,4.21,12,0.665,0.61,3.14,0,71.8
R0820,2.53,4.23,4,0.44,0.0,1.71,1,21.5
R0821,19.3,2.19,1,0.688,0.0,10.7,0,72.0
R0822,25.67,4.91,1,0.875,0.0,12.38,0,123.5
R0823,11.41,1.24,4,0.326,0.0,13.45,1,46.5
R0824,6.3,5.7,9,0.567,0.0,5.3,0,60.8
R0825,2.9,7.72,3,0.321,0.0,4.43,0,37.2
R0826,6.43,3.49,1,0.508,2.67,3.33,0,34.2
R0827,26.05,1.28,12,0.854,0.0,25.03,0,175.7
R0828,25.02,1.42,8,0.462,0.0,18.8,0,113.5
R0829,13.32,0.61,8,0.341,0.0,11.32,0,67.2
R0830,28.77,2.16,11,0.396,0.0,13.77,0,117.3
R0831,15.08,3.84,2,0.189,0.0,1.8,1,39.4
R0832,15.04,6.79,6,0.458,0.0,6.89,1,60.8
R0833,21.56,9.29,7,0.896,8.86,5.78,0,125.1
R0834,23.37,3.52,10,0.712,0.0,7.09,0,116.4
R0835,21.02,4.59,8,0.55,4.6,11.72,0,97.6
R0836,9.15,2.12,9,0.714,0.0,6.06,0,64.7
R0837,9.12,11.07,2,0.254,1.18,16.23,0,49.9
R0838,13.05,8.04,9,0.642,3.06,5.85,0,83.6
R0839,21.68,3.75,12,0.359,0.0,2.59,0,95.2
R0840,8.62,4.86,9,0.816,0.95,1.27,0,78.8
R0841,30.81,6.13,12,0.714,0.0,5.71,0,136.9
R0842,2.34,7.85,8,0.73,0.0,1.27,0,52.8
R0843,9.04,9.54,11,0.754,0.0,11.82,0,91.8
R0844,23.46,3.89,9,0.602,0.0,3.65,1,97.7
R0845,2.05,1.42,10,0.733,0.0,0.49,1,39.0
R0846,4.71,3.59,4,0.826,2.63,14.48,0,56.4
R0847,23.59,6.58,10,0.386,0.0,2.27,0,91.1
R0848,11.16,4.71,5,0.646,2.96,8.69,0,67.1
R0849,22.65,4.77,6,0.672,1.57,3.96,1,90.3
R0850,22.35,2.91,9,0.621,0.0,6.61,0,103.0
R0851,21.56,0.65,10,0.315,0.0,12.25,1,89.8
R0852,28.09,2.67,1,0.234,0.0,3.82,0,67.9
R0853,11.32,4.99,2,0.9,0.0,12.66,0,75.9
R0854,17.27,3.13,2,0.678,0.0,7.3,0,70.1
R0855,13.02,8.64,6,0.662,0.0,2.15,0,65.6
R0856,23.09,2.12,4,0.482,6.53,2.24,1,75.3
R0857,14.32,0.72,14,0.873,0.0,2.5,0,114.9
R0858,1.79,3.23,3,0.393,1.85,4.13,0,29.6
R0859,28.36,3.7,2,0.43,1.21,5.46,0,91.1
R0860,30.93,7.34,8,0.71,0.0,5.83,0,132.7
R0861,15.24,1.7,9,0.346,0.0,11.97,0,78.3
R0862,18.61,4.14,1,0.792,0.0,10.6,0,91.0
R0863,23.03,4.3,13,0.657,0.0,12.17,1,117.9
R0864,10.75,9.09,9,0.84,3.71,1.55,0,89.7
R0865,13.55,3.09,2,0.181,0.0,5.6,0,48.1
R0866,31.36,2.55,12,0.483,0.0,4.19,0,124.3
R0867,15.49,1.35,12,0.536,0.0,1.13,0,80.9
R0868,3.25,6.32,10,0.527,0.0,6.7,1,48.9
