reading_id,zone,measured_at,temperature_c,humidity_pct
558,north,2026-06-08 19:00:00,23.09,58.37
559,central,2026-06-08 19:00:00,24.32,55.57
560,south,2026-06-08 19:00:00,25.62,52.84
561,north,2026-06-08 20:00:00,22.36,59.86
562,central,2026-06-08 20:00:00,23.08,58.11
563,south,2026-06-08 20:00:00,25.33,54.46
564,north,2026-06-08 21:00:00,20.81,62.53
565,central,2026-06-08 21:00:00,22.93,58.91
566,south,2026-06-08 21:00:00,24.17,54.91
567,north,2026-06-08 22:00:00,20.59,64.05
568,central,2026-06-08 22:00:00,21.62,62.41
569,south,2026-06-08 22:00:00,23.12,57.8
570,north,2026-06-08 23:00:00,19.57,66.44
571,central,2026-06-08 23:00:00,21.6,62.1
572,south,2026-06-08 23:00:00,22.61,59.54
573,north,2026-06-09 00:00:00,19.48,67.89
574,central,2026-06-09 00:00:00,20.52,63.15
575,south,2026-06-09 00:00:00,22.31,60.31
576,north,2026-06-09 01:00:00,18.79,68.53
577,central,2026-06-09 01:00:00,20.85,64.45
578,south,2026-06-09 01:00:00,21.87,60.33
579,north,2026-06-09 02:00:00,19.16,68.12
580,central,2026-06-09 02:00:00,20.07,65.82
581,south,2026-06-09 02:00:00,21.44,61.6
582,north,2026-06-09 03:00:00,18.57,68.47
583,central,2026-06-09 03:00:00,20.1,64.96
584,south,2026-06-09 03:00:00,22.31,61.22
585,north,2026-06-09 04:00:00,18.96,67.55
586,central,2026-06-09 04:00:00,20.9,64.97
587,south,2026-06-09 04:00:00,22.47,59.35
588,north,2026-06-09 05:00:00,19.67,66.89
589,central,2026-06-09 05:00:00,21.42,64.11
590,south,2026-06-09 05:00:00,22.95,57.9
591,north,2026-06-09 06:00:00,20.85,65.44
592,central,2026-06-09 06:00:00,21.96,60.43
593,south,2026-06-09 06:00:00,23.32,57.14
594,north,2026-06-09 07:00:00,20.84,63.47
595,central,2026-06-09 07:00:00,22.85,60.19
596,south,2026-06-09 07:00:00,23.96,55.72
597,north,2026-06-09 08:00:00,22.04,62.01
598,central,2026-06-09 08:00:00,23.63,59.07
599,south,2026-06-09 08:00:00,24.86,54.28
600,north,2026-06-09 09:00:00,22.6,59.66
601,central,2026-06-09 09:00:00,24.45,55.46
602,south,2026-06-09 09:00:00,25.84,51.93
603,north,2026-06-09 10:00:00,23.48,57.58
604,central,2026-06-09 10:00:00,24.77,55.71
605,south,2026-06-09 10:00:00,26.22,51.08
606,north,2026-06-09 11:00:00,24.48,56.58
607,central,2026-06-09 11:00:00,25.51,52.6
608,south,2026-06-09 11:00:00,27.29,48.56
609,north,2026-06-09 12:00:00,24.62,55.68
610,central,2026-06-09 12:00:00,26.41,52.18
611,south,2026-06-09 12:00:00,27.83,49.2
612,north,2026-06-09 13:00:00,24.9,53.83
613,central,2026-06-09 13:00:00,26.4,51.15
614,south,2026-06-09 13:00:00,28.23,46.3
615,north,2026-06-09 14:00:00,24.92,53.54
616,central,2026-06-09 14:00:00,26.44,52.05
617,south,2026-06-09 14:00:00,28.32,48.22
618,north,2026-06-09 15:00:00,24.97,53.3
619,central,2026-06-09 15:00:00,27.02,50.69
620,south,2026-06-09 15:00:00,28.33,46.24
621,north,2026-06-09 16:00:00,24.68,53.86
622,central,2026-06-09 16:00:00,26.26,50.65
623,south,2026-06-09 16:00:00,28.09,47.11
624,north,2026-06-09 17:00:00,24.2,56.87
625,central,2026-06-09 17:00:00,26.19,52.82
626,south,2026-06-09 17:00:00,27.23,48.42
627,central,2026-06-09 18:00:00,24.74,55.09
628,north,2026-06-09 19:00:00,22.52,60.47
629,central,2026-06-09 19:00:00,24.7,57.07
630,south,2026-06-09 19:00:00,25.48,53.48
631,north,2026-06-09 20:00:00,22.23,60.67
632,central,2026-06-09 20:00:00,23.7,58.38
633,south,2026-06-09 20:00:00,24.77,53.73
634,north,2026-06-09 21:00:00,21.17,62.56
635,central,2026-06-09 21:00:00,22.37,60.17
636,south,2026-06-09 21:00:00,24.05,56.69
637,north,2026-06-09 22:00:00,20.15,65.42
638,central,2026-06-09 22:00:00,21.72,60.43
639,south,2026-06-09 22:00:00,23.59,58.74
640,north,2026-06-09 23:00:00,19.83,66.77
641,central,2026-06-09 23:00:00,20.96,63.8
642,south,2026-06-09 23:00:00,22.99,58.72
643,north,2026-06-10 00:00:00,19.4,67.36
644,central,2026-06-10 00:00:00,20.95,64.0
645,south,2026-06-10 00:00:00,22.06,59.66
646,north,2026-06-10 01:00:00,18.5,67.49
647,central,2026-06-10 01:00:00,20.7,65.18
648,south,2026-06-10 01:00:00,22.16,61.3
649,north,2026-06-10 02:00:00,18.88,68.87
650,central,2026-06-10 02:00:00,20.63,65.18
651,south,2026-06-10 02:00:00,21.65,61.12
652,north,2026-06-10 03:00:00,18.92,67.77
653,central,2026-06-10 03:00:00,20.53,66.02
654,south,2026-06-10 03:00:00,21.76,59.81
655,north,2026-06-10 04:00:00,19.0,67.76
656,central,2026-06-10 04:00:00,20.42,65.27
657,south,2026-06-10 04:00:00,22.23,58.85
658,north,2026-06-10 05:00:00,19.88,65.39
659,central,2026-06-10 05:00:00,21.04,62.86
660,south,2026-06-10 05:00:00,22.52,59.69
661,north,2026-06-10 06:00:00,19.97,65.0
662,central,2026-06-10 06:00:00,21.67,60.78
663,south,2026-06-10 06:00:00,23.36,58.0
664,north,2026-06-10 07:00:00,21.24,63.72
665,central,2026-06-10 07:00:00,22.81,59.67
666,south,2026-06-10 07:00:00,24.41,56.5
667,north,2026-06-10 08:00:00,22.37,60.3
668,central,2026-06-10 08:00:00,23.41,58.51
669,south,2026-06-10 08:00:00,25.08,54.21
670,north,2026-06-10 09:00:00,23.09,59.72
671,central,2026-06-10 09:00:00,24.7,56.29
672,south,2026-06-10 09:00:00,25.89,51.16
673,north,2026-06-10 10:00:00,23.55,56.23
674,central,2026-06-10 10:00:00,25.31,54.85
675,south,2026-06-10 10:00:00,26.8,51.29
676,north,2026-06-10 11:00:00,24.15,55.71
677,central,2026-06-10 11:00:00,25.33,52.89
678,south,2026-06-10 11:00:00,26.98,47.83
679,north,2026-06-10 12:00:00,24.54,55.15
680,central,2026-06-10 12:00:00,25.83,52.69
681,south,2026-06-10 12:00:00,27.69,46.85
682,north,2026-06-10 13:00:00,25.24,53.6
683,central,2026-06-10 13:00:00,26.94,50.97
684,south,2026-06-10 13:00:00,28.22,47.76
685,north,2026-06-10 14:00:00,25.01,52.72
686,central,2026-06-10 14:00:00,26.27,50.56
687,south,2026-06-10 14:00:00,27.9,48.16
688,north,2026-06-10 15:00:00,25.5,54.65
689,central,2026-06-10 15:00:00,26.62,52.21
690,south,2026-06-10 15:00:00,28.32,47.88
691,north,2026-06-10 16:00:00,25.02,55.58
692,central,2026-06-10 16:00:00,25.84,51.25
693,south,2026-06-10 16:00:00,27.37,48.51
694,north,2026-06-10 17:00:00,24.2,55.41
695,central,2026-06-10 17:00:00,25.72,51.83
696,south,2026-06-10 17:00:00,27.03,48.76
697,north,2026-06-10 18:00:00,23.7,58.22
698,central,2026-06-10 18:00:00,25.33,55.35
699,south,2026-06-10 18:00:00,26.45,50.61
700,north,2026-06-10 19:00:00,23.03,60.16
701,central,2026-06-10 19:00:00,24.07,56.88
702,south,2026-06-10 19:00:00,25.55,53.04
703,north,2026-06-10 20:00:00,21.61,60.05
704,central,2026-06-10 20:00:00,23.9,58.2
705,south,2026-06-10 20:00:00,25.36,53.83
706,north,2026-06-10 21:00:00,21.46,62.83
707,central,2026-06-10 21:00:00,22.65,60.81
708,south,2026-06-10 21:00:00,24.43,54.89
709,north,2026-06-10 22:00:00,20.76,64.96
710,central,2026-06-10 22:00:00,22.01,62.39
711,south,2026-06-10 22:00:00,23.63,58.45
712,north,2026-06-10 23:00:00,19.91,65.59
713,central,2026-06-10 23:00:00,21.16,62.15
714,south,2026-06-10 23:00:00,22.95,58.73
