device_id,device_age_days,temperature_c,vibration_mm_s,errors_24h,days_since_service,alert_next_7_days
DV-0618,774,57.1,4.44,2,217,0
DV-0619,1423,40.9,3.83,0,243,0
DV-0620,633,35.1,1.1,3,39,0
DV-0621,1028,35.1,4.26,1,378,1
DV-0622,1078,41.4,2.7,0,268,0
DV-0623,1726,54.8,4.76,3,74,0
DV-0624,1357,56.9,0.46,2,153,1
DV-0625,1691,54.0,9.26,0,3,1
DV-0626,1952,32.2,0.7,2,247,0
DV-0627,416,44.7,3.35,0,256,0
DV-0628,1591,40.6,0.94,1,260,0
DV-0629,803,45.7,0.89,1,359,0
DV-0630,945,52.6,4.78,1,408,0
DV-0631,2141,67.2,0.44,1,354,0
DV-0632,1024,40.8,1.57,1,349,0
DV-0633,1764,26.9,6.3,1,5,0
DV-0634,2154,49.8,1.78,1,264,1
DV-0635,829,51.2,1.39,0,131,0
DV-0636,969,51.5,5.82,2,406,1
DV-0637,1805,52.3,1.0,1,98,0
DV-0638,1578,73.6,5.47,1,336,1
DV-0639,1176,47.3,3.69,1,97,0
DV-0640,1274,29.4,2.57,1,85,0
DV-0641,1795,26.8,1.72,1,8,0
DV-0642,733,45.7,6.02,0,107,1
DV-0643,890,32.8,4.9,1,34,0
DV-0644,2177,60.9,2.78,2,237,1
DV-0645,1030,54.7,1.47,1,163,0
DV-0646,2060,18.0,1.11,0,313,0
DV-0647,1409,44.1,3.34,2,220,1
DV-0648,112,48.5,4.14,0,185,0
DV-0649,1998,18.0,1.51,3,18,0
DV-0650,1264,34.5,2.15,0,68,0
DV-0651,848,48.4,2.88,1,313,0
DV-0652,515,45.6,2.91,0,114,0
DV-0653,327,34.5,0.61,1,262,0
DV-0654,2034,38.2,2.25,1,185,1
DV-0655,1985,60.7,5.38,0,76,1
DV-0656,1264,76.9,7.94,1,6,1
DV-0657,509,56.7,5.8,1,83,0
DV-0658,416,45.9,1.96,1,176,0
DV-0659,1042,43.7,0.77,0,358,1
DV-0660,275,56.9,1.89,0,181,0
DV-0661,349,45.6,4.96,0,169,0
DV-0662,1669,40.0,2.64,1,19,0
DV-0663,424,48.7,1.38,1,239,0
DV-0664,1115,25.0,1.78,1,100,0
DV-0665,1004,36.2,3.54,1,25,0
DV-0666,562,54.9,2.25,1,356,0
DV-0667,2029,37.0,2.35,1,212,0
DV-0668,1606,45.5,5.96,1,393,1
DV-0669,38,76.7,1.6,0,278,0
DV-0670,2164,52.1,8.87,1,117,1
DV-0671,146,61.4,3.33,3,166,1
DV-0672,1986,33.0,2.05,2,123,0
DV-0673,212,43.1,0.86,0,59,0
DV-0674,434,62.4,3.46,3,409,1
DV-0675,1621,23.5,0.87,1,48,0
DV-0676,227,46.0,4.77,0,233,0
DV-0677,1409,45.9,3.59,5,26,1
DV-0678,267,58.7,3.15,3,143,0
DV-0679,935,62.8,0.26,0,359,0
DV-0680,954,38.9,1.51,0,164,0
DV-0681,1176,53.6,3.89,1,177,1
DV-0682,1632,56.9,2.55,0,360,0
DV-0683,127,50.1,0.81,3,237,0
DV-0684,1475,64.9,1.27,2,274,1
DV-0685,1542,57.3,2.67,1,88,0
DV-0686,2097,52.1,0.26,0,325,0
DV-0687,213,43.9,1.55,0,318,0
DV-0688,670,42.9,2.26,3,88,0
DV-0689,1158,56.3,3.2,2,385,0
DV-0690,757,60.1,1.66,2,412,1
DV-0691,1246,50.8,1.19,0,143,0
DV-0692,1203,53.3,4.28,1,227,0
DV-0693,161,46.0,2.4,1,333,0
DV-0694,2176,32.7,1.84,2,177,0
DV-0695,846,42.5,5.33,1,216,1
DV-0696,749,60.3,6.36,1,222,1
DV-0697,586,58.7,3.27,0,369,0
DV-0698,285,40.8,9.08,1,39,1
DV-0699,1532,35.6,3.52,0,163,1
DV-0700,1808,58.2,2.29,1,110,0
DV-0701,80,59.4,4.64,0,171,0
DV-0702,2130,55.6,3.96,0,284,0
DV-0703,322,45.8,2.53,1,82,0
DV-0704,2197,46.1,3.26,0,99,0
DV-0705,2109,43.4,2.49,0,74,0
DV-0706,1432,26.2,6.49,2,288,0
DV-0707,1031,49.8,0.86,1,56,0
DV-0708,1573,47.9,6.1,1,121,1
DV-0709,914,58.1,1.82,1,117,0
DV-0710,965,30.6,0.86,2,24,0
DV-0711,100,57.2,5.13,1,83,1
DV-0712,706,46.7,1.29,0,283,0
DV-0713,1582,18.0,1.28,0,183,0
DV-0714,701,39.0,5.56,2,308,0
DV-0715,49,56.9,1.89,0,294,0
DV-0716,1045,34.4,2.01,1,412,0
DV-0717,296,49.3,1.24,0,19,0
DV-0718,581,47.2,2.43,1,337,1
DV-0719,1433,48.6,0.52,1,303,0
DV-0720,452,39.2,1.61,1,52,0
DV-0721,1558,30.7,4.2,3,234,0
DV-0722,822,57.4,1.49,0,170,0
DV-0723,889,37.7,7.54,2,277,0
DV-0724,2002,41.0,1.99,1,112,0
DV-0725,1202,60.0,0.8,3,180,0
DV-0726,140,47.0,1.23,2,184,0
DV-0727,1615,43.9,2.89,1,281,0
DV-0728,938,37.3,2.22,0,6,0
DV-0729,1382,48.5,4.74,0,390,1
DV-0730,1355,30.8,1.75,1,3,0
DV-0731,909,60.1,1.69,2,59,0
DV-0732,739,56.2,3.31,2,44,0
DV-0733,32,51.9,1.34,3,242,0
DV-0734,2016,38.5,2.04,1,87,0
DV-0735,2080,37.8,2.43,5,397,0
DV-0736,150,28.7,0.54,1,417,1
DV-0737,57,38.8,1.1,2,404,0
DV-0738,1552,54.8,1.9,0,39,0
DV-0739,1981,41.4,3.06,1,39,0
DV-0740,430,55.5,2.96,1,271,0
DV-0741,886,62.0,1.72,1,223,1
DV-0742,1932,45.3,1.81,1,200,0
DV-0743,2149,56.5,1.56,1,217,0
DV-0744,1786,57.2,2.06,1,332,1
DV-0745,1776,46.7,1.91,0,372,0
DV-0746,1061,38.8,6.74,2,374,1
DV-0747,293,53.5,3.34,0,239,0
DV-0748,2109,38.1,2.5,0,118,1
DV-0749,1342,60.7,1.69,0,158,0
DV-0750,1962,53.6,2.05,1,269,1
DV-0751,2193,54.5,5.58,0,283,1
DV-0752,1768,46.8,2.72,1,21,0
DV-0753,351,63.9,3.05,3,372,0
DV-0754,492,43.0,0.81,2,235,0
DV-0755,1594,21.9,2.27,1,363,0
DV-0756,1568,44.9,5.69,0,238,0
DV-0757,272,41.7,2.35,0,292,0
DV-0758,758,56.6,2.01,1,186,0
DV-0759,591,54.1,2.0,1,293,0
DV-0760,914,47.8,1.13,0,326,0
DV-0761,2158,61.4,1.46,1,412,0
DV-0762,1466,27.7,0.7,0,337,1
DV-0763,1109,50.1,1.09,1,7,0
DV-0764,830,55.0,2.1,1,19,0
DV-0765,314,28.3,5.57,1,94,0
DV-0766,106,46.9,4.1,0,316,0
DV-0767,1158,40.5,1.38,0,280,0
DV-0768,78,36.1,7.38,2,118,1
DV-0769,989,48.8,2.12,2,312,1
DV-0770,684,58.7,1.75,1,41,0
DV-0771,278,39.4,2.1,4,228,0
DV-0772,741,59.9,2.0,4,386,0
DV-0773,1138,51.0,2.74,2,339,0
DV-0774,1609,41.5,0.71,1,71,0
DV-0775,50,49.9,2.8,1,155,0
DV-0776,1194,45.6,1.3,2,43,0
DV-0777,1133,31.1,4.63,1,321,0
DV-0778,1046,43.9,0.28,3,174,0
DV-0779,2111,36.8,3.37,1,219,0
DV-0780,783,45.2,2.14,7,310,0
DV-0781,178,42.6,2.38,2,247,0
DV-0782,729,41.5,1.87,0,240,0
DV-0783,1922,59.3,3.96,2,105,0
DV-0784,1839,61.9,5.91,4,293,1
DV-0785,1756,60.5,0.67,1,364,0
DV-0786,835,56.1,2.08,1,176,0
DV-0787,334,55.8,2.87,1,392,0
DV-0788,1236,62.7,3.79,0,42,1
DV-0789,1012,67.6,3.41,1,3,1
DV-0790,2181,28.9,3.57,1,399,1
DV-0791,1657,55.1,2.29,1,366,0
DV-0792,913,30.4,5.45,1,394,0
DV-0793,544,33.6,2.93,1,318,0
DV-0794,807,62.6,3.11,2,216,0
DV-0795,360,62.2,4.25,2,172,0
DV-0796,692,39.2,2.82,0,293,0
DV-0797,435,52.9,3.31,2,4,0
DV-0798,1207,37.3,3.33,0,31,1
DV-0799,214,46.2,1.15,0,91,0
DV-0800,1992,40.6,3.62,2,285,0
DV-0801,1526,40.5,2.7,2,45,0
DV-0802,1051,46.5,1.29,1,150,0
DV-0803,1121,54.2,5.18,1,22,1
DV-0804,255,48.6,2.95,1,395,0
DV-0805,1785,55.6,4.06,0,49,1
DV-0806,1846,56.4,1.2,0,108,1
DV-0807,1736,26.7,0.85,1,151,0
DV-0808,1329,45.2,5.76,0,340,0
DV-0809,674,68.6,5.79,2,345,1
DV-0810,1627,42.0,2.56,0,65,0
DV-0811,99,39.6,1.03,2,276,0
DV-0812,659,55.2,0.45,1,82,0
DV-0813,2011,73.3,3.7,2,275,1
DV-0814,2193,45.6,1.93,0,174,0
DV-0815,1582,31.5,2.25,2,21,0
DV-0816,2121,44.3,2.62,2,103,0
DV-0817,1457,51.7,1.38,1,358,0
DV-0818,1513,60.3,2.42,0,74,0
DV-0819,110,63.9,2.91,1,383,1
DV-0820,718,28.4,1.32,2,269,0
DV-0821,739,41.8,1.68,0,361,0
DV-0822,1940,52.0,0.71,1,364,0
DV-0823,871,49.1,1.08,2,177,0
DV-0824,2071,36.0,5.04,0,120,0
DV-0825,1079,56.4,2.15,1,171,0
DV-0826,880,41.7,4.03,1,68,0
DV-0827,2137,56.1,0.97,1,112,0
DV-0828,334,39.0,6.2,1,117,0
DV-0829,1024,58.8,0.87,2,214,1
DV-0830,1457,63.1,0.89,0,342,0
DV-0831,124,57.1,1.45,2,410,0
DV-0832,1143,60.6,6.49,1,377,1
DV-0833,1690,39.7,1.26,1,152,0
DV-0834,1238,52.7,1.94,0,2,0
DV-0835,328,58.9,2.73,1,164,0
DV-0836,2076,45.3,1.12,1,198,0
DV-0837,1945,62.1,2.58,1,219,1
DV-0838,2101,52.9,2.29,0,256,0
DV-0839,931,36.8,4.81,2,255,0
DV-0840,1543,47.3,2.32,2,185,0
DV-0841,298,48.5,3.06,3,400,0
DV-0842,731,38.3,1.7,2,43,0
DV-0843,1464,49.4,1.68,0,86,0
DV-0844,936,62.5,1.07,1,394,0
DV-0845,1821,42.6,2.32,0,63,0
DV-0846,1444,37.0,4.56,0,277,0
DV-0847,290,72.7,2.95,0,285,0
DV-0848,2001,63.4,0.97,0,83,0
DV-0849,649,44.5,3.03,4,410,1
DV-0850,357,47.2,1.81,1,251,0
DV-0851,342,44.3,2.21,0,414,0
DV-0852,1077,50.8,7.84,0,219,1
DV-0853,1091,46.4,1.04,1,52,0
DV-0854,1885,42.1,1.63,1,313,1
DV-0855,1104,44.5,1.32,1,344,0
DV-0856,299,53.9,3.95,1,162,0
DV-0857,671,52.6,2.68,1,283,1
DV-0858,63,53.5,4.53,0,126,0
DV-0859,1779,63.2,2.19,0,362,0
DV-0860,1599,39.8,1.9,2,287,0
DV-0861,1217,57.5,2.22,1,171,1
DV-0862,1892,45.9,0.88,0,36,0
DV-0863,534,40.5,3.35,2,143,1
DV-0864,1568,54.8,1.31,2,207,0
DV-0865,1642,46.4,5.44,0,238,1
DV-0866,1912,39.4,1.01,1,175,0
DV-0867,1727,52.9,3.45,1,370,1
DV-0868,999,74.3,5.22,5,243,1
DV-0869,825,53.8,1.99,1,356,0
DV-0870,2138,41.3,10.24,2,327,1
DV-0871,1872,53.6,0.85,1,313,0
DV-0872,2172,44.0,0.71,1,37,1
DV-0873,1700,20.2,1.59,0,234,0
DV-0874,758,48.6,1.4,4,66,0
DV-0875,1398,50.0,1.38,1,8,0
DV-0876,2098,44.7,1.3,2,405,1
DV-0877,1475,55.8,3.45,1,390,0
DV-0878,468,61.1,3.6,0,216,1
DV-0879,534,40.5,2.74,2,30,0
DV-0880,1835,42.0,2.7,4,44,1
DV-0881,1360,52.8,3.04,0,374,1
DV-0882,2151,54.4,2.19,2,334,1
DV-0883,1860,36.8,1.9,1,172,0
DV-0884,832,46.3,1.37,2,312,0
DV-0885,2099,51.0,0.76,3,283,1
DV-0886,624,50.3,6.93,0,348,1
DV-0887,995,47.2,1.27,1,148,0
DV-0888,1103,26.7,1.86,4,83,0
DV-0889,830,36.2,4.22,0,283,0
DV-0890,990,27.6,4.2,0,42,0
DV-0891,419,62.3,1.15,1,194,0
DV-0892,734,61.1,2.86,1,181,1
DV-0893,1272,29.4,1.74,1,189,0
DV-0894,738,42.4,6.0,2,49,0
DV-0895,1967,63.2,0.85,2,234,0
DV-0896,1712,45.2,6.03,0,43,0
DV-0897,648,58.4,0.34,3,227,0
DV-0898,492,33.5,3.49,0,228,0
DV-0899,990,55.9,0.72,2,31,0
DV-0900,1011,50.3,1.47,1,253,0
DV-0901,1503,33.2,1.4,1,419,0
DV-0902,1849,50.7,2.07,0,122,0
DV-0903,231,50.8,3.16,2,323,0
DV-0904,911,61.9,8.06,2,205,0
DV-0905,1234,54.0,3.27,0,23,0
DV-0906,1556,48.7,4.44,0,83,1
DV-0907,1393,38.9,3.15,4,64,0
DV-0908,509,54.1,4.91,1,25,1
DV-0909,1245,49.8,5.93,0,348,1
DV-0910,1768,60.7,3.65,2,183,0
DV-0911,1154,56.5,0.78,1,141,0
DV-0912,1264,53.5,0.28,2,409,0
DV-0913,830,38.1,1.48,0,108,0
DV-0914,527,62.8,7.91,1,29,1
DV-0915,831,57.3,1.58,1,181,1
DV-0916,1141,51.8,2.44,2,315,0
DV-0917,1357,61.1,6.17,2,210,1
DV-0918,766,46.0,6.41,0,320,0
DV-0919,62,56.9,1.85,1,388,0
DV-0920,1542,43.3,1.32,5,15,1
DV-0921,592,57.9,3.33,3,325,0
DV-0922,1642,63.2,2.2,1,143,1
DV-0923,537,50.4,0.76,2,83,0
DV-0924,262,26.9,1.3,1,328,0
DV-0925,1537,41.5,3.03,3,150,0
DV-0926,1382,49.7,2.57,2,414,1
DV-0927,994,62.8,2.5,2,245,1
DV-0928,1948,44.4,1.48,1,273,0
DV-0929,540,44.2,3.98,1,255,0
DV-0930,1673,34.3,2.09,0,49,0
DV-0931,1771,41.6,2.3,2,164,0
DV-0932,1556,44.8,0.9,0,362,1
DV-0933,1940,47.5,3.18,1,172,0
DV-0934,2078,40.8,2.23,2,400,1
DV-0935,528,45.5,0.65,1,150,0
DV-0936,1556,52.9,0.97,0,74,0
DV-0937,357,43.4,1.07,2,66,0
DV-0938,1359,54.5,1.23,1,332,0
DV-0939,1055,46.5,6.41,3,99,1
DV-0940,2197,62.2,1.82,1,216,0
DV-0941,552,46.5,7.82,1,134,0
DV-0942,128,46.1,1.03,3,82,0
DV-0943,1985,50.8,4.03,2,284,1
DV-0944,2154,36.0,0.58,0,253,0
DV-0945,401,37.8,1.54,2,204,0
DV-0946,791,48.4,2.49,1,228,0
DV-0947,1051,47.6,1.77,1,136,0
DV-0948,1181,32.8,2.11,1,204,0
DV-0949,1999,46.8,1.27,2,344,0
DV-0950,1924,47.1,5.72,2,240,1
DV-0951,729,55.6,1.12,2,77,0
DV-0952,793,50.5,1.31,1,351,0
DV-0953,602,42.1,3.88,2,15,0
DV-0954,941,69.6,3.0,1,352,1
DV-0955,275,49.7,1.39,0,349,0
DV-0956,1577,22.5,1.98,0,90,0
DV-0957,1983,32.7,2.92,3,282,0
DV-0958,1926,42.3,1.98,2,21,0
DV-0959,866,51.2,2.76,1,208,1
DV-0960,1391,23.1,6.12,1,3,0
DV-0961,1518,56.9,1.77,1,98,0
DV-0962,2114,47.3,1.77,1,404,0
DV-0963,550,42.5,2.89,2,384,0
DV-0964,1708,51.8,2.15,0,181,0
DV-0965,901,60.0,2.42,1,133,0
DV-0966,1744,68.0,0.92,1,147,0
DV-0967,2104,47.1,1.9,1,141,0
DV-0968,1733,36.7,1.33,1,328,1
DV-0969,716,36.0,2.24,2,416,0
DV-0970,797,51.5,3.03,1,331,1
DV-0971,277,49.9,1.62,3,212,0
DV-0972,1390,51.1,8.5,0,322,1
DV-0973,144,47.7,4.78,1,129,0
DV-0974,862,31.4,4.61,1,199,0
DV-0975,138,53.6,9.0,0,280,1
DV-0976,1742,70.2,2.28,1,364,1
DV-0977,2158,72.4,7.72,1,91,1
DV-0978,2047,32.0,1.29,1,418,0
DV-0979,1329,54.5,2.16,2,297,1
DV-0980,466,36.9,5.07,1,218,1
DV-0981,1613,48.7,7.82,0,180,1
DV-0982,246,43.6,3.77,2,30,0
DV-0983,2145,57.2,2.43,0,377,0
DV-0984,135,41.1,0.79,1,218,0
DV-0985,1179,53.7,5.35,0,302,1
DV-0986,85,34.8,2.66,0,309,0
DV-0987,1153,49.3,3.3,2,277,0
DV-0988,914,45.1,1.73,2,278,0
DV-0989,194,56.4,1.43,0,91,0
DV-0990,1943,54.3,5.08,0,85,1
DV-0991,1995,59.3,4.22,2,151,1
DV-0992,1157,37.6,1.0,4,270,1
DV-0993,1660,71.6,3.06,1,377,0
DV-0994,356,58.2,0.6,0,345,0
DV-0995,237,60.4,3.22,2,212,1
DV-0996,1478,32.5,0.76,2,195,0
DV-0997,1180,59.5,1.18,2,380,0
DV-0998,398,61.1,1.87,0,299,0
DV-0999,92,47.8,1.51,1,326,0
DV-1000,1536,26.7,4.06,2,131,0
DV-1001,1798,47.1,4.63,0,409,1
DV-1002,1659,25.0,0.8,2,114,0
DV-1003,2104,52.9,1.46,1,219,0
DV-1004,518,51.4,4.39,1,162,0
DV-1005,918,48.0,1.12,2,335,0
DV-1006,1342,54.1,3.32,0,88,0
DV-1007,309,55.4,2.45,1,291,1
DV-1008,626,34.7,3.94,1,107,0
DV-1009,488,51.8,6.45,3,129,1
DV-1010,1825,63.2,1.76,0,321,0
DV-1011,590,44.8,4.68,2,182,0
DV-1012,1356,53.6,4.36,0,378,0
DV-1013,516,46.4,2.11,0,16,0
DV-1014,673,51.8,2.44,3,361,0
DV-1015,1262,47.8,3.26,1,124,0
DV-1016,1495,40.6,3.38,2,61,0
DV-1017,2059,66.5,2.07,1,308,0
DV-1018,1609,50.3,3.75,1,385,1
DV-1019,1292,42.8,1.01,2,210,0
DV-1020,1795,44.1,5.51,2,35,0
DV-1021,1276,42.7,4.32,2,176,0
DV-1022,1155,55.9,0.83,1,167,0
DV-1023,1422,42.4,4.52,0,220,0
DV-1024,310,45.9,1.81,1,264,0
DV-1025,1394,73.6,0.27,0,293,0
DV-1026,880,51.4,2.27,0,122,0
DV-1027,852,38.0,2.29,1,326,0
DV-1028,1446,52.2,5.49,2,12,0
DV-1029,1756,39.1,5.37,1,54,0
DV-1030,539,58.0,2.24,3,73,0
DV-1031,157,37.4,6.4,1,197,0
DV-1032,1471,42.4,3.62,1,94,0
DV-1033,1786,37.4,3.71,1,229,0
DV-1034,93,46.9,1.34,1,342,0
DV-1035,312,42.2,4.19,1,19,0
DV-1036,896,26.1,0.96,0,160,0
DV-1037,598,50.4,4.06,0,310,0
DV-1038,696,42.6,1.51,4,148,0
DV-1039,2074,54.8,4.2,3,79,0
DV-1040,359,62.5,1.54,1,362,0
DV-1041,273,45.4,4.39,1,123,1
DV-1042,1756,39.5,3.08,1,79,0
DV-1043,1271,44.2,0.46,2,89,0
DV-1044,2145,45.5,0.96,2,274,0
DV-1045,2148,50.9,1.53,0,248,0
DV-1046,1336,50.0,3.49,0,276,0
DV-1047,1546,46.3,3.76,2,144,0
DV-1048,2050,68.1,1.33,0,153,0
DV-1049,710,45.3,3.02,1,181,0
DV-1050,858,46.2,2.04,4,202,0
DV-1051,606,31.6,0.46,2,75,0
DV-1052,1115,57.6,1.27,0,317,0
DV-1053,1258,43.7,5.09,1,195,1
DV-1054,1527,50.7,1.17,1,290,0
DV-1055,1785,54.3,1.15,0,28,0
DV-1056,1751,38.7,2.33,3,271,1
DV-1057,767,24.6,1.82,0,289,0
DV-1058,587,63.6,0.81,0,315,0
DV-1059,813,60.7,2.79,2,294,1
DV-1060,646,36.6,3.76,1,364,1
DV-1061,2074,50.0,2.52,0,148,1
DV-1062,240,53.8,0.93,1,320,0
DV-1063,1695,59.3,3.98,0,24,0
DV-1064,1362,55.9,2.3,2,328,0
DV-1065,448,47.8,2.25,1,224,0
DV-1066,1312,49.8,2.15,1,336,1
DV-1067,317,53.8,2.35,1,48,0
DV-1068,1945,54.7,0.97,1,174,0
DV-1069,1206,60.8,0.88,2,5,0
DV-1070,2121,54.0,1.84,1,107,0
DV-1071,1610,41.5,2.27,2,273,1
DV-1072,226,56.5,1.53,2,276,0
DV-1073,1682,68.7,7.44,2,75,1
DV-1074,978,57.8,4.55,2,289,1
DV-1075,590,60.5,4.85,0,124,0
DV-1076,1261,40.9,1.16,1,226,1
DV-1077,1637,43.1,3.13,1,407,1
DV-1078,80,42.4,2.49,2,133,0
DV-1079,1134,33.9,0.39,0,221,0
DV-1080,810,46.5,1.35,0,212,1
DV-1081,114,49.8,2.05,0,134,0
DV-1082,1056,52.2,2.03,3,85,0
DV-1083,1513,58.6,5.77,1,84,0
DV-1084,1757,36.6,2.96,2,45,0
DV-1085,483,47.7,0.52,1,67,0
DV-1086,122,39.8,3.04,0,237,0
DV-1087,2057,69.0,1.6,1,109,0
DV-1088,1575,31.8,2.56,1,187,0
DV-1089,721,41.3,4.28,0,232,0
DV-1090,2189,64.5,1.72,3,177,0
DV-1091,1962,60.8,2.08,1,302,1
DV-1092,419,46.2,1.19,1,246,0
DV-1093,1149,58.7,3.94,0,264,0
DV-1094,1753,52.1,2.05,3,384,1
DV-1095,1608,64.9,1.42,1,193,0
DV-1096,660,42.1,0.73,1,163,0
DV-1097,2113,52.8,2.75,0,282,0
DV-1098,1648,46.6,1.84,0,415,0
DV-1099,506,54.2,2.14,3,280,0
DV-1100,777,47.3,2.23,0,386,0
DV-1101,687,49.6,3.12,2,201,0
DV-1102,811,58.5,1.48,1,147,0
DV-1103,1492,58.3,3.83,0,298,1
DV-1104,2183,37.6,1.05,1,216,0
DV-1105,1826,62.6,5.52,3,157,1
DV-1106,2087,50.1,1.77,2,299,0
DV-1107,1490,51.7,1.68,2,141,1
DV-1108,634,41.6,1.4,0,147,0
DV-1109,1508,36.9,2.46,1,72,0
DV-1110,41,44.6,4.6,2,103,0
DV-1111,1898,34.7,7.24,1,76,0
DV-1112,213,18.0,4.78,2,332,0
DV-1113,908,36.9,0.97,3,182,0
DV-1114,1037,51.4,2.13,0,97,0
DV-1115,1117,56.3,2.35,1,126,0
DV-1116,1669,43.2,0.8,0,371,0
DV-1117,1677,40.0,2.59,0,90,0
DV-1118,680,20.0,4.66,2,139,0
DV-1119,2014,56.6,1.65,0,231,1
DV-1120,1531,54.9,2.03,2,192,0
DV-1121,170,49.6,3.7,0,42,0
DV-1122,340,38.8,1.12,2,223,0
DV-1123,798,55.0,3.44,1,203,0
DV-1124,834,62.4,2.05,0,310,0
DV-1125,641,38.3,3.84,0,5,0
DV-1126,229,40.9,2.27,0,333,0
DV-1127,302,55.6,1.65,3,19,0
DV-1128,1335,36.6,1.91,0,404,0
DV-1129,1030,49.2,2.92,1,131,0
DV-1130,1644,63.9,1.91,0,93,1
DV-1131,1999,50.5,4.44,2,92,1
DV-1132,1522,36.3,1.97,1,266,0
DV-1133,1673,50.2,1.76,1,385,1
DV-1134,1047,38.7,4.91,1,172,0
DV-1135,1306,42.0,1.03,3,229,0
DV-1136,1401,43.5,2.48,0,410,0
DV-1137,1571,54.1,0.96,1,231,0
DV-1138,564,56.1,0.89,0,403,0
DV-1139,1211,73.5,4.65,1,273,1
DV-1140,276,51.4,1.99,3,246,1
DV-1141,626,43.0,0.57,2,127,0
DV-1142,1053,41.1,2.31,3,416,0
DV-1143,73,51.4,1.56,1,319,0
DV-1144,1661,40.3,1.53,1,12,0
DV-1145,333,60.0,0.87,1,16,0
DV-1146,1296,37.7,3.08,0,333,1
DV-1147,513,41.6,2.49,3,117,0
DV-1148,2039,61.0,0.76,0,400,1
DV-1149,1113,44.7,1.58,1,182,0
DV-1150,956,62.8,9.35,3,182,1
DV-1151,531,32.4,3.52,0,102,0
DV-1152,863,41.3,4.05,3,201,0
DV-1153,1223,46.8,1.62,1,113,0
DV-1154,48,58.8,1.88,0,417,0
DV-1155,1975,37.0,3.78,0,371,1
DV-1156,448,40.9,1.1,0,102,0
DV-1157,1912,41.8,1.44,2,78,0
DV-1158,1479,39.9,1.94,0,168,1
DV-1159,1493,42.3,1.86,1,101,0
DV-1160,1351,46.4,3.38,1,160,0
DV-1161,854,63.7,1.68,0,69,0
DV-1162,923,47.6,2.24,3,296,0
DV-1163,914,49.1,3.89,2,283,0
DV-1164,1921,59.6,5.04,2,416,1
DV-1165,1262,50.5,0.83,0,14,0
DV-1166,1070,46.1,1.16,1,393,0
DV-1167,1426,43.6,2.44,0,403,0
DV-1168,2092,58.0,1.21,0,129,0
DV-1169,1810,43.1,3.91,2,235,0
DV-1170,1835,65.3,2.49,1,13,1
DV-1171,1139,31.1,1.56,2,360,1
DV-1172,1126,34.6,1.66,3,329,0
DV-1173,1639,55.2,1.89,1,127,1
DV-1174,1603,38.8,1.17,3,194,1
DV-1175,1608,44.9,1.36,2,47,0
DV-1176,901,60.5,6.48,0,22,1
DV-1177,249,55.4,1.18,0,36,0
DV-1178,1350,41.3,5.04,1,243,0
DV-1179,526,62.3,3.32,1,2,0
DV-1180,1440,49.6,5.47,0,11,0
DV-1181,1207,56.2,2.47,0,94,0
DV-1182,982,45.4,3.46,3,36,0
DV-1183,37,42.4,3.88,0,342,0
DV-1184,1995,28.5,1.39,2,304,0
DV-1185,210,36.6,2.25,1,339,0
DV-1186,891,45.1,1.48,0,323,0
DV-1187,1813,61.2,2.68,2,181,1
DV-1188,1620,29.1,5.36,0,41,0
DV-1189,2052,41.5,2.41,2,85,0
DV-1190,437,30.0,3.56,1,58,0
DV-1191,623,50.0,1.76,2,53,0
DV-1192,91,59.9,3.95,2,73,0
DV-1193,370,45.8,3.52,2,276,0
DV-1194,1317,57.5,4.51,0,3,0
DV-1195,827,39.4,3.04,1,0,0
DV-1196,1934,39.8,1.6,4,10,1
DV-1197,59,42.8,1.71,2,366,0
DV-1198,1203,53.8,0.92,2,42,0
DV-1199,847,58.7,3.82,2,48,0
DV-1200,584,47.1,2.67,0,66,0
DV-1201,2089,62.7,6.64,1,243,1
DV-1202,2154,36.4,2.35,4,243,0
DV-1203,2066,58.8,3.27,1,248,0
DV-1204,1961,36.2,3.75,1,400,1
DV-1205,179,39.5,3.11,0,348,0
DV-1206,340,39.5,6.9,2,385,0
DV-1207,1960,62.7,1.01,1,315,1
DV-1208,1588,28.2,4.91,2,332,0
DV-1209,353,61.2,4.56,0,352,1
DV-1210,778,44.9,0.72,2,267,0
DV-1211,113,55.7,0.96,1,77,0
DV-1212,1273,18.0,1.86,3,256,0
DV-1213,2087,65.0,0.47,0,186,0
DV-1214,182,40.2,3.02,1,312,0
DV-1215,1644,63.9,1.86,3,347,1
DV-1216,1177,71.0,0.71,1,77,0
DV-1217,1222,55.3,1.5,1,295,1
DV-1218,832,56.1,1.65,2,348,0
DV-1219,1429,46.2,5.84,1,145,1
DV-1220,1379,56.1,4.21,4,216,0
DV-1221,432,27.5,1.68,2,6,0
DV-1222,1570,37.9,4.98,1,312,0
DV-1223,1137,40.8,0.64,1,228,0
DV-1224,156,25.4,1.33,1,330,0
DV-1225,1540,38.8,0.9,0,266,0
DV-1226,1561,54.1,2.55,0,354,0
DV-1227,1615,45.0,0.35,4,118,0
DV-1228,199,42.0,3.49,0,200,0
DV-1229,448,31.4,2.64,0,74,0
DV-1230,1790,49.7,4.16,1,419,1
DV-1231,97,51.6,1.23,0,411,0
DV-1232,2148,48.6,3.21,0,236,0
DV-1233,1985,49.0,7.22,0,178,0
DV-1234,1034,48.1,5.66,0,20,0
DV-1235,1842,50.2,2.58,0,364,0
