inlet_pressure_kpa,motor_current_a,vibration_mm_s,bearing_temp_c,hours_since_service,needs_inspection
334.01,12.31,2.3,71.54,1736.9,0
237.48,16.77,2.39,63.76,1565.0,1
322.5,23.63,7.0,54.81,1787.6,1
301.75,16.98,0.82,64.78,1538.0,1
285.44,16.52,4.13,76.24,1098.5,1
319.38,18.99,2.51,65.02,58.9,0
370.86,14.97,1.49,50.54,1389.3,0
311.37,21.62,0.77,54.2,159.7,0
261.23,17.31,1.77,54.07,2360.5,0
293.06,18.21,2.89,72.28,2206.6,1
355.65,15.97,1.32,53.99,479.6,0
319.69,16.3,2.83,57.04,2319.6,0
311.27,16.8,0.53,58.61,1435.6,0
322.94,21.93,0.28,58.72,343.8,0
313.34,22.04,0.84,68.54,536.8,0
312.7,16.52,3.82,59.05,2249.9,0
307.24,17.72,0.64,58.67,1248.6,1
370.0,21.39,0.58,53.91,2192.1,0
312.66,19.14,1.92,64.78,270.1,0
330.34,11.99,2.07,70.74,494.6,0
286.58,16.72,0.71,59.92,2246.7,0
300.87,14.01,3.28,53.45,1795.8,0
310.37,16.81,1.79,65.05,388.5,0
360.13,21.69,2.42,58.9,1902.1,1
336.28,23.72,1.33,46.43,511.4,0
279.36,16.6,2.8,75.62,778.3,1
348.31,17.8,3.61,59.4,2124.5,1
326.51,11.91,0.87,58.59,677.5,0
306.81,16.67,2.72,77.52,1919.7,0
343.62,10.88,0.86,65.08,1644.1,0
306.38,18.11,0.67,44.61,1412.4,0
301.62,15.22,1.58,59.15,1478.9,0
286.77,23.74,1.96,63.56,2016.7,1
319.68,18.7,1.36,50.35,855.2,1
316.07,20.87,0.23,69.49,1290.3,0
326.91,24.85,2.16,46.07,1233.3,1
270.54,16.42,1.3,65.9,992.7,1
332.63,21.12,0.24,56.74,764.2,1
310.91,19.03,2.66,50.21,1143.7,0
255.11,16.61,4.68,47.43,1079.2,0
326.39,18.1,1.16,81.14,1315.8,0
380.62,16.53,0.96,64.2,1471.1,1
293.99,13.98,1.38,79.79,354.3,0
297.65,14.89,0.9,70.29,1178.1,0
294.91,19.68,2.01,50.92,1352.6,0
289.72,17.16,0.98,66.73,1956.9,0
272.57,23.25,0.56,76.05,2379.1,0
316.43,23.07,2.0,60.28,1161.4,0
291.34,14.71,0.24,62.35,606.4,0
291.07,17.43,3.4,57.43,115.1,0
302.05,18.68,1.94,66.1,1421.4,1
303.59,14.35,0.93,66.93,2190.5,0
333.88,22.58,2.13,70.92,93.1,1
367.06,20.71,1.44,60.53,1188.9,1
368.35,20.24,1.55,62.03,2120.4,1
327.1,19.08,1.63,72.4,2059.8,0
277.82,18.73,0.22,57.92,932.3,0
357.08,13.58,2.75,51.4,216.7,0
285.79,15.79,1.45,53.59,1989.1,0
296.85,18.22,1.89,53.16,1929.9,0
316.29,17.94,0.45,66.38,796.0,0
328.45,18.28,1.41,47.3,1517.6,0
298.62,20.12,0.57,58.51,163.2,0
295.36,20.56,1.16,56.73,1158.0,0
264.94,18.09,1.13,45.96,123.1,0
276.98,23.11,1.68,62.73,374.1,0
314.8,16.43,0.68,63.84,1454.5,0
281.92,18.97,2.19,53.57,2289.4,0
308.4,21.87,1.83,69.86,2211.9,1
346.88,17.44,0.42,57.29,923.9,0
283.06,17.39,0.65,68.98,689.5,0
279.99,20.37,1.15,57.19,2029.8,0
265.19,22.51,0.53,50.56,1143.5,1
326.92,18.53,2.25,48.59,1690.1,0
288.93,17.96,1.16,49.94,1398.3,0
338.82,17.12,2.45,70.14,472.5,1
244.69,20.38,0.96,53.84,1473.3,0
317.08,18.6,1.56,66.5,554.0,0
400.56,21.09,2.5,57.66,2133.7,1
271.44,16.98,2.36,61.06,138.1,0
248.5,14.03,1.93,73.75,1339.1,0
287.99,17.18,1.4,57.09,1258.9,0
364.75,17.88,1.68,57.1,1874.7,0
287.81,17.98,4.75,60.11,1608.6,0
300.78,15.54,1.84,70.96,1225.7,0
341.28,19.43,2.66,48.55,154.4,1
294.76,19.39,0.58,60.75,2392.0,1
280.89,22.5,3.63,70.79,1576.9,0
306.61,20.05,1.15,50.47,916.3,0
342.38,20.55,0.92,76.16,448.8,0
322.2,17.1,3.51,62.59,2004.7,1
306.2,16.47,2.59,51.26,266.9,0
303.56,20.69,0.16,41.63,1644.8,1
316.08,17.62,2.74,59.28,908.8,0
268.82,18.09,1.27,64.29,1941.7,1
327.68,17.44,0.51,51.11,1571.4,1
298.91,15.16,1.74,55.69,554.4,0
292.2,19.5,4.4,54.62,1249.0,0
324.56,13.83,0.15,69.39,1712.9,0
289.23,13.83,2.25,46.61,1454.0,0
282.77,16.81,3.19,61.26,1211.5,0
277.22,16.54,1.5,48.57,2112.5,0
269.86,21.06,1.06,66.3,1268.8,0
276.48,13.6,3.09,54.32,1822.5,0
322.98,23.21,0.65,57.09,428.2,0
344.68,10.92,0.9,62.81,296.7,0
354.97,16.38,1.7,58.6,1661.0,0
296.24,17.15,1.18,63.62,1419.1,0
287.19,19.11,0.83,62.83,432.6,0
335.66,25.44,0.3,49.98,2044.3,0
391.1,18.65,1.03,67.98,1854.8,0
344.89,18.13,3.47,49.89,912.2,0
297.93,16.18,2.12,67.72,2000.0,1
329.17,12.57,1.94,60.09,765.7,0
286.11,20.44,1.18,53.35,507.6,0
259.36,11.99,0.32,69.05,844.9,0
297.65,21.58,2.33,67.06,1203.2,1
330.43,16.54,0.81,56.24,2373.5,0
338.28,20.2,2.24,58.19,2393.8,0
311.52,21.57,1.68,55.72,1109.1,0
329.12,14.39,1.11,57.8,2051.9,0
229.47,16.6,1.37,48.87,732.1,0
313.0,17.64,0.7,69.68,1714.6,0
322.96,17.1,2.74,78.93,2148.7,1
252.7,20.66,1.61,56.01,2124.9,0
298.43,15.02,1.09,54.5,1576.0,0
314.68,21.76,3.71,58.4,2130.6,1
281.0,17.13,2.63,62.3,1151.8,1
259.36,16.79,0.97,62.11,17.1,0
316.87,13.57,3.62,59.99,1173.1,0
353.12,16.1,0.91,51.72,1889.2,0
346.92,13.0,1.01,61.74,1721.8,0
281.83,16.23,1.05,62.16,1002.8,0
299.33,23.88,4.72,45.67,784.8,0
336.12,18.97,1.97,52.85,1672.7,0
271.79,21.22,1.03,58.89,798.4,0
317.6,20.03,2.44,58.21,227.1,0
342.41,21.2,1.74,60.84,425.2,0
327.7,20.76,1.96,55.71,1457.5,0
316.31,19.1,5.43,66.25,1958.2,1
344.8,11.54,3.03,63.68,1353.4,0
258.03,16.15,0.46,53.48,1159.4,1
336.82,10.22,0.6,70.71,176.6,0
328.54,12.67,3.12,48.21,1674.5,0
321.36,20.81,2.08,54.67,12.0,0
295.64,19.99,0.96,57.87,313.4,0
372.98,10.96,2.31,70.34,1821.8,0
322.02,19.04,1.65,78.76,1988.6,0
281.86,12.21,1.13,58.53,2398.1,0
289.18,15.45,1.47,65.37,1901.0,1
328.67,17.71,0.99,68.18,2341.0,0
295.76,17.8,2.17,57.07,1781.6,0
225.9,17.87,2.5,63.98,880.8,0
294.49,16.39,1.88,58.03,2108.3,1
357.91,9.91,0.21,63.61,2399.2,0
273.22,20.32,1.09,71.02,2335.4,0
319.83,14.28,3.35,66.6,880.1,0
243.35,21.34,0.95,58.86,1018.4,0
372.56,26.56,1.77,70.85,1530.9,0
279.34,21.5,1.09,87.81,338.5,0
352.71,17.34,4.08,48.1,72.1,0
326.34,12.96,0.75,54.15,1630.0,1
298.71,16.0,0.28,66.56,191.5,0
328.48,22.21,0.91,74.29,1341.9,0
268.26,22.0,2.22,82.15,151.1,0
290.12,19.02,0.46,50.58,2031.7,0
272.6,15.7,1.61,66.65,1356.6,0
298.79,19.55,2.12,50.27,452.1,0
320.07,17.23,1.01,64.03,1912.8,0
332.89,17.41,2.67,58.28,1320.5,0
294.15,17.18,0.46,71.98,782.7,0
264.31,17.29,1.35,56.65,857.2,0
323.58,19.63,1.98,62.13,76.6,0
256.72,17.05,2.32,60.35,347.7,1
312.4,16.2,0.63,59.42,987.3,0
346.7,20.63,3.42,48.75,1749.6,0
323.93,16.02,2.25,70.7,1912.9,1
319.33,20.39,1.37,69.98,1773.2,0
304.87,17.64,6.04,68.11,70.2,1
298.79,18.78,0.66,63.71,2217.6,0
287.93,9.7,1.79,62.14,2243.2,0
332.28,21.46,0.88,64.17,1401.2,0
317.63,12.2,1.43,66.14,116.4,0
320.51,19.19,1.71,81.03,1926.7,0
282.4,21.24,1.21,52.32,1210.7,1
304.58,20.23,1.45,54.61,108.6,0
329.26,9.0,2.2,72.78,437.5,0
282.58,17.8,2.07,69.01,1060.2,0
278.35,18.88,1.56,59.12,1057.1,0
281.89,9.46,0.56,62.01,1006.0,0
336.01,22.11,2.7,52.07,265.0,0
328.58,20.52,0.61,75.92,2099.0,0
363.33,17.64,2.02,56.97,552.5,1
295.53,18.12,1.46,58.23,89.7,0
287.05,21.79,0.67,55.6,1951.2,0
283.18,17.0,0.96,53.5,2302.4,0
273.02,16.43,1.3,72.28,576.7,1
323.69,17.88,0.27,69.41,1377.3,0
318.59,13.29,0.5,54.46,2183.5,0
325.82,19.88,2.35,67.0,1121.9,0
283.27,15.75,1.63,41.35,32.4,1
271.5,19.89,2.19,59.62,2109.7,0
288.67,16.63,2.79,60.89,1321.1,0
215.0,18.41,1.15,57.55,2110.4,1
296.64,13.52,0.63,59.05,780.9,0
307.95,21.01,2.1,64.32,746.3,0
314.41,18.26,3.69,62.69,2002.2,0
304.01,17.57,0.51,62.07,2007.7,1
340.32,18.15,0.36,67.55,1155.9,0
258.02,19.76,4.24,65.41,1973.2,1
325.36,19.15,0.99,56.01,956.7,1
327.63,13.64,3.72,64.62,181.7,0
314.21,18.72,1.6,69.81,454.0,0
277.26,13.76,0.7,59.56,451.3,0
304.0,18.15,0.32,55.65,1965.1,0
334.28,18.45,1.32,59.18,2373.6,0
226.95,17.84,0.88,67.21,292.0,0
280.35,21.4,0.52,77.4,428.0,0
335.49,17.93,1.89,74.18,1783.1,0
319.44,18.55,0.45,63.5,995.7,0
297.38,16.14,3.49,66.67,1841.3,0
392.04,15.28,2.58,66.21,1913.6,0
242.0,18.62,0.54,66.21,776.2,0
315.78,21.56,0.33,48.94,1143.1,0
304.64,16.1,0.33,57.28,491.6,0
275.97,21.6,3.22,52.16,2395.9,0
333.66,16.5,0.28,54.69,2297.0,0
328.14,17.13,1.23,65.82,2181.9,0
305.67,16.23,0.42,51.48,499.7,0
343.16,20.86,2.31,69.32,178.8,0
255.44,20.52,2.84,71.33,59.9,0
329.57,9.23,1.08,50.8,1488.4,1
256.04,17.49,3.03,62.03,1229.4,0
368.25,18.75,0.55,54.36,139.2,0
327.76,14.78,4.58,66.35,617.5,1
262.96,16.66,2.84,62.09,324.2,0
352.36,16.3,1.74,68.74,1649.0,1
342.86,14.33,2.77,51.5,558.1,1
280.43,14.59,3.36,63.51,396.4,1
344.69,14.38,1.11,62.48,1144.6,0
322.37,14.5,1.17,65.49,1096.5,0
229.79,20.1,1.04,63.55,1903.1,0
268.49,20.71,3.6,53.48,1989.0,1
328.41,18.01,0.95,63.92,1692.7,0
303.12,19.36,1.3,57.7,1728.6,0
283.2,16.47,1.68,44.01,1169.7,0
399.44,12.55,2.63,69.22,284.8,1
341.15,12.85,3.73,59.28,1845.1,0
278.88,18.93,0.98,65.67,310.6,1
320.01,19.55,2.92,67.86,1350.6,1
299.34,17.73,1.34,63.24,1367.2,0
365.09,24.16,3.23,64.94,1866.5,1
312.38,17.06,1.63,55.52,348.9,0
314.52,16.19,1.82,75.12,1218.3,0
347.97,23.51,1.95,63.98,575.5,0
349.52,13.73,1.4,75.52,1897.4,0
275.4,18.06,1.75,50.6,1681.1,0
318.25,15.58,2.33,63.2,403.3,0
341.78,18.95,1.24,68.3,1572.0,1
338.38,15.02,1.66,59.87,86.9,0
342.62,16.6,0.65,60.71,2116.1,0
248.67,15.97,0.44,43.17,1596.8,1
265.71,19.25,0.54,62.25,732.4,0
282.24,20.4,0.55,52.69,189.2,0
270.91,14.12,3.8,56.03,2299.4,0
349.44,19.59,1.38,51.11,613.8,0
258.09,17.1,2.22,58.09,1446.3,0
252.06,15.58,1.9,49.28,242.7,0
329.88,22.06,0.3,70.19,2143.5,0
249.96,21.15,2.9,54.3,202.5,0
325.22,21.14,0.88,75.24,249.1,0
288.17,18.35,1.69,42.31,2093.7,0
315.84,15.64,5.33,64.97,868.8,1
321.06,19.66,2.75,63.24,1454.7,0
337.68,17.45,1.12,52.2,74.0,0
278.21,25.13,3.63,85.05,609.0,1
307.67,14.95,1.83,39.11,1427.7,0
300.33,21.25,2.28,63.24,1469.1,0
304.82,22.28,1.92,62.48,2096.0,0
365.57,16.67,6.97,60.47,2040.5,0
317.38,15.53,0.9,70.34,1643.4,0
296.61,18.72,1.14,55.24,1416.4,0
275.61,18.15,0.64,53.03,1475.9,0
410.0,15.51,4.41,57.02,1976.7,0
311.32,15.15,2.46,58.17,2164.5,0
334.69,13.41,0.43,62.82,1847.8,0
293.74,20.28,0.85,53.6,500.3,0
357.62,17.3,0.89,61.13,863.0,0
261.96,18.81,1.34,66.08,683.1,1
296.0,18.89,2.28,61.94,741.1,0
373.54,23.64,0.99,53.38,2030.3,1
341.69,17.91,7.0,59.77,727.9,1
295.7,16.24,0.62,74.95,83.6,0
328.55,18.16,1.04,63.81,1437.9,0
349.07,15.08,0.98,72.57,2100.0,0
367.58,19.72,1.73,55.74,1966.4,1
324.87,15.55,2.44,70.88,2077.2,0
333.63,19.09,2.7,60.03,1489.8,0
308.51,15.21,1.63,61.79,1187.9,0
301.95,13.27,1.53,67.06,2381.9,0
276.41,12.37,2.99,68.47,1059.4,0
295.81,18.25,2.65,77.41,1282.5,1
302.83,20.54,2.54,58.47,666.4,0
345.95,17.41,1.22,50.31,1794.9,0
257.93,16.97,0.31,62.59,1653.7,0
290.22,20.44,2.31,72.49,2005.8,0
282.49,19.04,2.83,66.76,1335.0,1
252.85,17.93,1.46,58.19,648.0,0
285.19,21.97,2.07,46.31,1368.3,0
299.35,15.47,7.0,55.68,944.0,0
270.65,15.2,1.29,59.75,1860.9,0
287.83,18.75,1.35,56.04,167.0,0
333.52,19.4,1.32,59.05,494.3,0
348.33,17.59,3.6,48.87,1531.5,0
258.62,14.33,3.02,66.36,444.7,0
319.15,18.08,0.26,54.35,1876.0,0
328.1,17.62,1.16,64.22,220.9,0
227.24,22.87,1.65,60.31,2154.9,1
314.5,18.7,0.74,72.92,1759.2,0
316.14,17.12,1.2,85.5,23.8,0
295.92,18.12,1.4,66.48,683.3,0
355.77,18.44,0.72,51.56,858.2,1
325.38,16.57,1.39,67.21,434.0,0
292.89,20.73,3.11,65.71,118.4,1
307.51,21.78,2.74,63.69,1482.6,1
271.42,14.87,2.11,64.18,1411.0,0
300.25,14.96,0.52,56.34,1783.8,0
320.37,16.17,0.54,59.58,1232.2,0
255.3,18.26,1.13,62.45,457.3,0
260.76,21.71,1.91,58.8,1273.5,1
250.21,15.24,1.11,58.61,543.6,0
363.95,18.2,5.9,63.65,1894.6,1
290.5,18.08,2.16,46.2,500.6,0
378.71,21.74,2.55,63.71,1917.8,0
378.61,23.33,5.86,59.21,2137.6,1
331.73,20.97,1.76,71.93,2036.0,1
265.61,14.71,2.5,62.36,2169.8,1
302.65,14.02,2.13,55.73,1512.7,0
288.83,15.15,1.01,58.73,1861.2,0
333.76,14.05,2.61,75.65,105.4,0
357.25,18.0,2.45,48.98,2241.3,1
330.94,20.61,2.73,64.47,2114.8,1
309.58,14.51,0.28,51.38,472.4,0
312.13,16.64,1.19,61.4,2068.6,0
249.48,15.23,1.79,62.94,1595.8,0
298.3,16.31,0.66,55.2,2254.1,0
290.47,21.92,1.73,65.18,46.1,1
280.4,20.51,2.08,65.21,1239.0,0
365.45,18.64,2.97,54.72,504.9,0
312.35,20.78,2.25,60.02,825.0,0
295.69,20.97,0.94,74.51,1989.8,0
382.25,19.6,1.75,57.88,1488.6,0
370.39,13.87,3.76,53.77,1301.0,0
407.92,13.98,1.36,65.16,529.7,0
380.68,21.37,0.44,78.02,996.0,0
240.78,18.17,1.41,67.38,1590.8,1
304.49,16.16,0.58,63.11,294.6,0
315.85,18.28,1.33,62.12,1235.3,0
272.54,18.87,2.43,63.85,1548.6,0
375.36,17.21,3.77,56.11,442.8,0
307.27,10.51,1.1,65.78,2168.3,0
293.98,19.84,0.58,58.96,1294.8,0
285.21,10.58,1.84,77.74,1431.9,0
277.68,18.19,2.7,64.81,1314.9,1
316.15,20.32,0.58,55.7,1019.8,0
330.27,17.74,7.0,48.67,1216.2,0
278.45,19.76,1.36,60.94,1680.6,1
302.48,13.91,1.85,62.75,1746.6,0
340.33,16.3,2.04,66.69,1145.4,1
280.52,16.92,1.41,62.37,189.1,0
282.25,18.82,1.17,62.77,494.9,0
349.78,19.42,5.88,67.76,1926.8,1
288.03,16.15,0.29,59.37,222.8,0
249.91,17.29,2.3,51.63,391.8,1
322.1,11.7,0.91,57.37,287.8,0
292.3,21.53,3.7,75.51,276.7,1
377.91,14.14,3.12,59.62,2263.3,0
266.53,15.34,4.45,48.31,1463.8,0
353.16,23.65,0.8,59.08,1276.4,0
286.47,18.17,1.58,45.71,1881.7,1
287.92,15.4,2.06,66.92,231.3,0
329.29,17.6,2.42,66.43,1700.7,0
320.35,20.51,1.64,60.96,1977.9,0
299.86,15.54,0.69,50.74,628.6,0
354.8,16.32,1.96,78.12,1858.3,0
262.39,11.46,1.45,67.09,1554.9,1
339.19,16.24,1.12,70.73,1587.0,1
271.25,18.25,4.4,52.44,2229.9,0
258.09,25.26,2.26,56.0,1494.8,1
373.41,15.88,2.72,74.59,362.2,0
341.11,10.47,3.48,48.59,1579.8,0
285.22,19.31,0.79,56.45,1834.9,0
275.61,23.63,1.56,76.27,2328.3,0
284.8,12.98,2.85,72.25,119.5,0
311.09,19.85,0.23,66.84,524.2,0
390.75,20.45,0.77,64.34,941.8,1
307.75,16.56,0.9,75.31,761.9,0
270.64,20.49,1.27,42.46,1916.1,0
342.44,23.98,1.55,65.3,1386.6,0
323.81,16.21,0.65,50.44,775.4,0
296.13,16.45,0.85,71.11,1105.1,0
258.16,16.63,0.85,59.21,1868.3,0
291.71,18.33,1.2,68.75,761.9,0
314.11,24.01,1.0,55.85,1712.2,0
288.58,22.16,1.56,65.3,1948.6,0
284.23,19.27,0.66,47.81,2238.6,0
311.81,19.37,0.71,67.86,2073.8,0
294.6,20.28,1.41,55.28,171.7,0
330.91,15.96,0.46,74.32,1792.1,0
314.85,17.15,0.84,62.23,1304.9,0
343.44,19.24,1.8,61.89,486.8,1
322.57,13.57,0.49,70.86,1756.4,0
375.99,15.29,3.09,74.4,10.9,0
314.29,19.41,2.12,75.94,1566.8,0
332.12,17.12,1.3,57.07,673.5,0
308.06,18.03,1.05,64.87,351.9,0
351.88,16.43,1.11,63.17,453.3,0
295.02,19.55,0.51,68.45,556.3,0
300.19,20.34,1.39,60.14,1959.4,0
383.48,19.3,0.96,53.77,990.2,0
339.03,13.78,1.36,60.28,432.4,0
326.16,20.64,1.47,75.39,442.3,1
328.19,22.96,1.48,67.2,998.1,0
334.15,14.19,2.59,63.43,1543.2,0
334.55,14.27,1.02,69.87,1404.8,0
275.14,15.48,2.41,71.45,752.4,0
277.72,19.16,0.28,63.86,780.1,0
283.13,17.23,3.09,48.95,940.7,0
235.49,18.12,0.45,65.68,2171.9,0
341.79,18.62,0.53,56.02,1659.5,0
311.79,21.33,0.6,63.02,1919.9,0
347.76,17.25,2.53,62.92,1397.0,0
287.3,16.21,2.09,67.6,1710.7,0
285.79,17.68,2.02,59.2,1706.5,0
293.21,21.11,5.17,60.4,2081.5,1
312.76,21.21,0.15,75.59,901.7,0
323.54,9.59,2.68,71.48,0.4,0
310.81,20.2,1.23,58.15,1226.0,0
313.42,16.33,0.83,72.3,248.0,0
297.31,14.67,2.47,65.27,1178.5,0
321.92,18.12,2.22,72.97,605.5,0
313.24,16.58,1.36,64.26,888.4,0
278.27,16.15,1.77,56.43,2096.9,0
373.41,21.34,1.89,56.96,1275.0,0
295.52,19.57,2.19,60.32,450.4,0
367.65,13.71,2.26,49.11,86.2,0
327.92,12.13,1.9,43.56,106.1,0
310.11,15.52,6.08,64.77,1694.6,1
306.27,17.8,4.45,54.49,1849.4,0
309.84,13.95,2.78,51.54,1651.5,0
287.02,21.73,1.86,59.75,973.8,0
263.03,18.23,2.56,48.93,698.6,0
291.58,15.63,3.31,71.23,135.6,1
264.79,18.38,0.67,78.91,1254.5,0
301.98,19.57,0.66,50.13,1843.3,0
300.19,15.74,4.79,58.66,2247.1,1
361.07,22.71,0.47,65.56,1902.1,0
261.41,18.82,1.41,61.1,902.6,0
319.33,22.21,3.41,62.55,334.5,0
274.84,18.17,1.17,47.93,220.9,0
330.53,20.82,0.19,76.2,2386.3,0
304.04,21.44,1.05,69.03,1531.3,0
286.77,14.22,0.15,65.82,2319.9,0
284.96,21.54,3.18,48.67,333.1,1
319.15,18.0,0.52,65.32,1517.6,0
333.3,17.93,2.27,67.95,397.5,0
227.18,22.2,0.48,55.68,1170.3,1
344.41,19.32,2.02,73.66,1596.6,1
314.42,20.43,0.89,47.33,1539.6,0
270.32,22.39,5.2,51.64,1219.3,0
355.3,9.95,4.05,63.67,200.6,0
258.0,23.1,0.97,60.32,1404.6,1
317.97,24.01,1.27,58.82,1900.4,0
354.06,19.73,1.9,62.18,1082.7,0
283.22,17.19,0.68,76.5,2135.9,0
359.55,15.25,4.25,53.62,1239.1,0
256.82,19.57,1.86,55.63,2263.3,1
260.2,21.63,1.34,54.27,2266.9,0
309.18,17.79,1.76,63.53,1951.4,0
312.97,19.59,1.15,59.61,2365.4,0
340.43,19.68,3.66,60.27,1776.5,0
326.3,18.05,0.7,67.67,2358.9,1
311.06,19.81,2.75,40.03,886.1,0
270.21,21.09,2.36,53.55,1647.9,0
294.37,19.1,0.68,71.11,1386.7,1
288.35,18.9,3.51,62.99,1613.9,0
230.48,15.76,2.1,58.16,2126.3,1
290.16,20.67,0.52,57.69,781.8,0
316.38,16.09,0.18,67.87,148.9,0
305.02,20.37,1.17,79.56,604.8,0
311.51,17.66,0.59,67.11,187.2,0
343.54,20.87,0.33,70.3,1163.6,0
293.54,16.86,5.58,77.5,1868.8,1
332.89,20.21,2.08,68.13,1704.3,0
288.45,25.96,2.02,63.26,1620.1,1
307.25,22.64,5.46,62.0,703.2,1
290.59,11.4,1.84,64.49,271.4,0
293.46,18.66,2.78,47.92,1247.3,0
281.99,19.28,1.35,61.48,2088.4,0
340.93,19.71,1.68,55.35,951.7,0
326.8,19.09,0.33,59.38,1440.0,0
255.28,21.97,1.07,61.7,2139.8,1
288.69,23.67,1.94,63.97,1842.9,1
349.67,19.9,0.85,60.1,301.0,0
287.13,23.62,3.65,38.31,1537.6,0
286.32,16.49,4.42,69.86,1719.7,0
326.95,13.63,2.73,63.23,1721.1,0
326.04,15.55,1.7,69.19,757.4,0
327.36,17.78,2.49,64.42,2299.3,1
335.19,15.9,1.48,64.84,2009.1,0
267.94,16.15,1.04,63.17,493.8,0
331.68,14.17,2.41,70.58,144.8,0
255.75,16.64,3.61,61.86,410.3,1
335.85,20.57,1.72,42.86,751.2,0
318.62,16.46,0.79,56.67,66.1,0
348.97,24.7,3.44,61.83,32.4,1
319.3,23.14,2.47,69.88,239.9,0
319.28,14.51,1.79,76.35,1419.9,0
376.0,20.09,1.07,73.56,590.4,1
257.15,16.51,2.42,61.19,601.8,0
384.0,19.19,2.72,67.97,783.4,1
254.48,14.91,2.2,54.39,715.6,0
377.64,16.01,1.36,60.62,1441.5,0
336.3,20.55,1.9,62.63,1772.3,1
272.4,16.6,1.45,60.39,2022.8,1
344.99,20.26,2.32,52.05,2287.8,0
324.68,17.96,1.88,59.36,2292.2,1
271.29,22.0,1.22,67.44,162.1,1
326.41,17.53,3.57,55.11,228.2,0
244.38,14.74,0.57,80.04,1450.7,0
255.35,22.35,1.27,62.24,2010.9,1
315.72,15.32,0.81,64.66,82.5,0
321.85,17.48,1.33,56.06,1013.2,1
269.86,21.06,2.17,65.81,2214.7,0
325.22,20.0,0.22,53.14,343.9,0
284.52,15.94,0.73,52.5,1927.7,0
326.68,16.76,2.21,53.67,2239.4,1
353.0,11.46,0.94,73.87,1768.1,0
353.17,18.69,2.21,51.05,849.2,0
231.36,16.4,2.25,55.4,1065.0,0
365.26,14.4,0.72,67.51,2201.5,0
294.55,17.24,2.72,70.33,828.0,0
365.82,21.12,0.35,59.14,1880.8,0
335.53,15.03,2.2,61.97,449.2,0
332.13,20.97,1.02,60.36,1074.0,0
264.19,21.51,1.98,62.81,479.6,0
363.37,18.05,1.73,64.72,901.8,0
322.42,20.23,1.9,79.99,2249.9,0
325.94,17.25,1.05,62.45,2210.0,0
320.87,17.2,1.4,63.52,1699.7,0
280.15,19.44,1.32,62.01,1672.2,0
283.27,13.48,2.92,65.9,63.6,0
298.77,16.79,1.23,73.01,932.8,0
326.6,16.0,2.64,55.5,759.5,0
259.37,20.2,1.8,62.38,151.0,0
322.37,16.56,2.87,70.59,1954.9,0
390.29,23.71,0.32,53.6,288.1,0
308.96,18.21,1.27,52.76,1065.4,0
300.07,18.29,1.1,60.89,316.7,0
352.85,19.65,3.83,60.75,866.1,0
272.11,15.32,1.41,58.69,739.0,0
273.43,21.48,1.38,80.61,1993.7,0
314.39,18.56,1.81,49.4,1554.4,0
350.18,18.95,0.77,59.66,694.4,0
255.75,14.91,2.32,67.72,762.2,1
347.48,16.24,1.27,61.58,2177.6,0
273.6,16.18,3.06,64.11,642.1,0
298.34,17.36,2.77,69.77,1934.5,1
333.69,17.65,1.41,51.46,2248.6,1
311.77,10.67,1.29,54.59,244.9,0
308.06,14.74,1.72,64.39,934.7,1
247.04,22.58,4.09,57.94,889.0,1
322.26,17.33,0.93,71.12,135.2,0
332.02,19.54,2.25,45.66,2269.5,0
300.49,19.69,2.16,58.79,1129.7,0
279.99,16.0,1.39,60.19,1551.5,0
294.52,18.26,0.89,61.31,370.1,0
312.85,22.85,2.66,63.86,129.5,1
289.55,17.1,2.37,67.59,2061.0,0
368.02,21.55,2.77,64.15,1568.1,1
381.1,14.92,0.18,58.0,1932.8,0
233.17,18.8,6.71,51.14,2323.4,0
330.46,14.73,3.72,61.87,1732.3,1
267.69,20.03,3.74,63.68,2280.3,1
300.57,21.93,0.64,58.96,1486.1,0
