pickup,dropoff,passengers,distance,fare,tip,total,payment,pickup_borough
2019-03-20 15:03:32,2019-03-20 15:08:54,1,0.8,5.5,0.0,8.8,cash,Manhattan
2019-03-20 15:10:47,2019-03-20 16:06:20,1,15.58,52.0,11.06,66.36,credit card,Manhattan
2019-03-20 15:19:10,2019-03-20 15:22:01,1,0.5,4.0,0.0,7.3,cash,Manhattan
2019-03-20 15:39:32,2019-03-20 15:43:19,1,0.8,5.0,1.65,9.95,credit card,Manhattan
2019-03-20 15:43:47,2019-03-20 15:54:07,1,1.36,8.0,0.0,8.8,cash,Queens
2019-03-20 17:51:43,2019-03-20 17:55:08,1,0.47,4.0,0.0,8.3,cash,Manhattan
2019-03-20 17:54:31,2019-03-20 18:05:50,1,3.15,12.5,2.86,17.16,credit card,Queens
2019-03-20 20:24:16,2019-03-20 20:37:15,3,1.86,10.0,2.76,16.56,credit card,Manhattan
2019-03-20 22:47:00,2019-03-20 23:15:53,1,12.7,36.5,7.56,45.36,credit card,Queens
2019-03-20 23:06:47,2019-03-20 23:46:34,2,19.3,52.0,11.05,66.35,credit card,Queens
2019-03-21 05:01:14,2019-03-21 05:29:19,1,17.38,52.0,15.26,76.32,credit card,Manhattan
2019-03-21 06:49:32,2019-03-21 07:29:34,1,12.54,40.0,0.0,46.56,credit card,Brooklyn
2019-03-21 08:27:13,2019-03-21 08:32:45,1,0.6,5.0,1.65,9.95,credit card,Manhattan
2019-03-21 08:59:27,2019-03-21 09:25:16,1,4.42,15.66,0.0,16.46,credit card,Manhattan
2019-03-21 09:48:17,2019-03-21 10:05:14,1,0.9,11.0,2.85,17.15,credit card,Manhattan
2019-03-21 12:06:09,2019-03-21 12:19:26,1,0.91,9.0,2.46,14.76,credit card,Manhattan
2019-03-21 15:03:55,2019-03-21 15:08:37,1,0.78,5.0,1.66,9.96,credit card,Manhattan
2019-03-21 16:19:20,2019-03-21 16:28:47,2,0.81,7.5,2.79,14.04,credit card,Brooklyn
2019-03-21 18:08:42,2019-03-21 18:33:24,1,2.15,16.0,4.06,24.36,credit card,Manhattan
2019-03-21 18:41:58,2019-03-21 19:15:25,1,3.13,20.5,0.0,24.8,cash,Manhattan
2019-03-21 19:13:56,2019-03-21 19:22:40,1,0.9,7.0,1.7,13.0,credit card,Manhattan
2019-03-21 23:03:17,2019-03-21 23:11:37,1,2.08,9.0,2.56,15.36,credit card,Manhattan
2019-03-22 00:36:39,2019-03-22 00:52:33,1,4.92,16.5,0.0,20.3,cash,Manhattan
2019-03-22 04:46:14,2019-03-22 05:16:28,5,18.94,52.0,12.21,73.27,credit card,Manhattan
2019-03-22 09:02:34,2019-03-22 09:32:22,1,8.3,27.0,7.2,43.26,credit card,Queens
2019-03-22 10:12:58,2019-03-22 10:37:01,5,3.3,16.5,0.0,19.8,credit card,Manhattan
2019-03-22 10:18:30,2019-03-22 11:06:57,1,11.24,39.0,9.61,57.67,credit card,Queens
2019-03-22 11:09:23,2019-03-22 11:50:25,4,8.4,33.0,8.4,50.46,credit card,Queens
2019-03-22 13:57:20,2019-03-22 14:06:28,1,1.42,8.0,2.26,13.56,credit card,Manhattan
2019-03-22 16:48:21,2019-03-22 16:58:33,1,1.33,8.5,2.06,12.36,credit card,Brooklyn
2019-03-22 17:22:59,2019-03-22 17:35:57,1,1.55,9.5,0.0,13.8,cash,Manhattan
2019-03-22 18:07:12,2019-03-22 18:17:07,2,1.46,8.5,0.0,12.8,cash,Manhattan
2019-03-22 18:27:23,2019-03-22 18:43:52,1,2.93,12.5,3.36,20.16,credit card,Manhattan
2019-03-22 19:14:45,2019-03-22 19:34:11,3,8.0,24.0,0.0,25.8,cash,Queens
2019-03-22 20:15:23,2019-03-22 20:22:57,1,0.96,6.5,0.0,10.3,cash,Manhattan
2019-03-22 20:17:35,2019-03-22 20:36:07,1,4.02,16.0,0.0,17.3,cash,Manhattan
2019-03-22 20:49:58,2019-03-22 21:00:53,1,2.48,10.0,2.0,15.8,credit card,Manhattan
2019-03-23 06:20:27,2019-03-23 06:20:59,1,0.0,55.0,0.0,55.8,credit card,
2019-03-23 09:10:19,2019-03-23 09:17:57,1,1.15,7.0,1.5,11.8,credit card,Manhattan
2019-03-23 09:59:40,2019-03-23 10:10:47,1,2.16,10.0,2.66,15.96,credit card,Manhattan
2019-03-23 11:12:10,2019-03-23 11:21:10,4,1.77,8.0,0.0,11.3,cash,Manhattan
2019-03-23 12:30:15,2019-03-23 12:40:51,1,1.56,8.5,2.36,14.16,credit card,Manhattan
2019-03-23 13:33:13,2019-03-23 13:57:15,1,3.0,17.0,5.05,25.35,credit card,Manhattan
2019-03-23 14:26:40,2019-03-23 15:00:33,1,14.03,38.61,0.0,44.87,credit card,Bronx
2019-03-23 14:29:29,2019-03-23 15:21:09,1,14.47,46.5,0.0,53.06,credit card,Queens
2019-03-23 19:09:00,2019-03-23 19:19:34,1,1.56,9.0,2.46,14.76,credit card,Manhattan
2019-03-23 20:09:01,2019-03-23 20:17:12,1,0.76,6.5,0.0,10.3,credit card,Manhattan
2019-03-23 20:50:49,2019-03-23 21:02:07,1,2.6,10.5,2.0,16.3,credit card,Manhattan
2019-03-23 21:50:25,2019-03-23 22:03:43,1,2.5,11.0,0.0,14.8,cash,Manhattan
2019-03-24 02:35:51,2019-03-24 02:42:12,1,2.4,8.5,2.46,14.76,credit card,Manhattan
2019-03-24 03:26:55,2019-03-24 03:35:48,1,1.12,7.5,2.26,13.56,credit card,Manhattan
2019-03-24 13:54:44,2019-03-24 14:00:39,1,0.58,5.0,0.0,8.3,cash,Manhattan
2019-03-24 14:49:15,2019-03-24 14:54:21,1,0.78,5.5,0.0,8.8,cash,Manhattan
2019-03-24 22:59:07,2019-03-24 23:06:34,2,1.46,7.5,2.26,13.56,credit card,Manhattan
2019-03-25 08:01:08,2019-03-25 08:07:54,1,1.5,7.0,0.0,10.3,cash,Manhattan
2019-03-25 12:25:48,2019-03-25 12:40:37,1,2.86,12.5,3.16,18.96,credit card,Manhattan
2019-03-25 13:07:20,2019-03-25 13:18:38,1,1.36,8.5,0.0,11.8,cash,Manhattan
2019-03-25 13:32:08,2019-03-25 13:35:44,1,0.9,5.0,1.65,9.95,credit card,Manhattan
2019-03-25 16:56:42,2019-03-25 17:15:06,2,3.2,14.5,3.75,22.55,credit card,Manhattan
2019-03-25 16:58:51,2019-03-25 17:32:18,1,10.41,34.0,8.31,49.87,credit card,Queens
2019-03-25 19:05:06,2019-03-25 19:20:29,6,2.13,11.5,2.0,17.8,credit card,Manhattan
2019-03-25 19:53:30,2019-03-25 20:03:42,1,3.2,11.5,0.0,15.8,cash,Manhattan
2019-03-25 21:47:30,2019-03-25 21:55:47,1,1.68,7.5,1.76,10.56,credit card,Queens
2019-03-26 08:08:05,2019-03-26 08:25:58,2,0.7,11.5,2.95,17.75,credit card,Manhattan
2019-03-26 08:42:04,2019-03-26 08:45:23,1,0.5,4.5,1.55,9.35,credit card,Manhattan
2019-03-26 13:08:40,2019-03-26 13:24:56,1,7.03,21.5,6.11,36.67,credit card,Queens
2019-03-26 19:41:00,2019-03-26 19:48:14,1,1.05,6.5,2.16,12.96,credit card,Manhattan
2019-03-26 20:13:27,2019-03-26 20:20:29,1,1.0,6.5,1.0,11.3,credit card,Manhattan
2019-03-26 21:18:06,2019-03-26 21:30:17,1,2.0,9.5,3.3,16.6,credit card,Manhattan
2019-03-26 22:36:11,2019-03-26 22:53:38,2,4.4,16.5,4.06,24.36,credit card,Manhattan
2019-03-27 07:31:25,2019-03-27 07:34:58,1,0.5,4.5,1.0,8.8,credit card,Manhattan
2019-03-27 07:55:34,2019-03-27 08:05:09,1,2.01,9.0,2.46,14.76,credit card,Manhattan
2019-03-27 09:56:17,2019-03-27 10:37:16,1,4.33,25.5,7.2,36.0,credit card,Manhattan
2019-03-27 10:01:42,2019-03-27 10:16:05,2,2.04,11.0,3.58,17.88,credit card,Manhattan
2019-03-27 10:48:26,2019-03-27 10:59:59,1,0.76,8.0,2.26,13.56,credit card,Manhattan
2019-03-27 10:58:53,2019-03-27 11:17:26,2,1.9,13.0,0.0,16.3,cash,Manhattan
2019-03-27 12:13:34,2019-03-27 12:25:48,0,2.9,11.5,0.0,14.8,cash,Manhattan
2019-03-27 12:40:00,2019-03-27 13:12:04,1,8.64,30.5,0.0,37.06,credit card,Bronx
2019-03-27 12:59:37,2019-03-27 13:31:38,1,8.76,31.0,10.29,44.59,credit card,Manhattan
2019-03-27 13:08:29,2019-03-27 13:18:05,6,0.97,7.5,2.16,12.96,credit card,Manhattan
2019-03-27 16:55:01,2019-03-27 17:13:12,2,2.77,13.0,4.33,21.63,credit card,Manhattan
2019-03-27 17:14:51,2019-03-27 17:20:48,1,0.5,5.5,1.0,10.8,credit card,Manhattan
2019-03-27 20:45:21,2019-03-27 20:54:45,2,1.44,8.0,2.36,14.16,credit card,Manhattan
2019-03-27 21:05:28,2019-03-27 21:11:15,2,0.9,5.5,0.0,9.3,cash,Manhattan
2019-03-27 21:47:22,2019-03-27 22:05:08,1,2.96,12.5,3.26,19.56,credit card,Manhattan
2019-03-27 22:56:59,2019-03-27 23:08:16,1,2.3,10.5,2.86,17.16,credit card,Manhattan
2019-03-28 00:11:39,2019-03-28 00:17:55,1,1.11,6.5,2.58,12.88,credit card,Manhattan
2019-03-28 01:27:23,2019-03-28 01:29:15,6,0.82,4.5,0.0,8.3,cash,Manhattan
2019-03-28 03:19:15,2019-03-28 03:32:38,1,2.7,11.0,0.0,12.3,cash,Brooklyn
2019-03-28 06:42:18,2019-03-28 06:45:53,1,0.9,5.0,0.0,8.3,cash,Manhattan
2019-03-28 08:47:57,2019-03-28 08:58:56,1,1.83,9.5,0.0,10.3,cash,Queens
2019-03-28 08:55:18,2019-03-28 09:01:01,2,1.25,6.5,0.0,10.05,cash,Manhattan
2019-03-28 10:28:32,2019-03-28 10:34:10,2,0.62,5.5,0.0,8.8,credit card,Manhattan
2019-03-28 12:51:26,2019-03-28 13:04:48,1,1.81,10.5,4.14,17.94,credit card,Manhattan
2019-03-28 13:48:50,2019-03-28 13:52:29,1,0.8,5.0,2.05,10.35,credit card,Manhattan
2019-03-28 16:03:46,2019-03-28 16:05:44,1,0.3,3.5,1.55,9.35,credit card,Manhattan
2019-03-28 17:59:33,2019-03-28 18:13:20,2,1.3,10.0,2.85,17.15,credit card,Manhattan
2019-03-28 18:34:05,2019-03-28 18:40:29,1,0.87,6.0,2.06,12.36,credit card,Manhattan
2019-03-28 21:09:01,2019-03-28 21:20:48,1,1.09,9.0,2.56,15.36,credit card,Manhattan
2019-03-28 23:12:37,2019-03-28 23:17:25,1,0.88,5.5,1.86,11.16,credit card,Manhattan
2019-03-29 00:25:34,2019-03-29 00:38:53,1,5.8,18.0,4.35,26.15,credit card,Manhattan
2019-03-29 01:35:09,2019-03-29 01:37:03,1,0.53,3.5,0.0,7.3,cash,Manhattan
2019-03-29 02:40:36,2019-03-29 02:49:14,1,1.0,7.5,0.0,11.3,cash,Manhattan
2019-03-29 07:52:24,2019-03-29 07:58:34,1,0.6,5.5,0.0,6.3,cash,Manhattan
2019-03-29 10:00:02,2019-03-29 10:19:35,1,1.3,12.5,0.0,15.8,cash,Manhattan
2019-03-29 10:08:13,2019-03-29 10:19:46,1,1.45,9.0,0.0,12.3,credit card,Manhattan
2019-03-29 10:44:24,2019-03-29 10:56:46,1,2.89,11.5,0.0,12.3,credit card,Bronx
2019-03-29 17:34:57,2019-03-29 17:49:48,1,4.9,16.5,4.15,24.95,credit card,Manhattan
2019-03-29 19:24:36,2019-03-29 19:33:39,1,2.23,9.5,3.45,17.25,credit card,Manhattan
2019-03-29 20:22:04,2019-03-29 20:46:05,5,2.61,15.5,3.86,23.16,credit card,Manhattan
2019-03-29 22:51:24,2019-03-29 22:57:51,1,0.8,6.0,1.95,11.75,credit card,Manhattan
2019-03-29 23:02:19,2019-03-29 23:36:01,1,4.7,22.5,0.0,26.3,cash,Manhattan
2019-03-29 23:05:09,2019-03-29 23:10:13,1,0.89,5.5,0.0,9.3,cash,Manhattan
2019-03-30 00:18:10,2019-03-30 00:27:01,2,1.04,7.5,2.26,13.56,credit card,Manhattan
2019-03-30 08:43:28,2019-03-30 09:04:15,1,4.4,17.5,4.15,24.95,credit card,Manhattan
2019-03-30 10:29:32,2019-03-30 10:41:14,1,1.58,9.0,0.0,12.3,cash,Manhattan
2019-03-30 10:34:13,2019-03-30 10:41:54,1,1.86,8.5,2.95,14.75,credit card,Manhattan
2019-03-30 10:51:51,2019-03-30 11:06:56,1,8.28,23.5,4.94,35.0,credit card,Manhattan
2019-03-30 14:46:37,2019-03-30 14:54:11,1,1.4,7.5,3.2,14.0,credit card,Manhattan
2019-03-30 16:29:05,2019-03-30 16:39:07,1,1.5,8.0,0.0,8.8,cash,Queens
2019-03-30 17:16:54,2019-03-30 17:34:07,1,1.82,12.0,0.0,15.3,cash,Manhattan
2019-03-30 18:04:37,2019-03-30 18:46:29,1,17.56,52.0,12.21,73.27,credit card,Manhattan
2019-03-30 21:45:17,2019-03-30 21:53:10,2,1.49,7.5,2.26,13.56,credit card,Manhattan
2019-03-30 22:35:26,2019-03-30 22:45:51,1,1.5,8.5,2.45,14.75,credit card,Manhattan
2019-03-30 22:50:12,2019-03-30 22:52:22,5,0.58,4.0,2.34,10.14,credit card,Manhattan
2019-03-30 23:13:30,2019-03-30 23:33:39,2,2.39,14.0,0.0,17.8,cash,Manhattan
2019-03-30 23:40:47,2019-03-31 00:12:57,3,10.51,33.5,0.0,37.3,cash,Manhattan
2019-03-31 03:08:13,2019-03-31 03:27:06,2,4.5,17.5,4.25,25.55,credit card,Manhattan
2019-03-31 05:24:37,2019-03-31 05:30:41,1,2.01,7.5,0.0,11.3,cash,Manhattan
2019-03-31 10:43:05,2019-03-31 10:51:34,2,1.0,7.0,0.0,10.3,cash,Manhattan
2019-03-31 12:48:27,2019-03-31 12:58:46,1,1.56,8.0,1.7,13.0,credit card,Manhattan
2019-03-31 13:25:12,2019-03-31 13:32:10,2,1.12,6.5,1.96,11.76,credit card,Manhattan
2019-03-31 13:38:47,2019-03-31 13:42:13,3,0.7,5.0,0.0,5.8,cash,Manhattan
2019-03-31 13:45:10,2019-03-31 13:52:55,1,1.0,7.0,1.56,9.36,credit card,Manhattan
2019-03-31 14:47:16,2019-03-31 14:58:54,2,1.43,9.5,0.0,12.8,cash,Manhattan
2019-03-31 15:11:27,2019-03-31 15:34:34,5,2.06,15.0,3.66,21.96,credit card,Manhattan
2019-03-31 15:16:05,2019-03-31 15:24:03,1,1.39,7.5,1.66,9.96,credit card,Manhattan
2019-03-31 15:39:39,2019-03-31 16:12:02,1,8.44,22.43,0.0,22.93,credit card,Queens
2019-03-31 20:06:01,2019-03-31 20:31:38,1,12.0,34.0,8.0,43.3,credit card,Queens
